id,start_pos,end_pos,surface,alias,wb_id
1,103,124,Andrea del Verrocchio,Andrea del Verrocchio,Q183458
1,190,198,Leonardo,Leonardo da Vinci,Q762
1,278,286,Leonardo,Leonardo da Vinci,Q762
1,367,373,Andrea,Andrea,Q493293
1,401,407,Andrea,Andrea,Q493293
2,84,92,Flanders,Flanders,Q234
2,166,169,Eve,Eve,Q830183
2,211,219,Leonardo,Leonardo da Vinci,Q762
3,0,8,Leonardo,Leonardo da Vinci,Q762
5,4,17,Antonio Segni,Antonio Segni,Q1240
5,81,88,Neptune,Neptune,Q332
6,49,53,Magi,Magi,Q876933
7,19,24,Milan,Milan,Q490
7,72,78,Grazie,Grazie,Q3776050
8,118,126,Leonardo,Leonardo da Vinci,Q762
8,146,154,Lodovico,Othello,Q26833
8,161,173,Massimiliano,Maximilian Sforza,Q378739
8,242,251,Francesco,Francesco,Q2268455
8,301,315,Dukes of Milan,Duchy of Milan,Q153529
9,30,38,Leonardo,Leonardo da Vinci,Q762
9,54,59,Milan,Milan,Q490
9,74,92,the King of France,Charles VI of France,Q160349
9,104,112,Leonardo,Leonardo da Vinci,Q762
10,43,50,Madonna,Madonna (art),Q926743
10,327,335,Leonardo,Leonardo da Vinci,Q762
10,405,412,Madonna,Madonna (art),Q926743
10,638,644,Virgin,Virginity,Q170538
10,1024,1032,Leonardo,Leonardo da Vinci,Q762
11,0,8,Leonardo,Leonardo da Vinci,Q762
11,35,57,Francesco del Giocondo,Lisa del Giocondo,Q153032
11,219,225,France,France,Q142
11,230,243,Fontainebleau,Fontainebleau,Q182872
12,11,15,Rome,Rome,Q220
12,71,74,Leo,Pope Leo I,Q43954
13,108,109,S,S,Q9956
13,151,168,Niccolo Piccinino,Niccolò Piccinino,Q979543
13,197,202,Milan,Milan,Q490
14,86,89,Leo,Pope Leo I,Q43954
14,115,122,Madonna,Madonna (art),Q926743
16,14,22,Leonardo,Leonardo da Vinci,Q762
16,42,52,Boltraffio,Giovanni Antonio Boltraffio,Q442528
16,56,61,Milan,Milan,Q490
16,202,209,Bologna,Bologna,Q1891
16,297,306,Sebastian,Saint Sebastian,Q183332
17,44,51,Cimabue,Cimabue,Q15790
17,100,106,Assisi,Assisi,Q20103
17,118,124,Umbria,Umbria,Q1280
17,157,162,Greek,Greece,Q41
18,220,225,Order,Religious order,Q2061186
18,261,269,Cardinal,Cardinal (Catholicism),Q45722
18,288,293,Order,Religious order,Q2061186
19,14,26,Michelagnolo,Michelagnolo Galilei,Q975540
19,60,65,Roman,Rome,Q220
19,206,213,Bacchus,Dionysus,Q41680
20,112,119,Virtues,Virtue,Q157811
20,141,148,Antonio,Antonio,Q7141520
20,153,158,Piero,Piero di Cosimo de' Medici,Q299663
21,23,33,Ognissanti,"Ognissanti, Florence",Q2778991
21,230,250,Domenico Ghirlandajo,Domenico Ghirlandaio,Q191423
22,187,192,Venus,Venus,Q313
22,261,267,Cupids,Cupids,Q3007593
22,290,295,Venus,Venus,Q313
23,60,67,Lorenzo,Lorenzo de' Medici,Q177854
25,20,25,Pucci,Emilio Pucci,Q604667
25,68,77,Boccaccio,Giovanni Boccaccio,Q1402
27,22,34,Gino Capponi,Gino Capponi,Q719985
27,159,166,Anthony,Anthony Hopkins,Q65932
28,40,45,Piero,Piero di Cosimo de' Medici,Q299663
28,230,235,Order,Religious order,Q2061186
29,143,149,Dragon,Dragon,Q7559
30,29,44,Filippo Strozzi,Filippo Strozzi the Elder,Q323993
31,46,51,Venus,Venus,Q313
31,60,64,Mars,Mars,Q111
31,257,261,Mars,Mars,Q111
31,298,303,Cupid,Cupid,Q5011
31,395,399,Love,Love,Q316
32,67,75,Salviati,Giovanni Salviati,Q2254728
33,0,5,Piero,Piero di Cosimo de' Medici,Q299663
33,126,131,Piero,Piero di Cosimo de' Medici,Q299663
33,147,156,Francesco,Francesco,Q2268455
33,245,254,Cleopatra,Cleopatra,Q635
