id,start_pos,end_pos,surface,alias,wb_id
1,103,124,Andrea del Verrocchio,Andrea del Verrocchio,Q183458
2,84,92,Flanders,Flanders,Q234
2,211,219,Leonardo,Leonardo da Vinci,Q762
2,166,169,Eve,Eve,Q830183
3,0,8,Leonardo,Leonardo da Vinci,Q762
7,19,24,Milan,Milan,Q490
8,118,126,Leonardo,Leonardo da Vinci,Q762
8,161,173,Massimiliano,Maximilian Sforza,Q378739
9,30,38,Leonardo,Leonardo da Vinci,Q762
9,54,59,Milan,Milan,Q490
9,104,112,Leonardo,Leonardo da Vinci,Q762
11,0,8,Leonardo,Leonardo da Vinci,Q762
11,230,243,Fontainebleau,Fontainebleau,Q182872
12,11,15,Rome,Rome,Q220
16,14,22,Leonardo,Leonardo da Vinci,Q762
16,56,61,Milan,Milan,Q490
16,202,209,Bologna,Bologna,Q1891
17,44,51,Cimabue,Cimabue,Q15790
17,100,106,Assisi,Assisi,Q20103
17,118,124,Umbria,Umbria,Q1280
21,23,33,Ognissanti,"Ognissanti, Florence",Q2778991
25,68,77,Boccaccio,Giovanni Boccaccio,Q1402
31,298,303,Cupid,Cupid,Q5011
33,245,254,Cleopatra,Cleopatra,Q635
