id;start_pos;end_pos;surface;type;true_id;output_id;output_wiki;score;relation
1;74;83;Ser Piero;PER;Q371916;Q5822;Piero della Francesca >> en;-1.4631989002227783;
1;160;167;S. John;PER;Q40662;Q44015;John the Apostle >> en;-0.50212562084198;
1;274;277;lad;MISC;Q3010;Q341807;Lad >> en;-0.4272916316986084;Disambiguation
1;310;316;manner;MISC;Q367293;Q131808;Mannerism >> en;-1.1636097431182861;
1;357;364;figures;MISC;Q29527347;Q235113;Angel >> en;-1.8886563777923584;
1;390;396;reason;MISC;Q1710397;Q178354;Reason >> en;-0.15194743871688843;Close
2;30;37;cartoon;MISC;Q1416517;Q627603;Cartoon >> en;-0.16322237253189087;Close
2;44;56;door-hanging;MISC;Q5297203;Q175111;Hanging >> en;-0.4791034460067749;
2;185;201;Earthly Paradise;LOC;Q19014;Q3363340;Paradise >> en;-0.3881604075431824;Related
2;265;271;lights;MISC;Q9128;Q35473;Window >> en;-0.26671797037124634;
2;308;313;kinds;MISC;Q21146257;Q287;Wood >> en;-1.8133586645126343;
2;419;429;divine wit;MISC;Q7501062;Q839452;Divine right of kings >> en;-1.2731636762619019;
3;21;28;picture;MISC;Q478798;Q926743;Madonna (art) >> en;-0.5474337935447693;
3;32;40;Our Lady;PER;Q345;Q1938795;Veneration of Mary in the Catholic Church >> en;-0.5758597254753113;Related
3;59;63;work;MISC;Q17537576;Q838948;Work of art >> en;-0.9906066656112671;Close
3;82;92;possession;MISC;Q1400881;Q829909;Possession (law) >> en;-0.4693077504634857;Related
3;131;137;things;MISC;Q35120;Q1469799;List of paintings by Leonardo da Vinci >> en;-1.5913385152816772;
3;258;269;naturalness;MISC;Q37852924;Q56000;Naturalness (philosophy) >> en;-0.5136926174163818;
4;21;33;works of art;MISC;Q17537576;Q838948;Work of art >> en;0.06881985068321228;Close
4;130;133;air;MISC;Q7391292;Q3230;Atmosphere of Earth >> en;-0.24719536304473877;Related
5;41;47;friend;MISC;Q17297777;Q491;Friendship >> en;-0.23939433693885803;Related
5;63;77;sheet of paper;MISC;Q196878;Q11472;Paper >> en;-0.15800011157989502;Close
6;81;87;things;MISC;Q35120;Q387834;Thing (assembly) >> en;-0.9213389754295349;
