id,start_pos,end_pos,type,alias,wb_id,score
0,9,21,PER,Pope Clement I >> en,Q42887,-0.6009114384651184
0,46,56,PER,Buonarroti >> en,Q21507056,-0.6703737378120422
0,74,82,LOC,Florence >> en,Q2044,-0.17778627574443817
0,110,118,LOC,Sacristy >> en,Q468939,-0.28432196378707886
0,123,144,LOC,"San Lorenzo, Florence >> en",Q573881,-0.29223549365997314
0,134,144,LOC,"San Lorenzo, Florence >> en",Q573881,0.12280598282814026
0,233,245,PER,Michelangelo >> en,Q5592,-1.0605536699295044
0,346,365,PER,Agnolo Bronzino >> en,Q7803,-2.3266711235046387
0,417,437,PER,Antonio da Sangallo the Elder >> en,Q456861,-0.49934422969818115
0,474,491,LOC,Basilica della Santa Casa >> en,Q654996,-0.1731291562318802
0,485,491,LOC,Basilica della Santa Casa >> en,Q654996,-0.34385308623313904
0,532,537,PER,"San Lorenzo, Florence >> en",Q573881,-1.8131961822509766
0,541,549,LOC,Florence >> en,Q2044,-0.1774740368127823
0,551,563,PER,Michelangelo >> en,Q5592,-0.7922845482826233
0,593,605,PER,Lorenzo de' Medici >> en,Q177854,-0.33323049545288086
0,610,623,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.8713225722312927
0,638,643,PER,Fraile >> en,Q41094654,-1.6361281871795654
0,737,756,PER,Agnolo Bronzino >> en,Q7803,-2.3657381534576416
0,980,989,PER,Saint Cosmas >> en,Q19688364,-1.7456281185150146
0,996,1006,PER,San Damiano >> en,Q395220,-1.0006693601608276
0,1049,1056,PER,Madonna (art) >> en,Q926743,-0.390523225069046
0,1062,1074,PER,Michelangelo >> en,Q5592,-0.9389412999153137
0,1084,1094,PER,San Damiano >> en,Q395220,-1.1141453981399536
0,1098,1120,PER,Raffaello da Montelupo >> en,Q1370859,0.22116003930568695
0,1144,1149,PER,Fraile >> en,Q41094654,-2.55781626701355
0,1154,1163,PER,Cosmas and Damian >> en,Q76486,-1.644129991531372
0,1347,1352,PER,Fraile >> en,Q41094654,-2.3894829750061035
0,1410,1420,PER,Buonarroti >> en,Q21507056,-0.7160817384719849
0,1444,1456,PER,Michelangelo >> en,Q5592,-1.091155767440796
0,1528,1534,LOC,Arezzo >> en,Q13378,-0.19459322094917297
0,1544,1550,PER,Giorgio Vasari >> en,Q128027,-0.04613234102725983
0,1663,1675,PER,Michelangelo >> en,Q5592,-1.0283633470535278
0,1845,1857,PER,Michelangelo >> en,Q5592,-0.8996003866195679
0,1901,1906,PER,Fraile >> en,Q41094654,-2.5947024822235107
0,1929,1941,PER,Michelangelo >> en,Q5592,-0.7072412371635437
0,1966,1985,PER,Agnolo Bronzino >> en,Q7803,-1.8877358436584473
0,2038,2051,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.741733193397522
0,2056,2068,PER,Lorenzo de' Medici >> en,Q177854,-0.36073651909828186
0,2092,2096,PER,Pope >> en,Q19546,-0.23918431997299194
0,2180,2190,LOC,"San Lorenzo, Florence >> en",Q573881,0.1174667477607727
0,2203,2207,LOC,Rome >> en,Q220,-0.21881882846355438
0,2254,2266,PER,Pope Clement I >> en,Q42887,-0.5819544792175293
0,2309,2317,LOC,Florence >> en,Q2044,-0.17260998487472534
0,2336,2341,PER,"San Lorenzo, Florence >> en",Q573881,-1.7677737474441528
0,2530,2542,PER,Michelangelo >> en,Q5592,-0.763169527053833
0,2610,2629,PER,Fra Giovanni da Verona >> en,Q3749194,-3.189417839050293
1,7,37,PER,Michelangelo >> en,Q5592,-1.5608354806900024
1,27,37,LOC,Poggibonsi >> en,Q91350,-3.479588747024536
1,57,67,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.5320184230804443
1,103,111,LOC,Florence >> en,Q2044,-0.15302400290966034
1,127,134,LOC,Bologna >> en,Q1891,-0.14262153208255768
1,244,250,PER,Agnolo >> en,Q2826951,-1.784832239151001
1,474,481,LOC,Fiesole >> en,Q82670,-0.20001499354839325
1,502,512,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.7559242248535156
1,514,520,PER,Agnolo >> en,Q2826951,-1.273126482963562
1,586,605,PER,Francesco del Tadda >> it,Q3750862,-1.3737894296646118
1,822,841,PER,Francesco del Tadda >> it,Q3750862,-1.5223332643508911
1,847,861,PER,Andrea del Sarto >> en,Q5571,-1.5761208534240723
1,877,884,LOC,Fiesole >> en,Q82670,-0.21086812019348145
1,1081,1088,PER,Michele Agnolo >> en,Q27040,-1.5262619256973267
1,1101,1107,PER,Agnolo >> en,Q2826951,-1.6299630403518677
1,1162,1166,LOC,Rome >> en,Q220,-0.2182745784521103
1,1218,1227,LOC,St. Peter's Basilica >> en,Q12512,0.08201324939727783
1,1410,1414,LOC,Rome >> en,Q220,-0.21906065940856934
1,1453,1460,LOC,Perugia >> en,Q3437,-0.20385554432868958
1,1584,1591,LOC,Perugia >> en,Q3437,-0.1975899636745453
1,1733,1752,PER,Raffaello Maffei >> en,Q3417362,0.09725797176361084
1,1761,1775,PER,Volterrano >> en,Q2403504,0.0248909592628479
1,1780,1788,LOC,Volterra >> en,Q103305,-0.1742122620344162
2,69,77,PER,Giovanni Pisano >> en,Q314932,-0.7856977581977844
2,82,97,PER,Niccola Pisano >> en,Q364413,-0.5427815914154053
2,93,97,LOC,Pisa >> en,Q13375,-0.19125472009181976
2,99,107,PER,Agostino da Siena >> en,Q395759,-0.5258464217185974
2,112,118,PER,Agnolo Bronzino >> en,Q7803,-0.4164980947971344
2,133,138,LOC,Siena >> en,Q2751,-0.19852720201015472
2,301,306,LOC,Siena >> en,Q2751,-0.19181591272354126
2,399,412,ORG,Consularis >> en,Q782648,-3.0751307010650635
2,445,456,LOC,"Fontebranda, Siena >> en",Q3747505,-1.1170108318328857
2,512,521,LOC,Consul >> en,Q4489757,-0.3947998881340027
2,527,540,LOC,Custom house >> en,Q218653,-0.4782766103744507
2,800,808,PER,Agostino da Siena >> en,Q395759,-0.49199530482292175
2,813,819,PER,Agnolo Bronzino >> en,Q7803,-0.7086729407310486
2,868,876,PER,Giovanni Pisano >> en,Q314932,-0.6696582436561584
2,881,896,PER,Niccola Pisano >> en,Q364413,-0.44170093536376953
2,892,896,LOC,Pisa >> en,Q13375,-0.18323498964309692
2,1015,1023,PER,Giovanni da Siena >> en,Q3768439,-1.3088046312332153
2,1040,1046,LOC,Naples >> en,Q2634,-0.20718277990818024
2,1050,1054,LOC,Pisa >> en,Q13375,-0.19709455966949463
2,1083,1088,LOC,Siena >> en,Q2751,-0.20141156017780304
2,1154,1159,LOC,Siena Cathedral >> en,Q282554,-0.05880475044250488
2,1280,1288,PER,Agostino da Siena >> en,Q395759,-0.3588843047618866
2,1537,1545,PER,Giovanni Pisano >> en,Q314932,-1.3172909021377563
2,1994,2002,PER,Agostino da Siena >> en,Q395759,-0.305610328912735
2,2045,2053,PER,Giovanni Pisano >> en,Q314932,-1.368922233581543
2,2072,2078,PER,Agnolo Bronzino >> en,Q7803,-0.75765061378479
3,0,8,PER,Agostino da Siena >> en,Q395759,-1.4646228551864624
3,46,54,PER,Giovanni Tolomei >> en,Q731956,-0.2828963100910187
3,100,119,LOC,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.24351683259010315
3,193,199,PER,Agnolo Bronzino >> en,Q7803,-1.8483678102493286
3,322,330,PER,Agostino da Siena >> en,Q395759,-1.3229048252105713
3,399,407,PER,Giovanni Tolomei >> en,Q731956,-0.3689972758293152
3,529,536,LOC,Pistola >> en,Q7198490,-0.2188161462545395
3,541,545,LOC,Pisa >> en,Q13375,-0.20125892758369446
3,704,708,ORG,Capetian House of Anjou >> en,Q939200,-1.146397590637207
3,712,717,LOC,Siena >> en,Q2751,-0.20836777985095978
3,719,727,PER,Agostino da Siena >> en,Q395759,-1.463708758354187
3,753,775,LOC,Malborghetto-Valbruna >> it,Q53278,-2.0228004455566406
3,763,775,LOC,Malborghetto-Valbruna >> it,Q53278,-1.0498862266540527
3,890,895,LOC,Siena >> en,Q2751,-0.19925479590892792
