id,surface,start_pos,end_pos,type
0,Madonna,1049,1056,WORK_OF_ART
5,David of Donato,601,616,WORK_OF_ART
5,David,810,815,WORK_OF_ART
5,Nativity of Our Lady,1157,1177,WORK_OF_ART
10,Christ and Saints,1814,1831,WORK_OF_ART
13,Our Lady,258,266,WORK_OF_ART
14,Dead Christ,838,849,WORK_OF_ART
14,Magdalene,874,883,WORK_OF_ART
14,Nativity,1119,1127,WORK_OF_ART
14,Adoration of the Magi,1149,1170,WORK_OF_ART
14,Flight into Egypt,1176,1193,WORK_OF_ART
14,Massacre of the Innocents,1203,1228,WORK_OF_ART
14,Nativity,1465,1473,WORK_OF_ART
14,Descent of the Holy Spirit,1616,1642,WORK_OF_ART
14,scenes of the Life of Our Lady,1913,1943,WORK_OF_ART
14,Christ on the Cross,2044,2063,WORK_OF_ART
15,Madonna,1899,1906,WORK_OF_ART
16,Assumption of Our Lady,1688,1710,WORK_OF_ART
19,Nativity of Christ,755,773,WORK_OF_ART
19,Annunciation,835,847,WORK_OF_ART
20,Old Testament,1642,1655,WORK_OF_ART
29,life of Joseph,235,249,WORK_OF_ART
29,Trinity,668,675,WORK_OF_ART
30,Peter and Andrew,1321,1337,WORK_OF_ART
30,Feast of Simon,1376,1390,WORK_OF_ART
30,Magdalene,1399,1408,WORK_OF_ART
35,Pietà,43,48,WORK_OF_ART
38,Magi,1427,1431,WORK_OF_ART
39,Christ giving the Communion to the Apostles,454,497,WORK_OF_ART
39,Christ appearing to Mary Magdalene,1165,1199,WORK_OF_ART
39,Madonna,1839,1846,WORK_OF_ART
39,Our Lady,2020,2028,WORK_OF_ART
39,Madonna,2178,2185,WORK_OF_ART
41,Madonna,94,101,WORK_OF_ART
41,Madonna with the Child,822,844,WORK_OF_ART
45,Christ and Our Lady,888,907,WORK_OF_ART
45,Dead Christ,1109,1120,WORK_OF_ART
45,Assumption of Our Lady,1160,1182,WORK_OF_ART
45,Our Lady,1402,1410,WORK_OF_ART
45,Our Lady,1544,1552,WORK_OF_ART
45,Beheading of S. John the Baptist,1631,1663,WORK_OF_ART
45,Our Lady,1843,1851,WORK_OF_ART
45,Our Lady,1968,1976,WORK_OF_ART
49,Our Lady,387,395,WORK_OF_ART
49,Ecce Homo,981,990,WORK_OF_ART
49,Our Lady,1124,1132,WORK_OF_ART
49,Tobias and a dog in the Church of S. Marziliano,1405,1452,WORK_OF_ART
51,Madonna,2343,2350,WORK_OF_ART
53,Transfiguration,1223,1238,WORK_OF_ART
53,Centurion,1281,1290,WORK_OF_ART
53,Angel,2028,2033,WORK_OF_ART
53,Justice and Equity,2834,2852,WORK_OF_ART
53,Justice and Equity,2834,2852,WORK_OF_ART
