id,surface,start_pos,end_pos,type
0,Madonna,1049,1056,WORK_OF_ART
5,David of Donato,601,616,WORK_OF_ART
5,David,810,815,WORK_OF_ART
5,Nativity of Our Lady,1157,1177,WORK_OF_ART
14,Adoration of the Magi,1149,1170,WORK_OF_ART
14,Flight into Egypt,1176,1193,WORK_OF_ART
14,Massacre of the Innocents,1203,1228,WORK_OF_ART
16,Assumption of Our Lady,1688,1710,WORK_OF_ART
19,Nativity of Christ,755,773,WORK_OF_ART
19,Annunciation,835,847,WORK_OF_ART
35,Pietà,43,48,WORK_OF_ART
39,Christ giving the Communion to the Apostles,454,497,WORK_OF_ART
45,Beheading of S. John the Baptist,1631,1663,WORK_OF_ART
49,Ecce Homo,981,990,WORK_OF_ART
51,Madonna,2343,2350,WORK_OF_ART
53,Transfiguration,1223,1238,WORK_OF_ART
