id,sentence
1,"Dipinse, essendo giovanetto, nella Mercatanzia di Fiorenza, una Fortezza fra le tavole delle Virtù che Antonio e Piero del Pollaiuolo lavorarono."
2,"In Ogni Santi dipinse a fresco nel tramezzo alla porta che va in coro, per i Vespucci, un Santo Agostino, nel quale cercando egli allora di passare tutti coloro ch'al suo tempo dipinsero, molto s'affaticò; la quale opera riusci lodatissima per avere egli dimostrato nella testa di quel santo, quella profonda cogitazione et acutissima sottigliezza, che suole essere nelle persone sensate et astratte ontinovamente nella investigazione di cose altissime e molto difficili."
3,"In casa Medici, a Lorenzo Vecchio, lavorò molte cose, e massimamente una Pallade su una impresa di bronconi che buttavano fuoco, la quale dipinse grande quanto il vivo, et ancora un S. Sebastiano in Santa Maria Maggior di Fiorenza."
4,"Fu allogato a Sandro in questo tempo una tavoletta piccola, di figure di tre quarti di braccio l'una; la quale fu posta in Santa Maria Novella fra le due porte, nella facciata principale della chiesa, nello entrare per la porta del mezzo a sinistra: et èvvi dentro la Adorazione de' Magi, dove si vede tanto affetto nel primo vecchio, che baciando il piede al Nostro Signore e struggendosi di tenerezza, benissimo dimostra avere conseguito la fine del lunghissimo suo viaggio."
5,"Fu allogato a Piero una tavola a la cappella de' Tedaldi nella chiesa de' frati de' Servi, dove eglino tengono la veste et il guanciale di Filippo lor frate, nella quale finse la Nostra Donnaritta, che è rilevata da terra in un dado e con un libro in mano, senza il Figliuolo, che alza la testa al cielo, e sopra quella è lo Spirito Santo che la illumina."
6,"Fece et in Fiorenza molti quadri a più cittadini, sparsi per le lor case, che ne ho visti de' molto buoni, e cosi diverse cose a molte altre persone; e ne la chiesa di Santo Spirito di Fiorenza lavorò alla cappella di Gino Capponi una tavola, che vi è dentro una Visitazione di Nostra Donna, con San Nicolao et un Santo Antonio che legge con un par d'occhiali al naso, che è molto pronto."
7,"Dipinse ancora un quadro dov’è una Venere ignuda con un Marte parimente che spogliato nudo dorme sopra un prato pien di fiori, et attorno son diversi Amori, che chi in qua chi in là trasportano la celata, i bracciali e l’altre arme di Marte; èvvi un bosco di mirto, et un Cupido che ha paura d’un coniglio; così vi sono le colombe di Venere e l’altre cose di Amore."
8,"Lavorò per Giovan Vespucci, che stava dirimpetto a S. Michele della via de’ Servi, oggi di Pier Salviati, alcune storie baccanarie che sono intorno a una camera, nelle quali fece sì strani fauni, satiri e silvani, e putti e baccanti, che è una maraviglia a vedere la diversità de’ zaini e delle vesti, e la varietà delle cere caprine, con una grazia et imitazione verissima."
9,"Dipinse Piero per Filippo Strozzi Vecchio, un quadro di figure piccole, quando Perseo libera Andromeda da 'l monstro, che v'è dentro certe cose assai belle."
10,"Acconciossi per via di Ser Piero suo zio nella sua fanciullezza a l'arte con Andrea del Verocchio, il quale faccendo una tavola dove San Giovanni battezzava Cristo, Lionardo lavorò uno angelo, che teneva alcune vesti; e benché fosse giovanetto, lo condusse di tal maniera, che molto meglio de le figure d'And rea stava l'angelo di Lionardo."
