id,start_pos,end_pos,surface,type,value,is_nested
0,474,491,Madonna di Loreto,LOC,Q654996,
0,485,491,Loreto,LOC,Q124110,1
0,532,537,Frate,PER,Q27040,
0,638,643,Frate,PER,Q27040,
0,996,1006,S. Damiano,PER,Q11841130,
0,1049,1056,Madonna,PER,Q345,
0,1062,1074,Michelagnolo,PER,Q5592,
0,1084,1094,S. Damiano,PER,Q11841130,
0,1098,1120,Raffaello da Montelupo,PER,Q1370859,
0,1144,1149,Frate,PER,Q27040,
0,1845,1857,Michelagnolo,PER,Q5592,
0,2092,2096,Pope,PER,Q83159,
1,244,250,Agnolo,PER,Q27040,
1,502,512,Montorsoli,LOC,Q3862501,
1,1218,1227,S. Pietro,LOC,Q12512,
1,1780,1788,Volterra,LOC,Q103305,
2,185,189,Life,MISC,Q1645493,
2,399,412,three Consuls,ORG,Q736727,
2,445,456,Fontebranda,LOC,Q3747505,
2,512,521,Consulate,LOC,Q736727,
2,527,540,Customs-house,LOC,Q218653,
2,1154,1159,Duomo,LOC,Q282554,
3,100,119,Vescovado of Arezzo,LOC,Q314932,
3,322,330,Agostino,PER,Q395759,
3,983,988,State,ORG,Q736727,
3,1084,1089,Duomo,LOC,Q282554,
3,1215,1227,Porta Romana,LOC,Q2104857,
3,1335,1351,Porta S. Martino,LOC,Q2104857,
3,1377,1389,Porta a Tufi,LOC,Q3908860,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,
3,1795,1803,S. Maria,LOC,Q10924,
4,364,376,Michelagnolo,PER,Q3856430,
4,749,755,Medici,ORG,Q170022,
4,831,850,Magnificent Lorenzo,PER,Q177854,
4,1377,1383,Medici,ORG,Q170022,
4,1817,1823,Baccio,PER,Q358348,
5,601,606,David,PER,Q41370,
5,648,661,Medici Palace,LOC,Q911047,
5,680,686,Palace,LOC,Q271928,
5,829,835,Loreto,LOC,Q124110,
5,871,877,Andrea,PER,Q124110,
5,1157,1177,Nativity of Our Lady,MISC,Q501107,
5,1169,1177,Our Lady,PER,Q345,1
5,1909,1915,Baccio,PER,Q358348,
6,1215,1222,Rabatta,LOC,NIL,1
6,1313,1319,Heaven,LOC,Q4489450,
6,1639,1645,Heaven,LOC,Q4489450,
6,2004,2010,Heaven,LOC,Q4489450,
7,424,429,Spini,ORG,NIL,
7,2046,2062,Wardens of Works,ORG,NIL,
8,11,28,siege of Florence,MISC,Q981042,
8,20,28,Florence,LOC,Q2044,1
8,493,507,Porta a Faenza,LOC,Q3908872,
8,730,736,Medici,ORG,Q170022,1
8,823,831,Bertoldo,PER,Q828363,
8,937,947,Buonarroti,PER,Q5592,
8,971,983,Michelagnolo,PER,Q5592,
9,217,235,Cardinal de' Rossi,PER,Q733662,
