doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,6,2336,2341,30,35,Frate,Artwork,
1,6,1761,1775,210,224,Il  Volterrano,Artwork,
10,6,1659,1675,197,213,ornamental frame,Artwork,
11,6,1619,1639,188,208,many works in fresco,Artwork,
11,6,1644,1663,213,232,many other pictures,Artwork,
14,6,2132,2150,187,205,two large pictures,Artwork,
15,1,406,421,213,228,works in fresco,Artwork,
15,6,1895,1917,281,303,the Madonna in a swoon,Artwork,
28,4,2192,2217,299,324,Triumph of Paulus Emilius,Artwork,
29,1,628,641,37,50,round picture,Artwork,
30,6,1621,1628,7,14,Trinità,Artwork,
31,4,1247,1259,127,139,coat of arms,Artwork,
31,5,1340,1353,4,17,the best work,Artwork,
31,5,1435,1449,99,113,a little study,Artwork,
33,6,2170,2203,90,123,models of the Church of S. Andrea,Artwork,
39,7,1610,1623,3,16,S. Apollinare,Artwork,
40,0,318,329,318,329,S. Giovanni,Artwork,
43,5,1297,1314,14,31,S. Mary Magdalene,Artwork,
43,6,1602,1614,43,55,S. Augustine,Artwork,
43,6,1619,1642,60,83,S. John the Evangelist.,Artwork,
45,2,645,664,187,206,Michele di Ridolfo.,Artwork,
45,7,1436,1455,8,27,Chapel of the Segni,Artwork,
45,8,1770,1778,28,36,S. Rocco,Artwork,
47,3,1033,1053,17,37,the whole work curve,Artwork,
47,3,1112,1152,96,136,"in it, with their pediments and cornices",Artwork,
47,3,1167,1188,151,172,the space of the door,Artwork,
47,3,1349,1387,333,371,which is a very difficult thing to do.,Artwork,
48,2,778,791,282,295,ancient works,Artwork,
49,6,1505,1524,254,273,S. John the Baptist,Artwork,
5,0,81,100,81,100,Chamber of Our Lady,Artwork,
50,6,1618,1626,75,83,Apostles,Artwork,
51,0,157,170,157,170,votive images,Artwork,
51,6,2045,2058,4,17,second figure,Artwork,
53,7,2007,2015,25,33,Federigo,Artwork,
9,2,563,583,79,99,tabernacle in fresco,Artwork,
