id,start_pos,end_pos,surface,type
1,64,72,Fortezza,LOC
2,3,13,Ogni Santi,MISC
2,77,85,Vespucci,MISC
2,90,104,Santo Agostino,PER
3,18,33,Lorenzo Vecchio,PER
4,14,20,Sandro,PER
4,123,142,Santa Maria Novella,LOC
5,14,19,Piero,PER
6,11,19,Fiorenza,LOC
9,8,13,Piero,PER
9,18,41,Filippo Strozzi Vecchio,PER
9,79,85,Perseo,PER
9,93,102,Andromeda,PER
10,23,32,Ser Piero,PER
10,77,97,Andrea del Verocchio,PER
10,133,145,San Giovanni,PER
10,157,163,Cristo,PER
10,165,173,Lionardo,PER
11,56,63,Fiandra,PER
11,104,120,Re di Portogallo,PER
11,134,139,Adamo,PER
12,9,17,Lionardo,PER
12,22,34,Nostra Donna,MISC
12,65,82,Papa Clemente VII,PER
13,58,65,Nettuno,PER
13,3,16,Antonio Segni,PER
14,15,21,Milano,LOC
14,50,74,Santa Maria de le Grazie,LOC
14,78,86,Cenacolo,MISC
14,141,149,Apostoli,PER
15,46,58,Nostra Donna,PER
15,66,76,Santa Anna,PER
15,85,91,Cristo,PER
15,329,337,Lionardo,PER
16,6,14,Lionardo,PER
16,25,47,Francesco del Giocondo,PER
17,30,38,Lionardo,PER
19,104,117,Marco Uggioni,PER
19,126,148,Santa Maria della Pace,LOC
20,129,146,Passion di Cristo,MISC
20,175,180,Marie,PER
20,209,222,Vergine Maria,PER
21,12,21,Raffaello,PER
21,47,59,Lorenzo Nasi,PER
21,115,123,Rafaello,PER
21,152,164,Nostra Donna,PER
21,250,262,San Giovanni,PER
22,15,34,Signoria di Vinezia,LOC
