id,start_pos,end_pos,type,surface,wb_id,has_nested,is_nested

2,10,20,PER,Buonarroti,Q5592,,

2,34,53,PER,Fra Giovanni Agnolo,Q27040,,

2,75,79,PER,Pope,Q19546,,

2,85,97,PER,his Holiness,Q19546,,

2,131,138,PER,General,Q103163,,1

2,131,159,PER,General of the Servite Order,NIL,1,

2,146,159,ORG,Servite Order,Q615923,,1

3,12,16,LOC,Rome,Q220,,

3,65,74,LOC,Belvedere,Q2547111,,

3,105,109,PER,Pope,Q19546,,

3,173,183,WORK_OF_ART,the Apollo,Q619135,1,

3,177,183,MISC,Apollo,Q37340,,1

3,205,216,WORK_OF_ART,the Laocoon,Q465762,1,

3,209,216,PER,Laocoon,Q22878,1,

3,294,306,WORK_OF_ART,the Hercules,NIL,1,

3,298,306,PER,Hercules,Q240679,0,

5,69,77,PER,Giovanni,Q314932,,

5,82,97,PER,Niccola of Pisa,Q364413,,

5,99,107,PER,Agostino,Q395759,,

5,112,118,PER,Agnolo,Q374428,,

5,133,138,LOC,Siena,Q2751,,

5,185,189,MISC,Life,Q3,,

6,71,76,LOC,Siena,Q2751,,

6,169,182,PER,three Consuls,NIL,,

6,215,226,LOC,Fontebranda,Q3747505,,

6,282,291,ORG,Consulate,NIL,,

6,297,310,LOC,Customs-house,Q182290,,

8,30,50,PER,Francesco Tornabuoni,Q56395996,,

8,220,226,PER,Andrea,Q183458,,

8,386,393,MISC,Virtues,Q3556272,,

8,510,517,LOC,Minerva,Q823685,,

9,24,32,LOC,Florence,Q2044,,

9,91,98,WORK_OF_ART,a David,Q2415504,1,

9,93,98,PER,David,Q41370,,1

9,184,190,LOC,Palace,,,

9,258,268,WORK_OF_ART,the Catena,Q107381420,,

11,34,53,WORK_OF_ART,the ancient Laocoon,Q465762,1,

11,46,53,MISC,Laocoon,Q22878,,1

11,102,108,PER,Baccio,Q358348,,

11,271,277,PER,Baccio,Q358348,,

11,373,380,WORK_OF_ART,Laocoon,NIL,,

12,20,32,PER,his Holiness,Q19546,,

12,123,127,PER,King,Q116,,

12,145,153,LOC,Florence,Q2044,,

12,162,198,PER,Cardinal Silvio Passerino of Cortona,Q1084763,1,

12,191,198,LOC,Cortona,Q52080,,1

12,204,210,PER,Legate,Q740369,,

12,214,222,LOC,Florence,Q2044,,

12,297,304,WORK_OF_ART,Laocoon,NIL,,

12,344,364,LOC,Palace of the Medici,Q911047,1,

12,358,364,ORG,Medici,Q170022,,1

14,0,8,PER,Giuliano,Q2578459,,

14,29,53,PER,Cardinal Innocenzio Cibo,Q1386991,,

14,85,104,PER,Raffaello da Urbino,Q5597,1,

14,88,104,PER,Urbino,Q2759,,1

14,126,199,WORK_OF_ART,"portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",Q2610729,1,

14,139,147,PER,Pope Leo,Q49237,,1

14,149,175,PER,Cardinal Giulio de' Medici,Q83159,,1

14,181,199,PER,Cardinal de' Rossi,Q733662,,1

14,217,235,PER,Cardinal de' Rossi,Q733662,,

14,259,272,PER,Cardinal Cibo,Q1386991,,

15,36,63,WORK_OF_ART,portrait of Cencio Guasconi,NIL,1,

15,48,63,PER,Cencio Guasconi,NIL,,1

15,135,157,LOC,villa of Baccio Valori,NIL,1,

15,144,157,PER,Baccio Valori,Q3181432,,1

15,162,177,LOC,Olmo a Castello,NIL,1,

15,169,177,LOC,Castello,Q2163936,,1

16,52,60,PER,Giuliano,Q2578459,,

16,116,146,LOC,Church of S. Marco at Florence,Q1152774,1,

16,138,146,LOC,Florence,,,1

19,54,60,LOC,Aversa,Q19279,,

19,85,91,LOC,Naples,Q2634,,

19,161,182,LOC,Church of S. Agostino,NIL,1,

19,293,305,PER,S. Augustine,Q95139,,1

19,351,357,PER,Christ,Q642420,,

19,362,368,PER,Saints,Q43115,,

20,16,29,PER,Maestro Marco,Q2559941,,

22,40,45,PER,Piero,Q280851,,

