id,start_pos,end_pos,surface,label,wb_id,motif,broader,narrower,related,exact,close
1,46,53,boyhood,MISC,Q276258,0,1,0,0,0,0
1,74,83,Ser Piero,PER,Q371916,0,0,0,0,1,0
1,94,97,art,MISC,Q735,0,0,0,0,1,0
1,143,156,panel-picture,MISC,Q55439,0,0,0,0,1,0
1,160,167,S. John,PER,Q40662,1,0,0,0,1,0
1,211,216,angel,MISC,Q235113,1,0,0,0,1,0
1,238,246,garments,MISC,Q11460,1,0,0,0,1,0
1,274,277,lad,PER,Q3010,1,0,0,0,1,0
1,326,331,angel,MISC,Q235113,1,0,0,0,1,0
1,390,396,reason,MISC,Q1710397,0,0,0,0,1,0
1,433,439,colour,MISC,Q1075,0,0,0,0,1,0
1,459,464,child,PER,Q7569,0,0,0,0,1,0
2,30,37,cartoon,MISC,Q1416517,0,0,0,0,1,0
2,44,56,door-hanging,MISC,Q5297203,0,0,0,0,1,0
2,103,107,gold,MISC,Q897,0,0,0,0,1,0
2,112,116,silk,MISC,Q37681,0,0,0,0,1,0
2,136,152,King of Portugal,PER,Q51711012,0,0,0,0,0,1
2,185,201,Earthly Paradise,LOC,Q19014,1,0,0,0,1,0
2,243,254,chiaroscuro,MISC,Q219540,0,0,0,0,1,0
2,157,161,Adam,PER,Q70899,1,0,0,0,1,0
2,166,169,Eve,PER,Q830183,1,0,0,0,1,0
2,265,271,lights,MISC,Q9128,0,0,0,0,1,0
2,289,295,meadow,MISC,Q7777019,0,0,0,0,1,0
2,317,324,herbage,MISC,Q207123,1,0,0,0,1,0
2,336,343,animals,MISC,Q729,1,0,0,0,1,0
2,389,398,diligence,MISC,Q1427962,0,0,0,0,1,0
2,403,408,truth,MISC,Q7949,0,0,0,0,1,0
2,412,418,nature,MISC,Q7860,0,0,0,0,1,0
2,419,429,divine wit,MISC,Q7501062,0,0,0,0,1,0
2,234,239,brush,MISC,Q614467,0,0,0,0,1,0
3,21,28,picture,MISC,Q478798,0,0,0,0,1,0
3,32,40,Our Lady,PER,Q345,1,0,0,0,1,0
3,59,63,work,MISC,Q17537576,0,0,0,0,1,0
3,96,112,Pope Clement VII,PER,Q83159,0,0,0,0,1,0
3,82,92,possession,MISC,Q1400881,0,0,0,0,1,0
3,180,184,vase,MISC,Q191851,1,0,0,0,1,0
3,193,198,water,MISC,Q283,1,0,0,0,1,0
3,216,223,flowers,MISC,Q506,1,0,0,0,1,0
3,258,269,naturalness,MISC,Q37852924,0,0,0,0,1,0
3,291,300,dew-drops,MISC,Q41097,1,0,0,0,1,0
3,308,315,flowers,MISC,Q506,1,0,0,0,1,0
3,131,137,things,MISC,Q35120,0,0,0,0,1,0
3,354,361,reality,MISC,Q9510,0,0,0,0,1,0
4,21,33,works of art,MISC,Q17537576,0,0,0,0,1,0
4,82,86,head,MISC,Q23640,1,0,0,0,1,0
4,93,98,angel,MISC,Q235113,1,0,0,0,1,0
4,119,122,arm,MISC,Q43471,1,0,0,0,1,0
4,130,133,air,MISC,Q7391292,1,0,0,0,1,0
4,184,192,shoulder,MISC,Q16363,1,0,0,0,1,0
4,200,205,elbow,MISC,Q42586,1,0,0,0,1,0
4,240,244,hand,MISC,Q33767,1,0,0,0,1,0
4,252,258,breast,MISC,Q9103,1,0,0,0,1,0
5,41,47,friend,PER,Q17297777,0,0,0,0,1,0
5,63,77,sheet of paper,MISC,Q196878,0,0,0,0,1,0
6,11,24,panel-picture,MISC,Q55439,0,0,0,0,1,0
6,81,87,things,MISC,Q35120,0,0,0,0,1,0
6,106,111,heads,MISC,Q23640,1,0,0,0,1,0
6,130,135,house,MISC,Q3947,0,0,0,0,1,0
6,139,152,Amerigo Benci,PER,Q89125988,0,0,0,0,1,0
6,239,244,works,MISC,Q17537576,0,0,0,0,1,0
7,34,54,Friars of S. Dominic,PER,Q131479,0,0,0,0,1,0
7,129,134,thing,MISC,Q35120,0,0,0,0,1,0
7,147,152,heads,MISC,Q23640,1,0,0,0,1,0
7,160,168,Apostles,PER,Q4155679,1,0,0,0,1,0
7,182,189,majesty,MISC,Q1623587,0,0,0,1,0,0
7,194,200,beauty,MISC,Q7242,0,0,0,0,1,0
7,219,223,head,MISC,Q23640,1,0,0,0,1,0
7,300,303,air,MISC,Q1154226,0,0,0,1,0,0
7,330,335,image,MISC,Q478798,0,0,0,0,1,0
8,12,21,refectory,MISC,Q568225,0,0,0,0,1,0
8,75,79,wall,MISC,Q42948,0,0,0,0,1,0
8,110,116,manner,MISC,Q12894677,0,0,0,0,1,0
8,186,189,son,PER,Q177232,0,0,0,0,1,0
8,219,235,Duchess Beatrice,PER,Q813280,1,0,0,0,1,0
8,242,251,Francesco,PER,Q378868,1,0,0,0,1,0
8,265,268,son,PER,Q177232,0,0,0,0,1,0
8,301,315,Dukes of Milan,PER,Q692686,0,0,0,0,0,1
9,21,26,works,MISC,Q17537576,0,0,0,0,1,0
9,78,92,King of France,PER,Q18384454,0,0,0,0,0,1
9,148,153,thing,MISC,Q35120,0,0,0,0,1,0
9,162,166,lion,MISC,Q140,0,0,0,0,0,1
9,188,193,steps,MISC,Q16511984,0,0,0,0,1,0
