id,start_pos,end_pos,label,alias,wb_id,score
1,74,83,PER,Piero della Francesca >> en,Q5822,-1.4631946086883545
1,160,167,PER,John the Apostle >> en,Q44015,-0.502124547958374
2,144,152,LOC,Portugal >> en,Q45,-0.2875243127346039
2,157,169,PER,Adam and Eve >> en,Q58701,-0.19730547070503235
2,185,201,MISC,Paradise >> en,Q3363340,-0.3881613612174988
3,32,40,PER,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.5758610367774963
3,101,112,PER,Pope Clement VII >> en,Q83159,-0.2006055861711502
5,4,17,PER,Antonio Segni >> en,Q1240,0.12988314032554626
6,139,152,PER,Amerigo >> en,Q16002872,-3.656567335128784
7,34,36,MISC,Franciscans >> en,Q165005,-0.7074621319770813
7,36,54,LOC,Our Lady of Sorrows >> en,Q1196075,-1.2970645427703857
7,160,168,PER,Apostles >> en,Q43412,-0.20637370645999908
8,227,235,PER,Beatrice d'Este >> en,Q813280,-0.2429584562778473
8,242,251,PER,Francesco I Sforza >> en,Q310536,-0.12559407949447632
8,310,315,LOC,Milan >> en,Q490,-0.2969284653663635
9,86,92,LOC,France >> en,Q142,-0.2658996880054474
10,43,50,PER,Madonna (art) >> en,Q926743,-0.2774498164653778
10,406,413,PER,Madonna (art) >> en,Q926743,-0.26395219564437866
10,816,823,PER,John the Apostle >> en,Q44015,-1.2420369386672974
11,75,85,PER,Mona Lisa >> en,Q12418,-0.6810070872306824
11,208,215,PER,Francis I of France >> en,Q129857,-0.3759436011314392
11,219,225,LOC,France >> en,Q142,-0.37168097496032715
11,230,243,LOC,Palace of Fontainebleau >> en,Q201428,-0.1648865044116974
12,26,45,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.36617520451545715
12,71,74,PER,Pope Leo I >> en,Q43954,-0.7793117761611938
13,77,90,LOC,Papal household >> en,Q1510907,-2.2949724197387695
13,187,194,PER,Filippo Buonarroti >> en,Q5448705,-1.2614094018936157
13,198,203,LOC,Milan >> en,Q490,-0.2606953978538513
14,26,61,PER,Baldassare Turini >> en,Q2295190,-0.9592617750167847
14,86,89,PER,Pope Leo I >> en,Q43954,-0.6573249697685242
14,115,127,PER,Madonna (art) >> en,Q926743,-0.2947370707988739
14,128,137,MISC,Christ Child >> en,Q942467,-0.3697448968887329
15,62,81,LOC,Santa Maria della Pace >> en,Q1514683,-0.06137193739414215
15,87,106,MISC,Veneration of Mary in the Catholic Church >> en,Q1938795,-2.0192227363586426
15,115,131,MISC,Marriage in Judaism >> en,Q4095768,-3.0240604877471924
16,166,192,LOC,Church of the Misericordia >> en,Q504580,-1.466325283050537
16,238,261,PER,"Mary, mother of Jesus >> en",Q345,-0.5653435587882996
17,157,162,MISC,Greeks >> en,Q539051,-0.33371859788894653
17,271,283,PER,Jesus >> en,Q302,-0.136368066072464
18,183,184,PER,Pope >> en,Q19546,-1.5920557975769043
18,186,204,PER,John Gualbert >> en,Q707172,0.2700011730194092
18,229,244,PER,San Michele in Isola >> en,Q1449262,-1.5208454132080078
18,250,261,PER,Bernard of Clairvaux >> en,Q188411,-0.3641098737716675
18,292,297,ORG,Holy orders >> en,Q662862,-0.871100664138794
19,60,65,MISC,Rome >> en,Q220,-0.3703017830848694
19,82,101,PER,Jacopo Galli >> en,Q43383009,-1.6454155445098877
19,149,152,PER,Cup >> en,Q81727,-0.20450076460838318
19,152,154,MISC,"Id, ego and super-ego >> en",Q486893,-0.18655069172382355
19,206,213,PER,Dionysus >> en,Q41680,-0.003655850887298584
20,48,52,LOC,Fortification >> en,Q57821,-0.00704801082611084
20,52,57,MISC,Iudea >> en,Q104028,-3.729020357131958
20,65,76,LOC,"Piazza della Repubblica, Florence >> en",Q1283790,-2.624662160873413
20,112,119,MISC,Virtue >> en,Q157811,-0.20226694643497467
21,93,101,PER,Amerigo Vespucci >> en,Q47674,-0.3913595676422119
21,358,363,PER,Saint >> en,Q43115,-0.21702836453914642
22,121,129,LOC,Castello >> en,Q416274,-0.9172471165657043
22,147,153,PER,"Cosimo I de' Medici, Grand Duke of Tuscany >> en",Q48547,-0.4113166630268097
22,187,192,PER,Venus (mythology) >> en,Q47652,-0.19736115634441376
22,205,209,PER,Wind >> en,Q8094,-0.3099076449871063
22,209,210,MISC,Anemoi >> en,Q476682,-0.9231426119804382
22,215,219,PER,Anemoi >> en,Q476682,-0.5967106819152832
22,219,221,MISC,Yr >> en,Q1061912,-1.1682956218719482
22,221,222,PER,Zephyr >> en,Q191368,-0.6251161098480225
23,39,45,PER,House of Medici >> en,Q170022,-0.15596428513526917
23,60,67,PER,Lorenzo de' Medici >> en,Q177854,-0.23235106468200684
23,84,90,PER,Pallas >> en,Q219027,-1.1929229497909546
24,3,20,LOC,Santa Maria Maggiore >> en,Q186282,-0.02999889850616455
24,45,70,LOC,"Santa Maria Maggiore, Florence >> en",Q849356,-1.6904391050338745
25,20,25,PER,Pucci >> en,Q56244015,-0.2645799517631531
25,88,91,PER,Nas >> en,Q194220,-0.24178320169448853
25,91,94,MISC,Tag >> en,Q224745,-1.5470964908599854
25,94,107,PER,The Book of Lost Souls >> en,Q7719267,-2.796302080154419
25,107,109,MISC,Nastagio degli Onesti >> en,Q1232587,-3.722214460372925
25,186,187,PER,Epiphany (holiday) >> en,Q132001,-1.0347089767456055
25,187,194,MISC,Epiphany (feeling) >> en,Q2312056,-1.0556343793869019
26,13,19,PER,Sandro >> en,Q37192461,-1.8361679315567017
26,373,381,PER,Jesus >> en,Q302,-0.49453750252723694
27,159,169,PER,Anthony of Padua >> en,Q167477,-0.4219258427619934
28,40,45,PER,Piero della Francesca >> en,Q5822,-0.5747798681259155
28,94,122,LOC,Servite Order >> en,Q615923,-0.6698958873748779
28,131,152,LOC,"San Filippo Neri, Genoa >> en",Q3669990,-2.6872777938842773
28,200,210,PER,Philip the Apostle >> en,Q43675,-0.5406985878944397
28,231,236,MISC,Holy orders >> en,Q662862,-1.1017519235610962
28,421,425,MISC,Sacred >> en,Q1151419,-0.5100138187408447
28,426,432,PER,Holy Spirit >> en,Q37302,-0.6012861728668213
30,0,5,PER,Piero della Francesca >> en,Q5822,-0.7612255215644836
30,29,44,PER,Filippo Strozzi the Elder >> en,Q323993,-0.2149343192577362
31,153,158,PER,Lovers (stock characters) >> en,Q6692423,-1.0794554948806763
31,355,369,MISC,Venus (mythology) >> en,Q47652,-1.0794754028320312
31,395,399,MISC,Love >> en,Q316,-0.30279818177223206
32,61,75,PER,Piero de' Medici >> en,Q2093000,-6.0428080558776855
32,89,99,LOC,San Michele in Isola >> en,Q1449262,-0.8681601285934448
33,0,5,PER,Piero della Francesca >> en,Q5822,-0.6441431045532227
33,126,131,PER,Piero della Francesca >> en,Q5822,-0.9022442698478699
33,147,156,PER,Francesco di Paola >> en,Q315640,-2.5599911212921143
33,189,194,PER,Piero della Francesca >> en,Q5822,-0.7752570509910583
