id,start_pos,end_pos,label,alias,wb_id,score
1,103,124,PER,Andrea del Verrocchio >> en,Q183458,-0.06226620078086853
1,178,184,PER,Jesus >> en,Q302,-0.040448784828186035
1,191,199,PER,Leonardo da Vinci >> en,Q762,-0.20245876908302307
1,279,287,PER,Leonardo da Vinci >> en,Q762,-0.20778405666351318
1,368,374,PER,Andrea del Verrocchio >> en,Q183458,-0.21451541781425476
1,402,408,PER,Andrea del Verrocchio >> en,Q183458,-0.13093584775924683
2,84,92,LOC,Flanders >> en,Q234,-0.23788832128047943
2,211,219,PER,Leonardo da Vinci >> en,Q762,-0.194235697388649
3,0,8,PER,Leonardo da Vinci >> en,Q762,-0.1968189924955368
4,41,62,LOC,Palazzo Medici Riccardi >> en,Q911047,-1.4065134525299072
5,81,88,MISC,Neptune (mythology) >> en,Q3954,-0.190085768699646
6,32,53,MISC,Adoration of the Magi >> en,Q488841,-0.28630754351615906
6,167,185,LOC,Loggia dei Peruzzi >> it,Q20008396,-1.4019113779067993
7,19,24,LOC,Milan >> en,Q490,-0.13040634989738464
7,59,80,LOC,Santa Maria delle Grazie (Milan) >> en,Q244952,-0.0926746129989624
7,84,95,MISC,Last Supper >> en,Q51633,-0.1785239428281784
7,227,233,PER,Jesus >> en,Q302,0.13852274417877197
7,339,345,PER,Jesus >> en,Q302,0.07707372307777405
8,51,62,MISC,Last Supper >> en,Q51633,-0.221910297870636
8,91,98,MISC,Passion of Jesus >> en,Q623306,-0.15833471715450287
8,118,126,PER,Leonardo da Vinci >> en,Q762,-0.1778295338153839
8,146,154,PER,Ludovico Sforza >> en,Q236853,-0.09579545259475708
8,161,173,PER,Massimiliano Sforza >> en,Q378739,-0.0036279261112213135
9,30,38,PER,Leonardo da Vinci >> en,Q762,-0.16293533146381378
9,54,59,LOC,Milan >> en,Q490,-0.12778279185295105
9,104,112,PER,Leonardo da Vinci >> en,Q762,-0.18128922581672668
10,57,64,PER,Saint Anne >> en,Q164294,-0.25300946831703186
10,73,79,PER,Jesus >> en,Q302,-0.006296038627624512
10,328,336,PER,Leonardo da Vinci >> en,Q762,-0.21377331018447876
10,526,542,PER,"Mary, mother of Jesus >> en",Q345,-0.4606688618659973
10,639,645,PER,"Mary, mother of Jesus >> en",Q345,-0.22830882668495178
10,707,710,PER,Jesus >> en,Q302,-0.8066045045852661
10,896,903,PER,Saint Anne >> en,Q164294,-0.26810401678085327
10,1027,1035,PER,Leonardo da Vinci >> en,Q762,-0.21270467340946198
11,0,8,PER,Leonardo da Vinci >> en,Q762,-0.19344624876976013
11,35,57,PER,Francesco del Giocondo >> en,Q1395822,0.016317754983901978
12,11,15,LOC,Rome >> en,Q220,-0.2274637520313263
13,10,18,PER,Leonardo da Vinci >> en,Q762,-0.17444807291030884
13,108,124,LOC,Santa Maria Novella >> en,Q51175,0.10688027739524841
13,152,169,PER,Niccolò Piccinino >> en,Q979543,0.19269336760044098
15,31,44,PER,Marco d'Oggiono >> en,Q982274,-1.7542474269866943
15,135,142,LOC,Galilee >> en,Q83241,-0.18086573481559753
16,14,22,PER,Leonardo da Vinci >> en,Q762,-0.23323290050029755
16,27,52,PER,Giovanni Antonio Boltraffio >> en,Q442528,-0.05463801324367523
16,56,61,LOC,Milan >> en,Q490,-0.1302148699760437
16,202,209,LOC,Bologna >> en,Q1891,-0.21419288218021393
16,275,294,PER,John the Baptist >> en,Q40662,-0.10481256246566772
16,296,308,PER,Saint Sebastian >> en,Q183332,-0.19375845789909363
16,482,490,PER,Leonardo da Vinci >> en,Q762,-0.2710668444633484
17,44,51,PER,Cimabue >> en,Q15790,-0.1478104144334793
17,100,106,LOC,Assisi >> en,Q20103,-0.20162177085876465
17,118,124,LOC,Umbria >> en,Q1280,-0.1827075332403183
17,185,207,LOC,Basilica of Saint Francis of Assisi >> en,Q207486,0.23381513357162476
17,296,306,PER,Francis of Assisi >> en,Q676555,-0.0568617582321167
18,162,181,PER,John the Baptist >> en,Q40662,-0.1783854365348816
18,222,227,ORG,Religious order >> en,Q2061186,-0.8059888482093811
18,103,114,LOC,Vallombrosa >> en,Q4008256,-0.17608249187469482
19,14,26,PER,Michelangelo >> en,Q5592,-0.9111930131912231
20,80,88,LOC,Florence >> en,Q2044,-0.1740206778049469
20,141,148,PER,Antonio del Pollaiolo >> en,Q318640,0.22053080797195435
20,153,173,PER,Piero del Pollaiolo >> en,Q707046,0.21923434734344482
21,23,33,LOC,"Ognissanti, Florence >> en",Q2778991,-0.16037805378437042
21,104,116,PER,Augustine of Hippo >> en,Q8018,-0.08253923058509827
21,231,251,PER,Domenico Ghirlandaio >> en,Q191423,-0.043432578444480896
21,268,277,PER,Jerome >> en,Q44248,-0.017385199666023254
22,261,267,PER,Cupid >> en,Q5011,-0.18347607553005219
22,290,295,PER,Venus (mythology) >> en,Q47652,-0.22179889678955078
22,306,312,PER,Charites >> en,Q184353,-0.09773986041545868
23,197,209,PER,Saint Sebastian >> en,Q183332,-0.2102968543767929
24,24,32,LOC,Florence >> en,Q2044,-0.16098806262016296
24,98,103,LOC,Pietà >> en,Q223689,-0.19150345027446747
25,68,77,PER,Giovanni Boccaccio >> en,Q1402,-0.09692248702049255
26,175,191,LOC,Santa Maria Novella >> en,Q51175,0.07974360883235931
26,273,294,MISC,Adoration of the Magi >> en,Q488841,-0.26774293184280396
27,12,34,LOC,Cappella Capponi >> en,Q3657333,-0.38185152411460876
27,43,63,LOC,"Santo Spirito, Florence >> en",Q1519975,-0.7440637350082397
27,67,75,LOC,Florence >> en,Q2044,-0.1617317795753479
27,111,133,MISC,Visitation (Christianity) >> en,Q691810,-0.1983514130115509
27,140,151,PER,Saint Nicholas >> en,Q44269,-0.19133000075817108
28,258,266,PER,"Mary, mother of Jesus >> en",Q345,-0.4115263819694519
28,346,352,MISC,Heaven >> en,Q4489450,-0.2507368326187134
28,395,398,MISC,Jesus >> en,Q302,-0.5174437761306763
29,102,113,PER,Margaret the Virgin >> en,Q297742,-0.17118757963180542
29,144,150,PER,Dragon >> en,Q7559,-0.34418535232543945
30,79,86,PER,Perseus >> en,Q130832,-0.18234866857528687
30,98,107,PER,Andromeda (mythology) >> en,Q161582,-0.16740120947360992
30,117,124,PER,Monster >> en,Q276453,-0.4568600356578827
31,46,51,PER,Venus (mythology) >> en,Q47652,-0.20618319511413574
31,60,64,LOC,Mars (mythology) >> en,Q112,-0.16485804319381714
31,257,261,LOC,Mars (mythology) >> en,Q112,-0.26190415024757385
31,298,303,PER,Cupid >> en,Q5011,-0.19286178052425385
32,4,21,PER,Giovanni Vespucci >> pt,Q17064119,-2.572360038757324
32,108,121,LOC,Via dei Servi >> it,Q3556508,-0.08275943994522095
33,33,55,PER,Francesco da Sangallo >> en,Q2252502,-0.18222221732139587
33,245,254,PER,Cleopatra >> en,Q635,-0.21254612505435944
33,327,335,PER,Giuliano da San Gallo >> en,Q312365,-0.006221294403076172
33,370,389,PER,Francesco Giamberti >> it,Q3750041,-1.1635884046554565
