id,start_pos,end_pos,label,alias,wb_id,score
1,74,83,PER,Piero della Francesca >> en,Q5822,-1.4631946086883545
1,103,124,PER,Andrea del Verrocchio >> en,Q183458,-0.06226620078086853
1,160,167,PER,John the Apostle >> en,Q44015,-0.502124547958374
1,178,184,PER,Jesus >> en,Q302,-0.040448784828186035
1,191,199,PER,Leonardo da Vinci >> en,Q762,-0.20245876908302307
1,279,287,PER,Leonardo da Vinci >> en,Q762,-0.20778405666351318
1,368,374,PER,Andrea del Verrocchio >> en,Q183458,-0.21451541781425476
1,402,408,PER,Andrea del Verrocchio >> en,Q183458,-0.13093584775924683
2,84,92,LOC,Flanders >> en,Q234,-0.23788832128047943
2,185,201,MISC,Paradise >> en,Q3363340,-0.3881613612174988
2,211,219,PER,Leonardo da Vinci >> en,Q762,-0.194235697388649
3,0,8,PER,Leonardo da Vinci >> en,Q762,-0.1968189924955368
3,32,40,PER,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.5758610367774963
4,41,62,LOC,Palazzo Medici Riccardi >> en,Q911047,-1.4065134525299072
5,4,17,PER,Antonio Segni >> en,Q1240,0.12988314032554626
5,81,88,MISC,Neptune (mythology) >> en,Q3954,-0.190085768699646
6,32,53,MISC,Adoration of the Magi >> en,Q488841,-0.28630754351615906
6,139,152,PER,Amerigo >> en,Q16002872,-3.656567335128784
6,167,185,LOC,Loggia dei Peruzzi >> it,Q20008396,-1.4019113779067993
7,19,24,LOC,Milan >> en,Q490,-0.13040634989738464
7,59,80,LOC,Santa Maria delle Grazie (Milan) >> en,Q244952,-0.0926746129989624
7,84,95,MISC,Last Supper >> en,Q51633,-0.1785239428281784
7,160,168,PER,Apostles >> en,Q43412,-0.20637370645999908
7,227,233,PER,Jesus >> en,Q302,0.13852274417877197
7,339,345,PER,Jesus >> en,Q302,0.07707372307777405
8,51,62,MISC,Last Supper >> en,Q51633,-0.221910297870636
8,91,98,MISC,Passion of Jesus >> en,Q623306,-0.15833471715450287
8,118,126,PER,Leonardo da Vinci >> en,Q762,-0.1778295338153839
8,146,154,PER,Ludovico Sforza >> en,Q236853,-0.09579545259475708
8,161,173,PER,Massimiliano Sforza >> en,Q378739,-0.0036279261112213135
8,242,251,PER,Francesco I Sforza >> en,Q310536,-0.12559407949447632
9,30,38,PER,Leonardo da Vinci >> en,Q762,-0.16293533146381378
9,54,59,LOC,Milan >> en,Q490,-0.12778279185295105
9,104,112,PER,Leonardo da Vinci >> en,Q762,-0.18128922581672668
10,43,50,PER,Madonna (art) >> en,Q926743,-0.2774498164653778
10,57,64,PER,Saint Anne >> en,Q164294,-0.25300946831703186
10,73,79,PER,Jesus >> en,Q302,-0.006296038627624512
