id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,9,21,Pope Clement,PER,Q83159,,
0,46,56,Buonarroti,PER,Q5592,,
0,110,118,sacristy,LOC,Q660876,,
0,346,365,Fra Giovanni Agnolo,PER,Q27040,,
0,417,437,Antonio da San Gallo,PER,Q357276,,
0,474,491,Madonna di Loreto,LOC,Q654996,True,
0,485,491,Loreto,LOC,Q124110,,True
0,532,537,Frate,PER,Q27040,,
0,610,623,Duke Giuliano,PER,Q298877,,
0,638,643,Frate,PER,Q27040,,
0,737,756,Fra Giovanni Agnolo,PER,Q27040,,
0,980,989,S. Cosimo,PER,Q11841156,,
0,996,1006,S. Damiano,PER,Q11841130,,
0,1049,1056,Madonna,PER,Q345,,
0,1084,1094,S. Damiano,PER,Q11841130,,
0,1144,1149,Frate,PER,Q27040,,
0,1154,1163,S. Cosimo,PER,Q11841156,,
0,1347,1352,Frate,PER,Q27040,,
0,1410,1420,Buonarroti,PER,Q5592,,
0,1901,1906,Frate,PER,Q27040,,
0,1966,1985,Fra Giovanni Agnolo,PER,Q27040,,
0,2038,2051,Duke Giuliano,PER,Q298877,,
0,2092,2096,Pope,PER,Q83159,,
0,2254,2266,Pope Clement,PER,Q83159,,
0,2336,2341,Frate,PER,Q27040,,
0,2610,2629,Fra Giovanni Agnolo,PER,Q27040,,
1,27,37,Poggibonzi,LOC,Q91350,,True
1,57,67,Montorsoli,LOC,Q3862501,,
1,244,250,Agnolo,PER,Q27040,,
1,502,512,Montorsoli,LOC,Q3862501,,
1,514,520,Agnolo,PER,Q27040,,
1,822,841,Francesco del Tadda,PER,Q3750862,,
1,847,861,Maestro Andrea,PER,Q601850,,
1,1101,1107,Agnolo,PER,Q27040,,
1,1761,1775,Il  Volterrano,PER,Q3417362,,
2,399,412,three Consuls,ORG,Q736727,,
2,512,521,Consulate,LOC,Q736727,,
2,813,819,Agnolo,PER,Q374428,,
2,1015,1023,Giovanni,PER,Q314932,,
2,2072,2078,Agnolo,PER,Q374428,,
3,46,54,Giovanni,PER,Q314932,,
3,100,119,Vescovado of Arezzo,LOC,Q314932,,
3,193,199,Agnolo,PER,Q374428,,
3,399,407,Giovanni,PER,Q314932,,
3,704,708,Nine,ORG,Q736727,,
3,753,775,Palace in Malborghetto,LOC,Q1190961,True,
3,915,923,Giovanni,PER,Q314932,,
3,983,988,State,ORG,Q736727,,
3,1215,1227,Porta Romana,LOC,Q2104857,,
