id,start_pos,end_pos,surface,label,wb_id,score
1,103,124,Andrea del Verrocchio,PERSON,Q183458,2.2701290449788183
1,178,184,Christ,PERSON,Q302,1.089094655080975
1,191,199,Leonardo,PERSON,Q762,2.0561296153121598
1,279,287,Leonardo,PERSON,Q762,1.1776387188504351
2,211,219,Leonardo,PERSON,Q762,0.9092906568140663
3,0,8,Leonardo,PERSON,Q762,0.9251916003273349
3,32,40,Our Lady,PERSON,Q345,0.836016203926602
3,96,112,Pope Clement VII,PERSON,Q83159,1.4744950863118063
6,139,152,Amerigo Benci,PERSON,Q89125988,0.5053911065678826
7,19,24,Milan,LOC,Q490,0.0702873623025525
7,227,233,Christ,PERSON,Q302,0.990238647873294
7,339,345,Christ,PERSON,Q302,0.6831425863699959
8,118,126,Leonardo,PERSON,Q762,0.7686953812869212
9,30,38,Leonardo,PERSON,Q762,1.1227741630176973
9,54,59,Milan,LOC,Q490,0.8897188117155422
9,104,112,Leonardo,PERSON,Q762,1.1810502208648876
10,43,50,Madonna,PERSON,Q345,0.8048264048532813
10,73,79,Christ,PERSON,Q302,1.0875816757559496
10,328,336,Leonardo,PERSON,Q762,0.4826268452469188
10,406,413,Madonna,PERSON,Q345,0.5850291308731382
10,1027,1035,Leonardo,PERSON,Q762,0.3534742713159048
11,0,8,Leonardo,PERSON,Q762,0.6650743199792585
12,11,15,Rome,LOC,Q220,1.040546047742743
13,10,18,Leonardo,PERSON,Q762,0.38020672358660634
13,152,169,Niccolo Piccinino,PERSON,Q979543,0.8842167260316355
13,236,244,horsemen,ORG,Q47315,0.07391226012976015
14,33,51,Baldassarre Turini,PERSON,Q3633263,0.5563488556534842
14,55,61,Pescia,LOC,Q102661,0.18681699388655792
16,14,22,Leonardo,PERSON,Q762,0.6294863284064035
16,56,61,Milan,LOC,Q490,0.7711836170887666
16,202,209,Bologna,LOC,Q1891,0.41894244168083705
16,482,490,Leonardo,PERSON,Q762,0.15248677944911393
17,100,106,Assisi,LOC,Q20103,0.06607992925474682
17,118,124,Umbria,LOC,Q1280,0.2888357779345939
19,14,26,Michelagnolo,PERSON,Q5592,0.5499040882161622
19,89,101,Jacopo Galli,PERSON,Q21866988,0.2658143154082019
20,80,88,Florence,LOC,Q2044,0.8765244061577618
20,153,173,Piero del Pollaiuolo,PERSON,Q707046,1.7012920780840122
21,231,251,Domenico Ghirlandajo,PERSON,Q191423,1.4186303575813484
24,24,32,Florence,LOC,Q2044,0.14005648619974853
27,67,75,Florence,LOC,Q2044,0.4112778599291739
28,258,266,Our Lady,PERSON,Q345,0.7691873735883478
32,108,121,Via de' Servi,LOC,Q3556508,0.9849541848397122
