id,start_pos,end_pos,surface,type,value,is_nested
0,233,245,Michelagnolo,PER,Q5592,
0,474,491,Madonna di Loreto,LOC,Q654996,
0,485,491,Loreto,LOC,Q124110,1
0,532,537,Frate,PER,Q27040,
0,638,643,Frate,PER,Q27040,
0,980,989,S. Cosimo,PER,Q11841156,
0,996,1006,S. Damiano,PER,Q11841130,
0,1084,1094,S. Damiano,PER,Q11841130,
0,1144,1149,Frate,PER,Q27040,
0,1154,1163,S. Cosimo,PER,Q11841156,
0,1347,1352,Frate,PER,Q27040,
0,1901,1906,Frate,PER,Q27040,
0,2092,2096,Pope,PER,Q83159,
0,2336,2341,Frate,PER,Q27040,
1,1761,1775,Il  Volterrano,PER,Q3417362,
2,399,412,three Consuls,ORG,Q736727,
2,512,521,Consulate,LOC,Q736727,
3,704,708,Nine,ORG,Q736727,
3,983,988,State,ORG,Q736727,
3,1586,1621,"Cardinal di Gaeta, Apostolic Legate",PER,NIL,
3,1672,1679,Tolomei,PER,Q3992417,
3,1795,1803,S. Maria,LOC,Q10924,
4,749,755,Medici,ORG,Q170022,
4,1377,1383,Medici,ORG,Q170022,
5,335,339,Pope,PER,Q49237,
5,555,561,Medici,ORG,Q170022,1
5,601,606,David,PER,Q41370,
5,610,616,Donato,PER,Q37562,
5,648,661,Medici Palace,LOC,Q911047,
5,680,686,Palace,LOC,Q271928,
5,713,720,Signori,ORG,Q3393334,
5,1058,1062,Pope,PER,Q495011,
5,1169,1177,Our Lady,PER,Q345,1
6,1215,1222,Rabatta,LOC,NIL,1
6,1313,1319,Heaven,LOC,Q4489450,
6,1639,1645,Heaven,LOC,Q4489450,
6,2004,2010,Heaven,LOC,Q4489450,
7,424,429,Spini,ORG,NIL,
7,774,781,Filippo,PER,Q174330,
7,2046,2062,Wardens of Works,ORG,NIL,
8,11,28,siege of Florence,MISC,Q981042,
8,730,736,Medici,ORG,Q170022,1
9,517,539,villa of Baccio Valori,LOC,31A221(+81),
10,943,947,Rome,LOC,Q220,
10,1036,1041,Siren,PER,Q150986,
10,1145,1151,Sebeto,LOC,Q3953836,
10,1257,1263,Heaven,LOC,Q4489450,
10,1623,1644,Church of S. Agostino,LOC,Q779975,
10,1814,1820,Christ,PER,Q302,
10,1825,1831,Saints,PER,Q43115,
11,80,87,Matrice,LOC,Q223427,1
11,1288,1294,Ascoli,LOC,Q6624,
11,1498,1513,Lord of Matrice,PER,NIL,
11,1731,1738,Matrice,LOC,Q277684,
13,94,122,Church of the Servite Friars,LOC,Q2287001,
13,108,122,Servite Friars,ORG,Q615923,1
13,131,152,Chapel of the Tedaldi,LOC,NIL,
13,145,152,Tedaldi,ORG,NIL,1
13,231,236,Order,ORG,Q615923,
13,258,266,Our Lady,PER,Q345,
13,346,352,Heaven,LOC,Q4489450,
13,395,398,Son,PER,Q302,
13,421,432,Holy Spirit,PER,Q37302,
13,512,516,Dove,PER,Q1367208,
