doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,225,245,0,225,245,Life of Michelagnolo,MISC,0.9999885261058807
0,474,491,0,474,491,Madonna di Loreto,MISC,0.9999758303165436
0,979,989,2,94,104,S . Cosimo,MISC,0.554404616355896
0,995,1006,2,110,121,S . Damiano,MISC,0.6798160076141357
0,1080,1083,2,195,198,the,MISC,0.5750157237052917
0,1084,1085,2,199,200,S,PER,0.4357578158378601
0,1085,1086,2,200,201,.,MISC,0.5455217957496643
0,2043,2051,5,119,127,Giuliano,PER,0.7488089203834534
1,1761,1775,6,210,224,Il Volterrano,MISC,0.9998404085636139
3,113,119,0,113,119,Arezzo,LOC,0.9997937083244324
3,1598,1603,5,153,158,Gaeta,PER,0.8201139569282532
3,1795,1803,6,172,180,S . Maria,PER,0.9998652537663778
4,708,727,2,11,30,Magnificent Lorenzo,PER,0.9999176462491354
4,749,755,2,52,58,Medici,PER,0.9996010661125183
5,555,561,1,266,272,Medici,PER,0.994513750076294
5,601,616,1,312,327,David of Donato,MISC,0.9998752027750015
7,424,429,1,94,99,Spini,PER,0.7534505724906921
7,1950,1959,7,168,177,S . Jacopo,PER,0.9990241527557373
8,730,736,2,82,88,Medici,PER,0.9990480542182922
9,190,199,0,190,199,de ' Rossi,PER,0.99193408091863
9,551,559,2,67,75,Castello,LOC,0.6665264815092087
11,1288,1294,4,192,198,Ascoli,PER,0.9779037237167358
12,599,604,2,0,5,Piero,PER,0.9999812841415405
14,166,189,0,166,189,Life of Perino del Vaga,MISC,0.9978965024153391
14,1927,1943,5,234,250,Life of Our Lady,MISC,0.999967622756958
14,1967,1992,6,22,47,S . Jacopo degli Spagnuoli,PER,0.7543046951293946
15,801,808,2,336,343,Colonna,PER,0.9999417066574097
15,820,826,2,355,361,Orsini,PER,0.8994336128234863
16,1895,1905,2,155,165,S . Antonio,LOC,0.9959845344225565
19,384,390,1,93,99,Andrea,PER,0.9999754428863525
22,1142,1153,3,177,188,Life of him,MISC,0.9999648630619049
22,1856,1864,6,101,109,Florence,PER,0.8684599995613098
24,816,822,1,200,206,Verona,LOC,0.9994410872459412
25,47,55,0,47,55,Giocondo,PER,0.9874864816665649
25,1376,1384,4,245,253,Giocondo,PER,0.647464394569397
32,2335,2342,6,59,66,Alberti,PER,0.9995788931846619
34,2054,2059,2,316,321,Italy,LOC,0.9999569654464722
34,2531,2538,3,263,270,Canossa,LOC,0.9986481070518494
34,3323,3330,5,30,37,Podestà,PER,0.9951180219650269
35,71,76,0,71,76,Giant,MISC,0.4858366847038269
35,1250,1258,4,222,230,Florence,LOC,0.9999709129333496
37,60,83,0,60,83,Oratory of Orsanmichele,MISC,0.9999887545903524
37,257,262,0,257,262,S . Lo,PER,0.9999916553497314
38,924,930,3,20,26,Venice,LOC,0.9999902248382568
38,1220,1230,4,39,49,S . Antonio,PER,0.6505991816520691
38,1274,1275,4,93,94,S,PER,0.6434412002563477
39,123,147,0,123,147,Life of Giovanni Bellini,MISC,0.9999858856201171
39,1385,1408,6,4,27,S. Giovanni Evangelista,PER,0.9999719460805258
39,1548,1560,6,167,179,S. Cantianus,PER,0.9971128404140472
39,1566,1580,6,185,199,S. Cantianilla,PER,0.9485019147396088
39,1912,1924,9,4,16,S. Francesco,PER,0.8684189021587372
39,2020,2054,9,112,146,Our Lady with S . James the Apostle,MISC,0.9984627366065979
41,835,838,2,161,164,the,MISC,0.8978868722915649
41,2127,2145,7,83,101,S . Mary Magdalene,MISC,0.9962873458862305
41,2429,2440,8,38,49,S . Nicholas,PER,0.9999860922495524
44,1737,1748,4,586,597,S . Antonino,PER,0.9985857407251993
45,1110,1137,5,102,129,Dead Christ with the Maries,MISC,0.9989188214143118
45,1189,1200,5,181,192,some Saints,MISC,0.8787926435470581
45,1326,1333,6,124,131,Cortona,LOC,0.9998486042022705
45,1420,1426,6,218,224,Saints,MISC,0.5614395141601562
45,1770,1778,8,28,36,S . Rocco,PER,0.679895301659902
45,1782,1787,8,40,45,Prato,PER,0.44112175703048706
45,1843,1851,8,101,109,Our Lady,MISC,0.9977930188179016
45,1968,1976,8,226,234,Our Lady,MISC,0.8090484738349915
46,2110,2117,6,35,42,Michele,PER,0.9999908208847046
48,159,166,0,159,166,Vecelli,PER,0.9762725234031677
49,1124,1132,5,37,45,Our Lady,MISC,0.9865923821926117
50,1023,1032,4,128,137,del Fiore,LOC,0.8520543873310089
50,1453,1464,5,159,170,S . Giovanni,PER,0.9990720550219218
51,846,853,2,217,224,Lorenzo,PER,0.9999803304672241
51,2288,2290,7,22,24,S .,LOC,0.7650004327297211
51,2291,2296,7,25,30,Maria,PER,0.45985227823257446
51,2343,2350,7,77,84,Madonna,MISC,0.4721810519695282
51,2534,2546,7,268,280,S . Francesco,PER,0.9902900060017904
52,87,91,0,87,91,Vado,LOC,0.9961754083633423
53,1128,1136,3,85,93,Federigo,PER,0.9992846846580505
53,2028,2045,7,46,63,Angel slaying the,MISC,0.6967910726865133
53,2944,2953,9,241,250,Caprarola,PER,0.9999419450759888
