id,start_pos,end_pos,surface,type,value
0,582,605,statues of Duke Lorenzo,WORK,q3937601
0,610,623,Duke Giuliano,WORK,q3937559
0,980,989,S. Cosimo,WORK,
0,996,1006,S. Damiano,WORK,
0,1049,1056,Madonna,WORK,
0,1049,1056,Madonna,WORK,
0,1154,1163,S. Cosimo,WORK,q3937559
0,2027,2051,statues of Duke Giuliano,WORK,q3937559
0,2056,2068,Duke Lorenzo,WORK,q3937601
1,1725,1753,tomb of M. Raffaello Maffei,WORK,
5,358,443,model of a nude David who was holding Goliath under him and was cutting off his head,WORK,
5,601,617,David of Donato,WORK,q735085
5,1157,1178,Nativity of Our Lady,WORK,
7,1884,1910,"two, half-length prophets",WORK,
7,1941,1971,altar of S. Jacopo in Pistoia,WORK,
9,56,200,"copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,
9,68,200,"picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,q733662
9,418,446,portrait of Cencio Guasconi,WORK,
10,1576,1881,"panel-picture in oils on the high-altar of the Church of S. Agostino, with a large ornamental frame, and various pictures painted with scenes  and figures, in which he represented S. Augustine disputing with the heretics, with stories of Christ and Saints in various attitudes both above and at the sides",WORK,
13,81,153,"panel in the Church of the Servite Friars, in the Chapel of the Tedaldi",WORK,q3204084
13,1273,1322,S. Margaret issuing from the belly of the Dragon,WORK,
13,1698,1713,marine monster,WORK,
14,457,705,"altar-piece twelve palms high painted by him in oils at the age of twenty, which is now in the Badia of S. Stefano, near his native town of Sermoneta; wherein, large as life, are S. Peter, S. Stephen, and S. John the Baptist, with certain children",WORK,
14,809,903,"altar-piece in oils with the Dead Christ, Our Lady, S. John, the Magdalene, and other figures",WORK,
14,1072,1229,"pattern of four pictures, painting therein the Nativity of Jesus Christ, the Adoration of the Magi, the Flight into Egypt, and the Massacre of the Innocents",WORK,
14,1119,1144,Nativity of Jesus Christ,WORK,
