id,start_pos,end_pos,surface,type,value,is_nested
2,359,375,in the year 1190,DATE,1190,
2,474,495,in the following year,DATE,1191,
2,1055,1071,in the year 1284,DATE,1284,
3,787,803,in the year 1308,DATE,1308,
3,896,923,after the death of Giovanni,INTERVAL,1315; 1318; y; z,
3,1012,1028,in the year 1317,DATE,1317,
3,1124,1140,in the year 1321,DATE,1321,
3,1261,1267,to-day,DATE,pres_ref,
3,1289,1305,in the year 1326,DATE,1326,
3,1445,1461,In the same year,DATE,1317,
3,1623,1641,No long time after,INTERVAL,1317; x; y; z,
4,0,135,In the days when the arts of design flourished in Florence by the favour and assistance of the elder Lorenzo de' Medici the Magnificent,INTERVAL,1469; 1492; w; z,
4,1418,1434,in the year 1494,DATE,1494,
4,1656,1672,In the year 1487,DATE,1487,
7,703,719,in the year 1398,DATE,1398,
8,0,28,Before the siege of Florence,INTERVAL,1529; 1530; w; x,
8,588,607,until the year 1529,INTERVAL,1529; w; x; z,
11,379,389,in his day,INTERVAL,1480; 1547; w; z,
11,734,762,in the time of Pope Paul III,INTERVAL,10-11-1549; 23-10-1534; w; z,
14,510,530,at the age of twenty,DATE,1541,
15,642,657,the present day,DATE,pres_ref,
16,1310,1326,in the year 1307,DATE,1307,
16,1582,1598,in the year 1344,DATE,1344,
16,1913,1919,to-day,DATE,pres_ref,
16,2851,2864,the year 1557,DATE,1557,
16,3042,3058,in the year 1355,DATE,1355,
18,1392,1408,in the year 1478,DATE,1478,
22,1047,1108,"in the time of the Florentine architect, Antonio da San Gallo",INTERVAL,1484; 1546; w; z,
23,1,28,In the time of Pope Paul II,INTERVAL,1464; 1471; w; z,
23,214,232,at the present day,DATE,pres_ref,
23,415,437,in the time of Clement,INTERVAL,25-09-1534; 29-11-1523; w; z,
23,439,455,in the year 1526,DATE,1526,
26,995,1011,in the year 1276,DATE,1276,
27,12,28,in the year 1327,DATE,1327,
27,2221,2227,to-day,DATE,pres_ref,
30,141,151,in his day,INTERVAL,1476; 1526; w; z,
33,2830,2836,to-day,DATE,pres_ref,
34,2314,2330,in the year 1474,DATE,1474,
34,2573,2585,in that year,DATE,1474,
34,2750,2762,6th of March,DATE,6-03-1474,
35,134,150,in the year 1503,DATE,1503,
37,793,809,in the year 1430,DATE,1430,
39,2609,2628,to the age of sixty,DATE,1510,
41,376,392,in the year 1422,DATE,1422,
41,1032,1057,on the second day of June,DATE,june 02,
42,2081,2110,"Good Friday, in the year 1483",DATE,28-03-1483,
46,44,60,in the year 1484,DATE,1484,
47,959,977,at the present day,DATE,pres_ref,
48,118,134,in the year 1480,DATE,1480,
48,987,1006,about the year 1507,DATE,1507,
49,1256,1272,in the year 1507,DATE,1507,
51,376,397,in the time of Andrea,INTERVAL,1435; 31-12-1488; 7-10-1488; w,
51,673,705,the death of Giuliano de' Medici,DATE,26-04-1478,
52,0,36,Francesco Maria being Duke of Urbino,INTERVAL,1508; 1538; w; z,
52,123,156,1st of September in the year 1529,DATE,1-09-1529,
53,259,286,in the time of Pope Paul IV,INTERVAL,18-08-1559; 23-05-1555; 26-05-1555; z,
