id;start_pos;end_pos;surface;wb_id;type;matched;match_type;kb-surface
1;46;53;boyhood;Q276258;MISC;True;plain;
1;62;70;instance;OOV;MISC;False;;
1;74;83;Ser Piero;Q371916;PER;True;plain;
1;94;97;art;Q735;MISC;True;plain;
1;103;124;Andrea del Verrocchio;Q183458;PER;True;plain;
1;143;156;panel-picture;Q55439;MISC;False;;
1;160;167;S. John;Q40662;PER;True;normalized;St. John
1;178;184;Christ;Q302;PER;True;plain;
1;191;199;Leonardo;Q762;PER;True;plain;
1;211;216;angel;Q235113;MISC;True;plain;
1;238;246;garments;Q11460;MISC;True;plain;
1;274;277;lad;Q3010;MISC;True;plain;
1;279;287;Leonardo;Q762;PER;True;plain;
1;310;316;manner;Q367293;MISC;True;plain;
1;326;331;angel;Q235113;MISC;True;plain;
1;357;364;figures;Q29527347;MISC;True;normalized;figure
1;368;374;Andrea;Q183458;PER;False;;
1;390;396;reason;Q1710397;MISC;True;plain;
1;402;408;Andrea;Q183458;PER;False;;
1;433;439;colour;Q1075;MISC;True;plain;
1;459;464;child;Q7569;MISC;True;plain;
2;30;37;cartoon;Q1416517;MISC;True;plain;
2;44;56;door-hanging;Q5297203;MISC;False;;
2;84;92;Flanders;Q234;LOC;True;plain;
2;103;107;gold;Q897;MISC;True;plain;
2;112;116;silk;Q37681;MISC;True;plain;
2;136;152;King of Portugal;Q51711012;PER;True;plain;
2;157;169;Adam and Eve;Q58701;PER;True;plain;
2;185;201;Earthly Paradise;Q19014;LOC;True;plain;
2;211;219;Leonardo;Q762;PER;True;plain;
2;234;239;brush;Q614467;MISC;True;plain;
2;243;254;chiaroscuro;Q219540;MISC;True;plain;
2;265;271;lights;Q9128;MISC;True;plain;
2;275;285;lead-white;Q656004;MISC;True;normalized;Lead white
2;289;295;meadow;Q7777019;MISC;True;plain;
2;308;313;kinds;Q21146257;MISC;True;normalized;kind
2;317;324;herbage;OOV;MISC;False;;
2;336;343;animals;Q729;MISC;True;plain;
2;389;398;diligence;Q1427962;MISC;True;plain;
2;403;408;truth;Q7949;MISC;True;plain;
2;412;418;nature;Q7860;MISC;True;plain;
2;426;429;wit;Q353284;MISC;False;;
2;358;363;truth;Q7949;MISC;True;plain;
3;0;8;Leonardo;Q762;PER;True;plain;
3;21;28;picture;Q478798;MISC;True;plain;
3;32;40;Our Lady;Q345;PER;True;plain;
3;59;63;work;Q17537576;MISC;True;plain;
3;82;92;possession;Q1400881;MISC;True;plain;
3;96;112;Pope Clement VII;Q83159;PER;True;plain;
3;180;184;vase;Q191851;MISC;True;plain;
3;131;137;things;Q35120;MISC;True;plain;
3;193;198;water;Q283;MISC;True;plain;
3;216;223;flowers;Q506;MISC;True;plain;
3;258;269;naturalness;Q37852924;MISC;True;plain;
3;291;300;dew-drops;Q41097;MISC;True;normalized;dew-drop
3;308;315;flowers;Q506;MISC;True;plain;
3;354;361;reality;Q9510;MISC;True;plain;
4;21;33;works of art;Q17537576;MISC;True;normalized;work of art
4;41;62;Palace of Duke Cosimo;Q911047;LOC;False;;
4;82;86;head;Q23640;MISC;True;plain;
4;93;98;angel;Q235113;MISC;True;plain;
4;119;122;arm;Q43471;MISC;True;plain;
