id,start_pos,end_pos,surface,wb_id,matched,type,kb-surface
1,35,46,Mercatanzia,Q3998632,False,,
1,50,58,Fiorenza,Q2044,True,plain,
1,64,72,Fortezza,Q605035,True,plain,
1,80,86,tavole,Q55439,True,plain,
1,93,98,Virtù,Q904802,True,plain,
1,103,110,Antonio,Q318640,True,plain,
1,113,133,Piero del Pollaiuolo,Q707046,True,plain,
1,17,27,giovanetto,Q3010,False,,
2,3,13,Ogni Santi,Q2778991,False,,
2,35,43,tramezzo,Q2705982,True,plain,
2,49,54,porta,Q36794,True,plain,
2,65,69,coro,Q207707,True,plain,
2,77,85,Vespucci,Q4010390,True,plain,
2,90,104,Santo Agostino,Q8018,True,normalized,San Agostino
2,171,176,tempo,Q11471,True,plain,
2,215,220,opera,Q838948,True,plain,
2,272,277,testa,Q23640,True,plain,
2,286,291,santo,Q8018,False,,
2,309,320,cogitazione,Q108458,False,,
2,335,347,sottigliezza,Q49396791,True,plain,
2,372,379,persone,Q5,True,normalized,persona
2,420,434,investigazione,Q21004260,False,,
2,438,442,cose,Q26256810,False,,
3,18,33,Lorenzo Vecchio,Q932292,True,normalized,Lorenzo il Vecchio
3,48,52,cose,Q35120,False,,
3,3,14,casa Medici,Q911047,False,,
3,73,80,Pallade,Q457294,True,plain,
3,99,107,bronconi,Q2923673,False,,
3,122,127,fuoco,Q3196,True,plain,
3,182,195,S. Sebastiano,Q183332,True,plain,
3,199,218,Santa Maria Maggior,Q849356,True,normalized,Santa Maria Maggiore
3,222,230,Fiorenza,Q2044,True,plain,
4,14,20,Sandro,Q5669,False,,
4,41,50,tavoletta,Q55439,False,,
4,31,36,tempo,Q11471,True,plain,
4,63,69,figure,Q29527347,True,plain,
4,123,142,Santa Maria Novella,Q51175,True,plain,
4,154,159,porte,Q36794,True,plain,
4,167,175,facciata,Q183061,True,plain,
4,193,199,chiesa,Q16970,True,plain,
4,222,227,porta,Q36794,True,plain,
4,268,287,Adorazione de' Magi,Q488841,True,normalized,Adorazione dei Magi
4,326,333,vecchio,Q191089,True,plain,
4,351,356,piede,Q15807,True,plain,
4,232,237,mezzo,Q23595,False,,
4,308,315,affetto,Q159904,True,plain,
4,360,374,Nostro Signore,Q302,True,normalized,Signore
4,393,402,tenerezza,Q19816620,True,plain,
4,443,447,fine,Q12769393,True,plain,
4,468,475,viaggio,Q61509,True,plain,
4,87,94,braccio,Q280164,True,plain,
5,14,19,Piero,Q280851,True,plain,
5,24,30,tavola,Q55439,True,plain,
5,114,119,veste,Q11460,True,plain,
5,126,135,guanciale,Q99895,True,plain,
5,216,221,terra,Q21152267,False,,
5,228,232,dado,Q284053,True,plain,
5,242,247,libro,Q571,True,plain,
5,251,255,mano,Q33767,True,plain,
5,266,275,Figliuolo,Q942467,False,,
5,289,294,testa,Q23640,True,plain,
5,298,303,cielo,Q527,True,plain,
5,325,338,Spirito Santo,Q37302,True,plain,
5,36,56,cappella de' Tedaldi,OOV,False,,
5,63,89,chiesa de' frati de' Servi,Q2287001,False,,
5,179,196,Nostra Donnaritta,Q345,False,,
5,139,146,Filippo,Q141900,False,,
5,151,156,frate,Q548320,True,plain,
6,11,19,Fiorenza,Q2044,True,plain,
6,26,32,quadri,Q3305213,True,normalized,quadro
6,39,48,cittadini,Q2472587,False,,
