id,start_pos,end_pos,surface,type,wb_id
1,46,53,boyhood,MISC,Q276258
1,62,70,instance,MISC,OOV
1,74,83,Ser Piero,PER,Q371916
1,94,97,art,MISC,Q735
1,103,124,Andrea del Verrocchio,PER,Q183458
1,143,156,panel-picture,MISC,Q55439
1,160,167,S. John,PER,Q40662
1,178,184,Christ,PER,Q302
1,191,199,Leonardo,PER,Q762
1,211,216,angel,MISC,Q235113
1,238,246,garments,MISC,Q11460
1,274,277,lad,MISC,Q3010
1,279,287,Leonardo,PER,Q762
1,310,316,manner,MISC,Q367293
1,326,331,angel,MISC,Q235113
1,357,364,figures,MISC,Q29527347
1,368,374,Andrea,PER,Q183458
1,390,396,reason,MISC,Q1710397
1,402,408,Andrea,PER,Q183458
1,433,439,colour,MISC,Q1075
1,459,464,child,MISC,Q7569
2,30,37,cartoon,MISC,Q1416517
2,44,56,door-hanging,MISC,Q5297203
2,84,92,Flanders,LOC,Q234
2,103,107,gold,MISC,Q897
2,112,116,silk,MISC,Q37681
2,136,152,King of Portugal,PER,Q51711012
2,157,169,Adam and Eve,PER,Q58701
2,185,201,Earthly Paradise,LOC,Q19014
2,211,219,Leonardo,PER,Q762
2,234,239,brush,MISC,Q614467
2,243,254,chiaroscuro,MISC,Q219540
2,265,271,lights,MISC,Q9128
2,275,285,lead-white,MISC,Q656004
2,289,295,meadow,MISC,Q7777019
2,308,313,kinds,MISC,Q21146257
2,317,324,herbage,MISC,Q190903
2,336,343,animals,MISC,Q729
2,389,398,diligence,MISC,Q1427962
2,403,408,truth,MISC,Q7949
2,412,418,nature,MISC,Q7860
2,419,429,divine wit,MISC,Q7501062
2,358,363,truth,MISC,Q7949
3,0,8,Leonardo,PER,Q762
3,21,28,picture,MISC,Q478798
3,32,40,Our Lady,PER,Q345
3,59,63,work,MISC,Q17537576
3,82,92,possession,MISC,Q1400881
3,96,112,Pope Clement VII,PER,Q83159
3,180,184,vase,MISC,Q191851
3,131,137,things,MISC,Q35120
3,193,198,water,MISC,Q283
3,216,223,flowers,MISC,Q506
3,258,269,naturalness,MISC,Q37852924
3,291,300,dew-drops,MISC,Q41097
3,308,315,flowers,MISC,Q506
3,354,361,reality,MISC,Q9510
4,21,33,works of art,MISC,Q17537576
4,41,47,Palace,MISC,Q16560
4,51,62,Duke Cosimo,LOC,Q48547
4,82,86,head,MISC,Q23640
4,93,98,angel,MISC,Q235113
4,119,122,arm,MISC,Q43471
4,130,133,air,MISC,Q7391292
4,184,192,shoulder,MISC,Q16363
4,200,205,elbow,MISC,Q42586
4,240,244,hand,MISC,Q33767
4,252,258,breast,MISC,Q9103
5,4,17,Antonio Segni,PER,OOV
5,41,47,friend,MISC,Q17297777
5,63,77,sheet of paper,MISC,Q196878
5,81,88,Neptune,MISC,Q3954
5,116,131,draughtsmanship,MISC,OOV
6,11,24,panel-picture,MISC,Q55439
6,32,53,Adoration of the Magi,MISC,Q488841
6,81,87,things,MISC,Q35120
6,106,111,heads,MISC,Q23640
6,130,135,house,MISC,Q3947
6,139,152,Amerigo Benci,PER,Q89125988
6,167,185,Loggia de' Peruzzi,LOC,Q20008396
6,239,244,works,MISC,Q17537576
7,19,24,Milan,LOC,Q490
7,34,54,Friars of S. Dominic,ORG,Q131479
7,59,80,S. Maria delle Grazie,LOC,Q244952
7,84,95,Last Supper,MISC,Q51633
7,129,134,thing,MISC,Q35120
7,147,152,heads,MISC,Q23640
7,160,168,Apostles,PER,Q4155679
7,182,189,majesty,MISC,OOV
7,194,200,beauty,MISC,Q7242
7,219,223,head,MISC,Q23640
7,227,233,Christ,PER,Q302
7,300,303,air,MISC,OOV
7,330,335,image,MISC,Q478798
7,339,345,Christ,PER,Q302
8,12,21,refectory,LOC,Q568225
8,51,62,Last Supper,MISC,Q51633
8,75,79,wall,MISC,Q42948
8,91,98,Passion,MISC,Q623306
8,110,116,manner,MISC,Q12894677
8,118,126,Leonardo,PER,Q762
8,146,154,Lodovico,PER,Q236853
8,161,173,Massimiliano,PER,Q378739
8,186,189,son,MISC,Q177232
8,209,213,side,MISC,Q30444261
8,219,235,Duchess Beatrice,PER,Q813280
8,242,251,Francesco,PER,Q378868
8,265,268,son,MISC,Q177232
8,301,315,Dukes of Milan,PER,Q692686
9,21,26,works,MISC,Q17537576
9,30,38,Leonardo,PER,Q762
9,54,59,Milan,LOC,Q490
9,68,72,time,MISC,Q11471
9,78,92,King of France,PER,Q18384454
9,104,112,Leonardo,PER,Q762
9,148,153,thing,MISC,Q35120
9,162,166,lion,MISC,Q140
9,214,220,breast,MISC,Q9103
9,244,250,lilies,MISC,Q5194627
9,188,193,steps,MISC,Q16511984
10,7,10,end,MISC,Q12769393
10,22,29,cartoon,MISC,Q1416517
10,43,50,Madonna,PER,Q345
10,57,64,S. Anne,PER,Q164294
