id,start_pos,end_pos,entity,wb_id,score
1,1761,1775,Volterrano >> en,Q2403504,0.0248909592628479
3,100,119,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.24351683259010315
4,801,809,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.10775420069694519
5,104,110,Basilica della Santa Casa >> en,Q654996,-0.08682486414909363
5,839,853,Andrea Contucci >> en,Q495011,-0.035395920276641846
5,2210,2216,Basilica della Santa Casa >> en,Q654996,-0.15310831367969513
6,1136,1151,Filippo Brunelleschi >> en,Q174330,-0.017327547073364258
7,1224,1239,Filippo Brunelleschi >> en,Q174330,-0.1455044150352478
9,85,104,Raffaello da Urbino >> en,Q5597,0.3341520130634308
13,757,770,Servite Order >> en,Q615923,-0.1763221025466919
14,1967,1992,San Giacomo degli Spagnuoli >> en,Q1649784,0.10664433240890503
14,2044,2050,Christ >> en,Q302,0.090861976146698
15,1607,1612,Saint >> en,Q43115,-0.18872560560703278
19,35,55,Santa Maria dei Servi >> en,Q1021897,-0.1930927038192749
22,1916,1942,Bramante >> en,Q7793,-0.17709535360336304
23,16,28,Pope Paul II >> en,Q102605,-0.18286970257759094
26,1033,1040,Bondone >> en,Q246478,-0.16022616624832153
27,59,65,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.16499757766723633
27,94,110,Massa >> en,Q13370,-0.15711736679077148
27,342,348,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.2241494357585907
27,522,538,Guelphs and Ghibellines >> en,Q187742,0.08913502097129822
27,2045,2053,Crucifix >> en,Q20460,-0.19004088640213013
28,603,633,Lorenzo de' Medici >> en,Q177854,-0.1116601973772049
28,1611,1627,Santa Maria Novella >> en,Q51175,0.0060492753982543945
29,182,200,Francesco Ubertini >> en,Q27787890,-0.09104625880718231
31,70,79,"Francesco I de' Medici, Grand Duke of Tuscany >> en",Q299675,-0.1589159369468689
33,38,55,Margravate of Mantua >> en,Q3845763,-0.12312817573547363
33,154,162,Florence >> en,Q2044,-0.1828179955482483
33,2268,2273,Padua >> en,Q617,-0.13841301202774048
34,353,359,Nature >> en,Q7860,-0.1977837085723877
34,2613,2619,Chiusi >> en,Q91185,-0.1925782710313797
35,80,88,Florence >> en,Q2044,-0.1771339476108551
35,1708,1717,St. Peter's Basilica >> en,Q12512,0.07702255249023438
38,1309,1331,Monte Oliveto Maggiore >> en,Q1247143,-0.055381953716278076
39,1473,1478,Saint >> en,Q43115,-0.18699924647808075
41,141,147,Arezzo >> en,Q13378,-0.19228628277778625
41,2312,2320,Crucifix >> en,Q20460,-0.15398141741752625
43,74,92,Apostolic Penitentiary >> en,Q620144,-0.05511443316936493
43,94,103,Raffaello Sanzio >> en,Q5597,0.23440313339233398
45,1131,1137,"Mary, mother of Jesus >> en",Q345,-0.15332797169685364
46,1264,1272,Petrucci >> en,Q243574,-0.03905832767486572
46,1840,1860,Papal States >> en,Q170174,0.010950133204460144
48,0,7,Titian >> en,Q47551,0.058465614914894104
48,159,166,Vecelli >> en,Q56246399,-0.10372760891914368
49,10,19,Giorgione >> en,Q8459,-0.1810835301876068
49,1386,1399,Raphael >> en,Q5597,-0.12801626324653625
49,1892,1901,Giorgione >> en,Q8459,-0.18220451474189758
50,1453,1464,San Giovanni in Laterano >> en,Q84090,0.16144773364067078
