doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,474,481,474,481,Madonna,MISC,"['person', 'object', 'art', 'female', 'idol', 'statue', 'deity']"
0,482,491,482,491,di Loreto,LOC,"['person', 'object', 'art', 'female', 'idol', 'representation', 'statue']"
0,1528,1534,252,258,Arezzo,LOC,"['person', 'location', 'place', 'art', 'building', 'city', 'facility', 'structure', 'area', 'art school', 'home', 'museum', 'place name', 'space', 'state', 'workplace', 'space environment', 'space group']"
0,2180,2190,256,266,S. Lorenzo,LOC,"['person', 'baron', 'bishop', 'duke', 'emperor', 'king', 'landmark', 'leader', 'place name', 'ruler', 'statue', 'grand duke', 'name', 'sovereign', 'aristocrat']"
0,2309,2317,3,11,Florence,LOC,"['location', 'place', 'building', 'city', 'area', 'capital city', 'cathedral city', 'city center', 'city state', 'figure', 'first city', 'home', 'municipality', 'place name', 'town', 'township']"
0,2336,2341,30,35,Frate,PER,"['person', 'object', 'action figure', 'character', 'figure', 'idol', 'public figure', 'sculptor', 'statue', 'father figure', 'stick figure', 'deity']"
0,2530,2542,224,236,Michelagnolo,PER,"['person', 'artist', 'adult', 'art student', 'creator', 'figure', 'master', 'painter', 'professional', 'visual artist']"
0,2610,2629,304,323,Fra Giovanni Agnolo,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'figure', 'male', 'man', 'master', 'painter', 'professional', 'sculptor', 'visual artist']"
1,877,884,103,110,Fiesole,LOC,"['person', 'location', 'place', 'art', 'city', 'area', 'creator', 'place name', 'sculptor', 'state', 'town']"
1,1761,1775,210,224,Il Volterrano,LOC,"['object', 'place', 'structure', 'creation', 'landmark', 'memorial', 'monument', 'place name', 'name', 'artifact']"
2,69,77,69,77,Giovanni,PER,"['person', 'artist', 'adult', 'creator', 'maker', 'master', 'painter', 'professional', 'sculptor', 'sculpture', 'visual artist']"
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
2,868,876,68,76,Giovanni,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art historian', 'art student', 'creator', 'maker', 'male', 'master', 'painter', 'performer', 'professional', 'visual artist']"
3,100,119,100,119,Vescovado of Arezzo,LOC,"['location', 'place', 'art', 'building', 'city', 'structure', 'area', 'art gallery', 'art school', 'capital city', 'city state', 'home', 'municipality', 'museum', 'place name', 'space', 'town']"
3,719,727,151,159,Agostino,PER,"['person', 'architect', 'artist', 'adult', 'builder', 'creator', 'designer', 'leader', 'male', 'man', 'master', 'painter', 'professional', 'sculptor', 'sculpture']"
4,1825,1837,0,12,Michelagnolo,PER,"['person', 'artist', 'adult', 'art form', 'art historian', 'creator', 'father', 'maker', 'male', 'man', 'master', 'old man', 'professional', 'writer', 'craftsman']"
5,171,186,171,186,Monte Sansovino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'city state', 'creation', 'creator', 'maker', 'place name', 'state']"
5,747,753,25,31,Baccio,PER,"['person', 'actor', 'artist', 'director', 'musician', 'adult', 'art form', 'art student', 'classical music', 'composer', 'conductor', 'creator', 'film maker', 'maker', 'master', 'musical', 'musical instrument', 'opera', 'opera singer', 'orchestra', 'painter', 'performer', 'piano', 'piano player', 'professional', 'singer', 'visual artist', 'player piano', 'entertainer']"
5,2101,2111,144,154,Bandinelli,PER,"['person', 'actor', 'artist', 'musician', 'adult', 'creator', 'criminal', 'figure', 'leader', 'male', 'male member', 'man', 'master', 'opera singer', 'performer', 'piano player', 'player piano']"
5,2210,2216,38,44,Loreto,LOC,"['location', 'place', 'building', 'city', 'country', 'area', 'capital city', 'city state', 'first city', 'home', 'home town', 'municipality', 'new town', 'opera', 'placement', 'place name', 'point', 'position', 'region', 'scene', 'setting', 'small town', 'space', 'state', 'state capital', 'town', 'township', 'villa', 'village', 'name', 'space group', 'state space', 'localization', 'stead']"
5,2393,2415,37,59,Raffaello da Montelupo,PER,"['person', 'artist', 'musician', 'adult', 'art student', 'composer', 'conductor', 'creation', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'piano player', 'professional', 'visual artist', 'player piano', 'entertainer']"
8,1823,1831,6,14,Giuliano,PER,"['person', 'actor', 'artist', 'musician', 'adult', 'art historian', 'art student', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'profession', 'professional', 'visual artist', 'worker', 'young adult']"
10,769,784,29,44,Marco Calavrese,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'maker', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist', 'entertainer']"
10,1516,1522,54,60,Aversa,LOC,"['location', 'place', 'building', 'city', 'country', 'area', 'city state', 'figure', 'first city', 'home', 'home town', 'landmark', 'municipality', 'nation', 'new town', 'placement', 'place name', 'point', 'position', 'region', 'site', 'small town', 'space', 'state', 'town', 'township', 'set point', 'space environment', 'space group', 'localization']"
10,1547,1553,85,91,Naples,LOC,"['location', 'place', 'city', 'country', 'area', 'capital', 'capital city', 'city center', 'city state', 'figure', 'first city', 'home', 'home town', 'independent city', 'market town', 'municipality', 'new town', 'placement', 'place name', 'point', 'port city', 'position', 'region', 'small town', 'state', 'state capital', 'town', 'township', 'town square', 'municipal borough', 'localization']"
13,40,45,40,45,Piero,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'visual artist']"
13,583,594,125,136,S. Margaret,PER,"['person', 'religious leader', 'adult', 'character', 'female', 'figure', 'idol', 'priest', 'public figure', 'saint', 'servant', 'spiritual leader', 'woman', 'organism', 'deity']"
13,601,613,143,155,S. Catherine,PER,"['person', 'religious leader', 'adult', 'character', 'cleric', 'female', 'figure', 'idol', 'priest', 'public figure', 'religious order', 'saint', 'servant', 'spiritual leader', 'woman', 'organism', 'deity']"
13,658,666,200,208,S. Peter,PER,"['person', 'religious leader', 'archbishop', 'bishop', 'cardinal', 'cleric', 'figure', 'high priest', 'idol', 'leader', 'male', 'man', 'master', 'pope', 'priest', 'public figure', 'religious', 'religious order', 'saint', 'servant', 'spiritual leader', 'organism', 'clergyman', 'deity']"
13,671,693,213,235,S. John the Evangelist,PER,"['person', 'religious leader', 'archbishop', 'bishop', 'cleric', 'figure', 'high priest', 'idol', 'leader', 'male', 'man', 'pope', 'priest', 'public figure', 'religious', 'religious order', 'saint', 'servant', 'spiritual leader', 'father figure', 'organism', 'clergyman', 'deity']"
13,741,751,283,293,S. Filippo,PER,"['person', 'religious leader', 'archbishop', 'bishop', 'cardinal', 'cleric', 'figure', 'guru', 'high priest', 'idol', 'leader', 'male', 'man', 'monastery', 'pope', 'priest', 'public figure', 'religious', 'religious order', 'saint', 'servant', 'spiritual leader', 'father figure', 'organism', 'clergyman']"
13,776,787,318,329,S. Antonino,PER,"['person', 'religious leader', 'archbishop', 'bishop', 'cardinal', 'cleric', 'figure', 'high priest', 'leader', 'male', 'man', 'official', 'pope', 'priest', 'public figure', 'servant', 'spiritual leader', 'cardinal bishop', 'father figure', 'world leader', 'organism', 'clergyman']"
14,166,180,166,180,Life of Perino,PER,"['person', 'art', 'writing', 'art historian', 'biography', 'book', 'history', 'publication', 'record', 'script', 'writer', 'art history', 'culture medium', 'life history', 'life story']"
14,244,260,244,260,Castel S. Angelo,LOC,"['place', 'art', 'building', 'structure', 'art form', 'art historian', 'artwork', 'creation', 'creator']"
14,420,428,39,47,Girolamo,PER,"['person', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
14,552,571,171,190,Badia of S. Stefano,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'home', 'house', 'museum', 'place name', 'space', 'temple', 'villa', 'museum piece', 'space group']"
14,874,883,168,177,Magdalene,PER,"['person', 'object', 'religious leader', 'character', 'female', 'figure', 'idol', 'public figure', 'spiritual leader', 'woman', 'deity']"
14,1374,1382,47,55,Girolamo,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
14,2087,2090,142,145,Him,MISC,"['person', 'god', 'religious leader', 'angel', 'character', 'female', 'figure', 'idol', 'pope', 'public figure', 'spiritual leader', 'deity']"
15,198,204,5,11,Jacopo,PER,"['person', 'actor', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'performer', 'profession', 'professional', 'visual artist', 'entertainer']"
15,1859,1866,245,252,Thieves,PER,"['person', 'object', 'character', 'criminal', 'figure', 'organism']"
15,2052,2056,37,41,Rome,LOC,"['person', 'location', 'place', 'building', 'city', 'country', 'action figure', 'area', 'capital', 'capital city', 'cathedral city', 'city center', 'city state', 'civilization', 'figure', 'first city', 'home', 'home town', 'independent city', 'market town', 'municipality', 'nation', 'new town', 'place name', 'region', 'space', 'state', 'state capital', 'town', 'township', 'town square', 'home country', 'municipal borough', 'real capital', 'state space', 'stick figure', 'localization']"
16,1171,1192,38,59,Buonamico Buffalmacco,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist']"
16,1373,1384,240,251,Buffalmacco,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist']"
16,1575,1581,442,448,Arezzo,LOC,"['location', 'place', 'art', 'city', 'area', 'art school', 'city state', 'home', 'painter', 'place name', 'region', 'space', 'state', 'town']"
16,1847,1880,107,140,Chapel of S. Onofrio in the Pieve,LOC,"['location', 'object', 'place', 'art', 'building', 'facility', 'structure', 'artwork', 'cathedral', 'chapel', 'church', 'home', 'museum', 'religious order', 'space', 'temple', 'villa', 'established church']"
16,2500,2508,0,8,Giovanni,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'visual artist']"
17,0,8,0,8,Giovanni,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
17,131,133,131,133,S,LOC,"['person', 'artist', 'religious leader', 'adult', 'art historian', 'character', 'creator', 'figure', 'idol', 'leader', 'male', 'man', 'master', 'painter', 'public figure', 'saint', 'servant', 'spiritual leader', 'traveler', 'deity']"
17,231,258,3,30,S. Stefano al Ponte Vecchio,LOC,"['location', 'place', 'art', 'building', 'city', 'structure', 'area', 'city state', 'home', 'municipality', 'place name', 'region', 'space', 'town', 'space environment', 'space group']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
18,166,182,166,182,Andrea del Sarto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
18,338,344,338,344,Andrea,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
20,554,584,65,95,Piero dal Borgo a San Sepolcro,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
20,740,745,251,256,Piero,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
22,1142,1153,177,188,Life of him,MISC,"['person', 'object', 'writing', 'article', 'autobiography', 'biography', 'book', 'diary', 'document', 'family history', 'history', 'narrative', 'publication', 'record', 'report', 'script', 'short story', 'story', 'feature story', 'life history', 'life story', 'nonfiction']"
24,680,721,64,105,Lives of the Painters and other Craftsmen,MISC,"['object', 'art', 'writing', 'art collection', 'art form', 'art historian', 'article', 'art journal', 'biography', 'book', 'diary', 'history', 'piece', 'publication', 'record', 'script', 'story', 'art history', 'culture medium', 'life history', 'life story', 'public record']"
24,800,815,184,199,Fra Giocondo of,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'professional', 'visual artist', 'craftsman']"
24,816,822,200,206,Verona,LOC,"['person', 'location', 'place', 'art', 'city', 'area', 'city state', 'creator', 'painter', 'place name', 'state', 'town', 'township', 'craftsman']"
26,263,269,263,269,Giotto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
28,1611,1627,380,396,S. Maria Novella,LOC,"['location', 'place', 'art', 'building', 'city', 'structure', 'area', 'artwork', 'church', 'home', 'space']"
28,2677,2682,212,217,Canti,MISC,"['event', 'play', 'art form', 'dance', 'dancing', 'double act', 'musical', 'operation', 'performance', 'performance art', 'performing art', 'show', 'trick', 'unit operation']"
29,3,20,3,20,Florence Granacci,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
29,182,200,182,200,Francesco Ubertini,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
29,373,379,373,379,Joseph,PER,"['person', 'character', 'figure', 'male', 'man', 'story', 'life story']"
29,913,922,14,23,S. Thomas,PER,"['person', 'object', 'adult', 'body', 'character', 'female', 'figure', 'idol', 'public figure', 'spiritual leader', 'statue', 'woman', 'stick figure', 'deity']"
29,1007,1019,108,120,Michelagnolo,PER,"['person', 'artist', 'adult', 'creator', 'female', 'figure', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'visual artist', 'woman', 'custodian']"
29,1048,1056,149,157,Our Lady,PER,"['person', 'object', 'adult', 'character', 'female', 'figure', 'idol', 'lady', 'public figure', 'woman', 'lady friend']"
29,1216,1223,46,53,S. Paul,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'father figure', 'stick figure']"
29,1225,1236,55,66,S. Laurence,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
29,1238,1246,68,76,S. James,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'character', 'character actor', 'creator', 'figure', 'male', 'man', 'painter', 'public figure', 'visual artist', 'father figure', 'stick figure']"
29,1252,1259,82,89,S. John,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
29,1330,1339,160,169,Francesco,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'master', 'painter', 'painting', 'professional', 'visual artist']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
31,491,504,49,62,Montepulciano,LOC,"['place', 'art', 'area', 'art form', 'artwork', 'culture medium']"
32,1418,1423,558,563,Latin,MISC,"['object', 'language', 'art form', 'concept', 'dialect', 'english', 'first language', 'language family', 'literary language', 'native language', 'natural language', 'source language', 'standard language', 'technical term', 'translator', 'foreign language', 'language code', 'mother tongue', 'terminology']"
34,353,359,353,359,Nature,PER,"['person', 'object', 'place', 'art', 'creation', 'nature']"
34,1869,1875,131,137,Tuscan,MISC,"['person', 'group', 'artist', 'country', 'ethnic group', 'art form', 'art student', 'citizen', 'creator', 'national', 'nationality', 'native speaker', 'public intellectual', 'scholar', 'foreigner', 'learner']"
34,2054,2059,316,321,Italy,LOC,"['person', 'location', 'place', 'city', 'country', 'activity', 'area', 'art form', 'city state', 'civilization', 'concept', 'home', 'nation', 'place name', 'region', 'space', 'state', 'foreign country', 'home country', 'mother country', 'space group']"
34,2082,2090,344,352,Florence,LOC,"['person', 'artist', 'city', 'art form', 'art student', 'city state', 'creator', 'male', 'master', 'municipality', 'public intellectual', 'town', 'township']"
38,924,930,20,26,Venice,LOC,"['location', 'place', 'art', 'city', 'country', 'area', 'capital city', 'city state', 'home', 'municipality', 'place name', 'port city', 'region', 'space', 'state', 'town', 'township', 'space group']"
39,68,78,68,78,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
39,131,147,131,147,Giovanni Bellini,PER,"['person', 'artist', 'musician', 'adult', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
39,210,220,5,15,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'visual artist']"
39,430,435,225,230,Duomo,LOC,"['object', 'place', 'art', 'building', 'city', 'structure', 'cathedral', 'cathedral city', 'home', 'municipality']"
39,1385,1396,4,15,S. Giovanni,LOC,"['person', 'religious leader', 'bishop', 'church', 'cleric', 'figure', 'idol', 'landmark', 'leader', 'male', 'memorial', 'patron saint', 'pope', 'priest', 'public figure', 'religious', 'religious order', 'saint', 'servant', 'spiritual leader', 'established church', 'organism']"
39,1397,1408,16,27,Evangelista,PER,"['person', 'religious leader', 'archbishop', 'bishop', 'church', 'cleric', 'figure', 'high priest', 'idol', 'landmark', 'leader', 'male', 'patron saint', 'pope', 'priest', 'public figure', 'religious', 'religious order', 'saint', 'servant', 'spiritual leader', 'father figure', 'organism', 'clergyman']"
39,1610,1623,3,16,S. Apollinare,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art historian', 'art school', 'artwork', 'church', 'city state', 'gallery', 'home', 'municipality', 'museum', 'place name', 'record', 'space', 'art history', 'art house', 'display case', 'museum piece', 'space environment', 'space group']"
39,2056,2058,148,150,S,LOC,"['person', 'religious leader', 'adult', 'bishop', 'character', 'cleric', 'figure', 'idol', 'leader', 'male', 'man', 'pope', 'priest', 'public figure', 'saint', 'servant', 'spiritual leader', 'organism', 'clergyman']"
39,2059,2066,151,158,Francis,PER,"['person', 'object', 'religious leader', 'adult', 'bishop', 'character', 'character actor', 'cleric', 'figure', 'idol', 'leader', 'male', 'man', 'pope', 'priest', 'public figure', 'saint', 'servant', 'spiritual leader', 'organism', 'clergyman']"
39,2648,2660,56,68,S. Francesco,LOC,"['organization', 'location', 'object', 'place', 'building', 'cemetery', 'city', 'institution', 'structure', 'area', 'burial', 'burial chamber', 'burial ground', 'cell', 'church', 'city state', 'foundation', 'funeral', 'grave', 'home', 'landmark', 'massacre', 'memorial', 'memorial park', 'monument', 'placement', 'place name', 'plant', 'point', 'position', 'region', 'religious order', 'rock', 'section', 'shrine', 'site', 'space', 'state', 'stone', 'temple', 'tomb', 'town', 'township', 'established church', 'funeral home', 'mass burial', 'mass grave', 'memorial service', 'mortar', 'name', 'space group', 'war cemetery', 'war grave', 'localization', 'stead']"
40,699,704,0,5,Parri,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
40,1569,1574,0,5,Parri,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
41,78,83,78,83,Parri,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
41,1917,1928,163,174,S. Agostino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'artwork', 'city state', 'creator', 'home', 'painter', 'place name', 'space', 'space group']"
