id,start_pos,end_pos,surface,entity,wb_id,score
0,9,21,pope clement,Pope Clement VIII,Q170395,81.62778
0,46,56,buonarroti,Philippe Buonarroti,Q471346,86.49689
0,110,118,sacristy,Sacristy,Q468939,85.65901
0,233,245,michelagnolo,Michelagnolo Galilei,Q975540,81.607155
0,346,365,fra giovanni agnolo,Agnolo di Baccio d'Agnolo,Q4693275,81.398476
0,417,437,antonio da san gallo,Giovanni Antonio Gallo,Q23612467,84.44846
0,474,491,madonna di loreto,Madonna of Loreto,Q2427320,86.28883
0,532,537,frate,Novitiate,Q837999,78.59858
0,551,563,michelagnolo,Reggello,Q82810,81.18943
0,638,643,frate,Glossary of sculpting,Q5571864,80.33845
0,737,756,fra giovanni agnolo,Agnolo Monosini,Q4693274,80.795685
0,980,989,s. cosimo,Cosimo Piovasco di Rondò,Q5173946,81.817276
0,996,1006,s. damiano,"San Damiano, Assisi",Q793909,84.01866
0,1049,1056,madonna,Madonna (art),Q926743,81.26362
0,1062,1074,michelagnolo,Michelagnolo Galilei,Q975540,81.5352
0,1084,1094,s. damiano,San Damiano cross,Q2348017,82.41173
0,1144,1149,frate,Novitiate,Q837999,80.92871
0,1154,1163,s. cosimo,Cosimo de' Medici,Q48544,81.52326
0,1347,1352,frate,Erté,Q984309,78.50831
0,1410,1420,buonarroti,Philippe Buonarroti,Q471346,83.54862
0,1444,1456,michelagnolo,Michelagnolo Galilei,Q975540,82.74458
0,1663,1675,michelagnolo,Gaetano Monachello,Q24012,80.122086
0,1845,1857,michelagnolo,Michelagnolo Galilei,Q975540,81.57849
0,1901,1906,frate,Doge,Q202691,78.24608
0,1929,1941,michelagnolo,Michelagnolo Galilei,Q975540,79.470505
0,1966,1985,fra giovanni agnolo,Agnolo di Baccio d'Agnolo,Q4693275,81.18401
0,2056,2068,duke lorenzo,"Lorenzo de' Medici, Duke of Urbino",Q312612,82.46811
0,2092,2096,pope,Pope,Q19546,81.266205
0,2254,2266,pope clement,Pope Clement I,Q42887,81.466545
0,2336,2341,frate,Fraus,Q3086735,77.3413
0,2530,2542,michelagnolo,Gerolamo Cardano,Q184530,79.40375
0,2610,2629,fra giovanni agnolo,Agnolo di Baccio d'Agnolo,Q4693275,80.586845
1,7,37,michele d'agnolo of poggibonzi,Bernard of Carinola,Q3638818,80.93158
1,57,67,montorsoli,Montorsaio,Q2080714,85.37156
1,244,250,agnolo,D'Agnolo,Q5203044,79.779144
1,502,512,montorsoli,Montorsaio,Q2080714,83.58026
1,514,520,agnolo,D'Agnolo,Q5203044,81.75143
1,586,605,francesco del tadda,Francesco Tadolini,Q22020675,80.666275
1,822,841,francesco del tadda,Francesco Tadolini,Q22020675,79.97615
1,847,861,maestro andrea,Andrea del Verrocchio,Q183458,80.45984
1,1081,1088,michele,Michele Abruzzo,Q544110,79.35827
1,1101,1107,agnolo,D'Agnolo,Q5203044,82.55888
1,1218,1227,s. pietro,San Pietro in Ciel d'Oro,Q2036332,83.107414
1,1761,1775,il  volterrano,Francesco da Volterra,Q2023754,79.90665
2,82,97,niccola of pisa,Michele Niccolai,Q34345423,81.02357
2,99,107,agostino,Agostino da Siena,Q395759,81.32099
2,112,118,agnolo,Baccio D'Agnolo,Q2706849,79.210884
2,399,412,three consuls,Roman consul,Q40779,79.38227
2,512,521,consulate,Consul,Q4489757,80.709305
2,800,808,agostino,D'Agostino,Q113127629,80.76226
2,813,819,agnolo,D'Agnolo,Q5203044,80.99207
2,881,896,niccola of pisa,Niccola Ricciolini,Q7024553,79.53442
2,1015,1023,giovanni,Giovanni da Santo Stefano da Ponte,Q15406899,77.865944
2,1154,1159,duomo,Duomo,Q16966,83.98908
2,1280,1288,agostino,D'Agostino,Q113127629,79.33027
2,1537,1545,giovanni,Giovanni da San Giovanni,Q1058463,75.84224
2,1994,2002,agostino,Agostino Agostini,Q4693617,82.44577
2,2045,2053,giovanni,Giovanni de' Rossi,Q21209004,79.6739
2,2072,2078,agnolo,Agnolo di Baccio d'Agnolo,Q4693275,82.42342
3,0,8,agostino,Agostino Agostini,Q4693617,80.805916
3,46,54,giovanni,Giovanni Anastasi,Q3106990,79.82971
3,100,119,vescovado of arezzo,Arezzo,Q13378,82.19081
3,193,199,agnolo,D'Agnolo,Q5203044,80.87556
3,322,330,agostino,Agostino Veneziano,Q2623716,79.96835
3,399,407,giovanni,Giovanni Anastasi,Q3106990,78.698875
3,529,536,pistola,Pistole,Q644463,80.75377
3,704,708,nine,Noveschi,Q3773967,77.33043
3,753,775,palace in malborghetto,Palace of Castel Gandolfo,Q2739100,80.27247
3,763,775,malborghetto,Malborghetto Valbruna,Q53278,78.12442
3,915,923,giovanni,Giovanni,Q419336,77.37775
3,983,988,state,Papal States,Q170174,77.88461
3,1084,1089,duomo,Duomo,Q16966,83.8061
3,1215,1227,porta romana,"Porta Romana, Florence",Q3398708,85.82862
3,1335,1351,porta s. martino,Porta San Sebastiano,Q1234193,84.64965
3,1417,1443,porta di s. agata all'arco,Porta Alpina,Q677743,80.96387
3,1491,1499,agostino,Agostino Agostini,Q4693617,79.57112
