id,start_pos,end_pos,surface,kb,kb_id

agnolo:608,1721,1937,"the tomb of M. Raffaello Maffei, called Il  Volterrano, at Volterra; and in that work, which was being made in marble, he carved some things which showed that his genius was destined some day to achieve a good result",zericatalog,76974

agnolo:611,103,127,statues of Duke Giuliano,wikidata,Q3937601

agnolo:611,132,144,Duke Lorenzo,wikidata,Q3937559

agnolo:613,132,228,"a sea monster of marble in full-relief, which pours water in great abundance into that fish-pond",,

agnolo:614,119,137,tomb of Sannazzaro,wikidata,Q17638614

