id,start_pos,end_pos,surface,wikidata,zericatalog,arco

agnolo:879,582,605,statues of Duke Lorenzo,Q3937601,,HistoricOrArtisticProperty:0900281336-3

agnolo:879,610,623,Duke Giuliano,Q3937559,,HistoricOrArtisticProperty:0900281335-3

agnolo:879,978,989,a S. Cosimo,,75265,HistoricOrArtisticProperty:0900288378

agnolo:879,994,1006,a S. Damiano,,75265,HistoricOrArtisticProperty:0900288380

agnolo:879,1045,1056,the Madonna,,75265,HistoricOrArtisticProperty:0900288379

agnolo:879,1080,1094,the S. Damiano,,75265,HistoricOrArtisticProperty:0900288380

agnolo:879,1150,1163,the S. Cosimo,,75265,HistoricOrArtisticProperty:0900288378

agnolo:879,2027,2051,statues of Duke Giuliano,Q3937559,,HistoricOrArtisticProperty:0900281335-3

agnolo:879,2056,2068,Duke Lorenzo,Q3937601,,HistoricOrArtisticProperty:0900281336-3

agnolo:880,1721,1752,the tomb of M. Raffaello Maffei,,75093,

