doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,482,491,482,491,di Loreto,LOC,"['person', 'object', 'art', 'female', 'idol', 'representation', 'statue']"
0,1049,1056,164,171,Madonna,PER,"['person', 'object', 'art', 'creation', 'female', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
1,1761,1775,210,224,Il Volterrano,LOC,"['object', 'place', 'structure', 'creation', 'landmark', 'memorial', 'monument', 'place name', 'name', 'artifact']"
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
5,171,186,171,186,Monte Sansovino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'city state', 'creation', 'creator', 'maker', 'place name', 'state']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
10,769,784,29,44,Marco Calavrese,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'maker', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist', 'entertainer']"
14,244,260,244,260,Castel S. Angelo,LOC,"['place', 'art', 'building', 'structure', 'art form', 'art historian', 'artwork', 'creation', 'creator']"
14,552,571,171,190,Badia of S. Stefano,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'home', 'house', 'museum', 'place name', 'space', 'temple', 'villa', 'museum piece', 'space group']"
14,662,681,281,300,S. John the Baptist,PER,"['person', 'object', 'art', 'religious leader', 'artwork', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'spiritual leader', 'statue', 'organism', 'deity']"
14,861,868,155,162,S. John,PER,"['person', 'object', 'religious leader', 'action figure', 'character', 'figure', 'idol', 'painter', 'public figure', 'representation', 'saint', 'servant', 'spiritual leader', 'statue', 'holy cross', 'stick figure', 'organism', 'deity']"
14,1176,1193,243,260,Flight into Egypt,MISC,"['object', 'event', 'art', 'artwork', 'flight', 'narrative', 'painting', 'story', 'action painting']"
14,1927,1943,234,250,Life of Our Lady,MISC,"['person', 'art', 'picture', 'story', 'life history', 'life story']"
14,2233,2253,288,308,S. James the Apostle,PER,"['person', 'action figure', 'character', 'figure', 'idol', 'painter', 'painting', 'public figure', 'statue', 'stick figure']"
