id,type,start_pos,end_pos,surface,coref_id
giocondo:678,ENT,3,10,writers,
giocondo:678,ENT,14,21,history,
giocondo:678,PRON,114,115,I,
giocondo:678,PRON,159,163,they,
giocondo:678,PRON,242,246,them,
giocondo:678,PRON,277,279,it,
giocondo:678,ENT,309,312,man,
giocondo:678,PRON,317,319,he,
giocondo:678,PRON,409,412,his,
giocondo:678,PRON,443,446,his,
giocondo:678,PRON,459,461,it,
giocondo:678,ENT,499,503,Time,
giocondo:678,ENT,527,533,father,
giocondo:678,PRON,641,642,I,
giocondo:678,ENT,680,685,Lives,
giocondo:678,ENT,693,701,Painters,
giocondo:678,ENT,712,721,Craftsmen,
giocondo:678,PRON,723,724,I,
giocondo:678,PRON,767,768,I,
giocondo:678,ENT,800,822,Fra Giocondo of Verona,
giocondo:678,ENT,816,822,Verona,
giocondo:678,ENT,826,829,man,
giocondo:678,ENT,850,856,master,
giocondo:678,PRON,890,891,I,
giocondo:678,ENT,940,946,record,
giocondo:678,PRON,950,953,him,
giocondo:678,PRON,960,961,I,
giocondo:678,ENT,1002,1011,craftsmen,
giocondo:678,ENT,1031,1036,world,
giocondo:678,PRON,1049,1052,him,
giocondo:678,ENT,1082,1089,masters,
giocondo:678,ENT,1093,1099,Verona,
giocondo:678,PRON,1159,1160,I,
giocondo:678,PRON,1167,1171,them,
giocondo:678,ENT,1186,1191,image,
giocondo:678,ENT,1245,1254,portraits,
giocondo:678,PRON,1258,1262,them,
giocondo:678,PRON,1268,1269,I,
giocondo:678,PRON,1310,1312,me,
giocondo:678,PRON,1330,1334,them,
giocondo:678,PRON,1354,1357,his,
giocondo:678,PRON,1382,1385,its,
giocondo:678,PRON,1442,1443,I,
giocondo:678,ENT,1465,1477,Fra Giocondo,
giocondo:678,ENT,1484,1487,man,
giocondo:678,PRON,1494,1496,he,
giocondo:678,ENT,1509,1514,habit,
giocondo:678,ENT,1518,1528,S. Dominic,
giocondo:678,ENT,1552,1564,Fra Giocondo,
giocondo:678,ENT,1570,1591,Fra Giovanni Giocondo,
giocondo:678,ENT,1606,1614,Giovanni,
giocondo:678,PRON,1628,1631,him,
giocondo:678,PRON,1632,1633,I,
giocondo:678,PRON,1648,1649,I,
giocondo:678,PRON,1663,1665,he,
giocondo:678,ENT,1684,1696,Fra Giocondo,
giocondo:678,PRON,1723,1726,his,
giocondo:678,ENT,1757,1764,letters,
giocondo:678,PRON,1770,1772,he,
giocondo:678,ENT,1798,1809,philosopher,
giocondo:678,ENT,1814,1824,theologian,
giocondo:678,ENT,1848,1853,Greek,
giocondo:678,ENT,1854,1861,scholar,
giocondo:678,ENT,1905,1913,learning,
giocondo:678,ENT,1918,1925,letters,
giocondo:678,ENT,1959,1964,Italy,
giocondo:678,PRON,1980,1982,he,
giocondo:678,ENT,2004,2013,architect,
giocondo:678,ENT,2023,2026,man,
giocondo:678,ENT,2067,2070,art,
giocondo:678,ENT,2075,2083,Scaliger,
giocondo:678,PRON,2095,2098,his,
giocondo:678,ENT,2099,2106,epistle,
giocondo:678,ENT,2115,2121,Cardan,
giocondo:678,ENT,2139,2143,Budé,
giocondo:678,PRON,2147,2150,his,
giocondo:678,ENT,2151,2155,book,
giocondo:678,ENT,2156,2166,"""De Asse,""",
giocondo:678,PRON,2196,2198,he,
giocondo:678,ENT,2212,2220,Pandects,
