doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,474,481,0,474,481,Madonna,work,0.979957640171051
0,980,981,2,95,96,S,work,0.5148095488548279
0,996,997,2,111,112,S,work,0.5733789801597595
0,1049,1056,2,164,171,Madonna,work,0.9995837807655334
0,1084,1085,2,199,200,S,work,0.7250852584838867
0,1144,1149,2,259,264,Frate,work,0.49221351742744446
0,1347,1352,3,71,76,Frate,work,0.9882809519767761
0,2336,2341,6,30,35,Frate,work,0.9970669150352478
1,1761,1775,6,210,224,Il Volterrano,work,0.7916578352451324
2,445,456,1,215,226,Fontebranda,work,0.8415238857269287
2,512,521,1,282,291,Consulate,work,0.611279308795929
2,527,540,1,297,310,Customs-house,work,0.9879081845283508
2,1154,1159,4,169,174,Duomo,work,0.48474740982055664
3,100,109,0,100,109,Vescovado,work,0.8776138424873352
3,704,708,2,136,140,Nine,work,0.5466952919960022
3,1084,1089,3,279,284,Duomo,work,0.8175936937332153
3,1215,1227,3,410,422,Porta Romana,work,0.9725084006786346
3,1335,1340,3,530,535,Porta,work,0.5680738687515259
4,124,135,0,124,135,Magnificent,work,0.996975302696228
4,708,727,2,11,30,Magnificent Lorenzo,work,0.7888579964637756
4,843,850,2,146,153,Lorenzo,work,0.9773455858230591
4,864,870,2,167,173,Piazza,work,0.7880629897117615
4,1059,1066,3,86,93,Lorenzo,work,0.5791096091270447
5,171,186,0,171,186,Monte Sansovino,work,0.8421966433525085
7,619,625,2,83,89,Piazza,work,0.9121106863021851
7,632,636,2,96,100,Agli,work,0.5892016887664795
8,744,753,2,96,105,Piazza di,work,0.5783355534076691
8,2017,2018,6,200,201,S,work,0.34364351630210876
9,259,267,0,259,267,Cardinal,work,0.41304993629455566
13,789,799,1,331,341,Archbishop,work,0.9967766404151917
13,2259,2266,6,306,313,Provost,work,0.9893177151679993
14,843,849,2,137,143,Christ,work,0.7123481035232544
14,851,859,2,145,153,Our Lady,work,0.8049492537975311
14,874,883,2,168,177,Magdalene,work,0.9981539845466614
14,1616,1623,4,289,296,Descent,work,0.8526130318641663
14,1636,1642,4,309,315,Spirit,work,0.9591825008392334
14,1652,1660,4,325,333,Apostles,work,0.9961819648742676
14,2092,2100,6,147,155,Our Lady,work,0.5146544128656387
14,2246,2253,6,301,308,Apostle,work,0.9711544513702393
14,2273,2279,6,328,334,Bishop,work,0.9822379946708679
15,625,629,2,160,164,Pope,work,0.9847090244293213
15,1488,1494,5,76,82,Popolo,work,0.6346784830093384
15,1777,1789,6,163,175,Misericordia,work,0.5856159329414368
15,1899,1906,6,285,292,Madonna,work,0.9996829032897949
16,832,837,0,832,837,Ponte,work,0.9975172281265259
16,1417,1423,1,284,290,Chapel,work,0.6664227843284607
16,1446,1461,1,313,328,Pieve of Empoli,work,0.730407198270162
16,1875,1880,2,135,140,Pieve,work,0.9897101521492004
16,1985,1986,3,46,47,S,work,0.7323310971260071
16,2004,2005,3,65,66,S,work,0.7539194226264954
16,2239,2240,3,300,301,S,work,0.5605465173721313
17,49,50,0,49,50,S,work,0.8931413888931274
17,231,244,1,3,16,S. Stefano al,work,0.6351159314314524
19,35,42,0,35,42,Convent,work,0.9179837703704834
20,1275,1276,3,113,114,S,work,0.7385560274124146
20,1390,1391,4,49,50,S,work,0.9465874433517456
20,1399,1408,4,58,67,del Monte,work,0.8145004212856293
20,1424,1436,4,83,95,Black Friars,work,0.9159867167472839
20,1514,1527,4,173,186,Casa di Mezzo,work,0.5920555392901102
21,104,105,1,54,55,S,work,0.9351454377174377
21,184,189,1,134,139,Duomo,work,0.9952359795570374
22,1928,1942,6,173,187,Castel Durante,work,0.997248500585556
23,16,20,0,16,20,Pope,work,0.9937018156051636
23,48,65,0,48,65,Madonna of Loreto,work,0.8958710432052612
23,754,761,1,44,51,Clement,work,0.9509048461914062
24,1518,1519,4,39,40,S,work,0.4181009531021118
24,1556,1564,4,77,85,Giocondo,work,0.8860833048820496
24,1684,1696,5,91,103,Fra Giocondo,work,0.9975122213363647
24,2157,2164,6,447,454,De Asse,work,0.9664551019668579
24,2212,2220,6,502,510,Pandects,work,0.9997473359107971
25,1588,1600,5,150,162,River Brenta,work,0.9995212256908417
27,59,65,0,59,65,Bishop,work,0.9912011623382568
27,70,74,0,70,74,Lord,work,0.9744396805763245
27,342,348,0,342,348,Bishop,work,0.8498950600624084
27,1803,1812,4,46,55,Hermitage,work,0.9752641916275024
28,1611,1612,2,380,381,S,work,0.79985111951828
28,2192,2199,4,299,306,Triumph,work,0.9993430972099304
29,668,675,1,77,84,Trinity,work,0.9960307478904724
30,1399,1408,4,352,361,Magdalene,work,0.998982846736908
30,1621,1628,6,7,14,Trinità,work,0.9783481955528259
31,566,582,2,124,140,Audience Chamber,work,0.8607426285743713
31,902,909,3,167,174,Palazzo,work,0.5736231803894043
33,38,45,0,38,45,Marquis,work,0.9986701011657715
33,117,125,0,117,125,Nunziata,work,0.9996269941329956
34,2303,2312,3,35,44,Casentino,work,0.9996223449707031
34,2642,2660,4,102,120,Sasso della Vernia,work,0.6669439872105917
34,2692,2700,4,152,160,Stigmata,work,0.4800727069377899
34,2709,2716,4,169,176,Diocese,work,0.9967730641365051
35,71,76,0,71,76,Giant,work,0.9992849230766296
35,152,156,0,152,156,Pope,work,0.992520809173584
35,1698,1704,6,162,168,Piazza,work,0.6117455363273621
35,1801,1809,6,265,273,Castello,work,0.9975767731666565
36,697,716,2,39,58,S . Philip of marble,work,0.8194340765476227
36,762,769,2,104,111,Oratory,work,0.991706371307373
37,29,33,0,29,33,. Lo,work,0.6176693141460419
37,60,67,0,60,67,Oratory,work,0.9372124075889587
37,121,129,0,121,129,Farriers,work,0.9994033575057983
37,268,275,0,268,275,Farrier,work,0.9970687031745911
38,381,386,0,381,386,Palma,work,0.3277740180492401
39,430,444,1,225,239,Duomo at Forlì,work,0.9143427610397339
39,612,623,2,47,58,Dead Christ,work,0.779193103313446
39,774,785,2,209,220,Constantine,work,0.929736316204071
