id,start_pos,end_pos,surface,type,value
0,582,605,statues of Duke Lorenzo,WORK,Q3937601
0,610,623,Duke Giuliano,WORK,Q3937559
0,980,989,S. Cosimo,WORK,NIL
0,996,1006,S. Damiano,WORK,NIL
0,1049,1056,Madonna,WORK,NIL
0,1084,1094,S. Damiano,WORK,NIL
0,1154,1163,S. Cosimo,WORK,NIL
0,2027,2051,statues of Duke Giuliano,WORK,Q3937559
0,2056,2068,Duke Lorenzo,WORK,Q3937601
1,1725,1752,tomb of M. Raffaello Maffei,WORK,NIL
5,369,442,nude David who was holding Goliath under him and was cutting off his head,WORK,NIL
5,601,616,David of Donato,WORK,Q735085
5,810,815,David,WORK,NIL
7,1941,1970,altar of S. Jacopo in Pistoia,WORK,Q3613122
9,139,199,"Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,Q733662
9,430,445,Cencio Guasconi,WORK,NIL
10,1756,1796,S. Augustine disputing with the heretics,WORK,NIL
10,1803,1831,stories of Christ and Saints,WORK,NIL
13,258,456,"Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light",WORK,Q3204084
13,1273,1321,S. Margaret issuing from the belly of the Dragon,WORK,NIL
14,636,704,"S. Peter, S. Stephen, and S. John the Baptist, with certain children",WORK,NIL
14,838,902,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures",WORK,NIL
14,1119,1143,Nativity of Jesus Christ,WORK,NIL
14,1465,1489,Nativity of Jesus Christ,WORK,NIL
14,1616,1660,Descent of the Holy Spirit upon the Apostles,WORK,NIL
14,1927,1943,Life of Our Lady,WORK,NIL
14,2044,2113,"Christ on the Cross with some Angels about Him, Our Lady, and S. John",WORK,NIL
14,2233,2253,S. James the Apostle,WORK,NIL
14,2258,2279,S. Alfonso the Bishop,WORK,NIL
15,1429,1440,Dead Christ,WORK,NIL
15,1607,1612,Saint,WORK,NIL
