id,surface,start_pos,end_pos,type
5,Nativity of Our Lady,1157,1177,WORK_OF_ART
14,Dead Christ,838,849,WORK_OF_ART
14,Magdalene,874,883,WORK_OF_ART
14,Nativity,1119,1127,WORK_OF_ART
14,Adoration of the Magi,1149,1170,WORK_OF_ART
14,Flight into Egypt,1176,1193,WORK_OF_ART
14,Massacre of the Innocents,1203,1228,WORK_OF_ART
14,Nativity,1465,1473,WORK_OF_ART
14,Descent of the Holy Spirit,1616,1642,WORK_OF_ART
14,scenes of the Life of Our Lady,1913,1943,WORK_OF_ART
14,Christ on the Cross,2044,2063,WORK_OF_ART
16,Assumption of Our Lady,1688,1710,WORK_OF_ART
19,Nativity of Christ,755,773,WORK_OF_ART
19,Annunciation,835,847,WORK_OF_ART
20,Old Testament,1642,1655,WORK_OF_ART
29,Trinity,668,675,WORK_OF_ART
30,Feast of Simon,1376,1390,WORK_OF_ART
30,Magdalene,1399,1408,WORK_OF_ART
35,Pietà,43,48,WORK_OF_ART
45,Dead Christ,1109,1120,WORK_OF_ART
45,Assumption of Our Lady,1160,1182,WORK_OF_ART
45,Our Lady,1843,1851,WORK_OF_ART
49,Our Lady,387,395,WORK_OF_ART
49,Ecce Homo,981,990,WORK_OF_ART
53,Transfiguration,1223,1238,WORK_OF_ART
53,Centurion,1281,1290,WORK_OF_ART
