doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,2,1049,1056,164,171,Madonna,Subject,Madonna
5,3,1157,1177,237,257,Nativity of Our Lady,Subject,Our Lady
5,3,1157,1177,237,257,Nativity of Our Lady,Subject,Our Lady
9,1,430,445,48,63,Cencio Guasconi,Subject,Cencio Guasconi
10,6,1756,1768,294,306,S. Augustine,Subject,S. Augustine
10,6,1814,1820,352,358,Christ,Subject,Christ
10,6,1825,1831,363,369,Saints,Subject,Saints
10,6,1814,1820,352,358,Christ,Subject,Christ
10,6,1825,1831,363,369,Saints,Subject,Saints
13,0,258,266,258,266,Our Lady,Subject,Our Lady
13,0,421,432,421,432,Holy Spirit,Subject,Holy Spirit
13,0,421,432,421,432,Holy Spirit,Subject,Holy Spirit
13,4,1273,1284,102,113,S. Margaret,Subject,S. Margaret
13,4,1315,1321,144,150,Dragon,Subject,Dragon
13,4,1315,1321,144,150,Dragon,Subject,Dragon
14,1,636,644,255,263,S. Peter,Subject,S. Peter
14,1,646,656,265,275,S. Stephen,Subject,S. Stephen
14,1,662,681,281,300,S. John the Baptist,Subject,S. John the Baptist
14,1,696,704,315,323,children,Subject,children
14,2,838,849,132,143,Dead Christ,Subject,Dead Christ
14,2,851,859,145,153,Our Lady,Subject,Our Lady
14,2,861,868,155,162,S. John,Subject,S. John
14,2,870,883,164,177,the Magdalene,Subject,Magdalene
14,3,1119,1143,186,210,Nativity of Jesus Christ,Subject,Jesus Christ
14,3,1119,1143,186,210,Nativity of Jesus Christ,Subject,Jesus Christ
14,3,1149,1170,216,237,Adoration of the Magi,Subject,Adoration of the Magi
14,3,1176,1193,243,260,Flight into Egypt,Subject,Flight into Egypt
14,3,1203,1228,270,295,Massacre of the Innocents,Subject,Massacre of the Innocents
14,4,1465,1489,138,162,Nativity of Jesus Christ,Subject,Jesus Christ
14,4,1465,1489,138,162,Nativity of Jesus Christ,Subject,Jesus Christ
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Subject,Apostles
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Subject,Apostles
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Subject,Apostles
14,5,1927,1944,234,251,Life of Our Lady.,Subject,Our Lady
14,5,1927,1944,234,251,Life of Our Lady.,Subject,Our Lady
14,6,2044,2063,99,118,Christ on the Cross,Subject,Christ on the Cross
14,6,2074,2080,129,135,Angels,Subject,Angels
14,6,2074,2080,129,135,Angels,Subject,Angels
15,5,1429,1440,17,28,Dead Christ,Subject,Dead Christ
15,6,1843,1848,229,234,Cross,Subject,taken down from the Cross
15,7,2168,2181,153,166,men and women,Subject,women
15,7,2168,2181,153,166,men and women,Subject,women
16,1,1688,1710,555,577,Assumption of Our Lady,Subject,Our Lady
16,1,1688,1710,555,577,Assumption of Our Lady,Subject,Our Lady
19,2,755,773,84,102,Nativity of Christ,Subject,Christ
19,2,755,773,84,102,Nativity of Christ,Subject,Christ
19,2,835,847,164,176,Annunciation,Subject,Annunciation
19,2,941,951,270,280,S. Filippo,Subject,"S. Filippo, the founder of that Servite Order"
20,4,1642,1655,301,314,Old Testament,Subject,stories of the Old Testament
28,4,2192,2217,299,324,Triumph of Paulus Emilius,Subject,Triumph of Paulus Emilius
