doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,979,989,2,94,104,S . Cosimo,WORK,0.554404616355896
0,995,1006,2,110,121,S . Damiano,WORK,0.6798160076141357
5,601,616,1,312,327,David of Donato,WORK,0.9998752027750015
5,1157,1177,3,237,257,Nativity of Our Lady,WORK,0.9998626112937927
14,1119,1143,3,186,210,Nativity of Jesus Christ,WORK,0.910502627491951
14,1149,1170,3,216,237,Adoration of the Magi,WORK,0.9905910730361939
14,1176,1193,3,243,260,Flight into Egypt,WORK,0.9952063858509064
14,1203,1228,3,270,295,Massacre of the Innocents,WORK,0.998844051361084
14,1927,1943,5,234,250,Life of Our Lady,WORK,0.999967622756958
16,1688,1710,1,555,577,Assumption of Our Lady,WORK,0.9999590396881104
19,755,773,2,84,102,Nativity of Christ,WORK,0.9998850673437119
19,835,847,2,164,176,Annunciation,WORK,0.9980272650718689
20,1642,1655,4,301,314,Old Testament,WORK,0.9997858007748922
30,1694,1716,6,80,102,Coronation of Our Lady,WORK,0.9905697584152222
31,639,651,2,197,209,Annunciation,WORK,0.9992448091506958
35,43,48,0,43,48,Pietà,WORK,0.9021767377853394
35,71,76,0,71,76,Giant,WORK,0.4858366847038269
39,2020,2054,9,112,146,Our Lady with S . James the Apostle,WORK,0.9984627366065979
41,835,838,2,161,164,the,WORK,0.8978868722915649
41,1862,1874,6,108,120,Annunciation,WORK,0.9987789988517761
41,2127,2145,7,83,101,S . Mary Magdalene,WORK,0.9962873458862305
41,2312,2320,7,268,276,Crucifix,WORK,0.8074544072151184
45,1110,1137,5,102,129,Dead Christ with the Maries,WORK,0.9989188214143118
45,1160,1182,5,152,174,Assumption of Our Lady,WORK,0.9987622976303101
45,1420,1426,6,218,224,Saints,WORK,0.5614395141601562
45,1843,1851,8,101,109,Our Lady,WORK,0.9977930188179016
45,1968,1976,8,226,234,Our Lady,WORK,0.8090484738349915
49,387,395,2,27,35,Our Lady,WORK,0.8342359662055969
49,978,991,4,158,171,""" Ecce Homo """,WORK,0.9998491525650024
49,1124,1132,5,37,45,Our Lady,WORK,0.9865923821926117
51,2343,2350,7,77,84,Madonna,WORK,0.4721810519695282
53,2028,2045,7,46,63,Angel slaying the,WORK,0.6967910726865133
