doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,225,245,0,225,245,Life of Michelagnolo,WORK,0.9999885261058807
0,474,491,0,474,491,Madonna di Loreto,WORK,0.9999758303165436
0,1080,1083,2,195,198,the,WORK,0.5750157237052917
0,1085,1086,2,200,201,.,WORK,0.5455217957496643
1,1761,1775,6,210,224,Il Volterrano,WORK,0.9998404085636139
2,185,189,0,185,189,Life,WORK,0.9999481439590454
14,166,189,0,166,189,Life of Perino del Vaga,WORK,0.9978965024153391
22,1142,1153,3,177,188,Life of him,WORK,0.9999648630619049
24,680,721,1,64,105,Lives of the Painters and other Craftsmen,WORK,0.9999714940786362
24,2157,2164,6,447,454,De Asse,WORK,0.995547354221344
34,2692,2700,4,152,160,Stigmata,WORK,0.5706777572631836
37,60,83,0,60,83,Oratory of Orsanmichele,WORK,0.9999887545903524
39,123,147,0,123,147,Life of Giovanni Bellini,WORK,0.9999858856201171
45,1189,1200,5,181,192,some Saints,WORK,0.8787926435470581
51,1745,1773,4,433,461,Crucifix that works miracles,WORK,0.9464774131774902
