doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,225,245,0,225,245,Life of Michelagnolo,WORK,0.9999885261058807
0,474,491,0,474,491,Madonna di Loreto,WORK,0.9999758303165436
0,979,989,2,94,104,S . Cosimo,WORK,0.554404616355896
0,995,1006,2,110,121,S . Damiano,WORK,0.6798160076141357
0,1080,1083,2,195,198,the,WORK,0.5750157237052917
0,1085,1086,2,200,201,.,WORK,0.5455217957496643
1,1761,1775,6,210,224,Il Volterrano,WORK,0.9998404085636139
2,185,189,0,185,189,Life,WORK,0.9999481439590454
5,601,616,1,312,327,David of Donato,WORK,0.9998752027750015
5,1157,1177,3,237,257,Nativity of Our Lady,WORK,0.9998626112937927
14,166,189,0,166,189,Life of Perino del Vaga,WORK,0.9978965024153391
14,1119,1143,3,186,210,Nativity of Jesus Christ,WORK,0.910502627491951
14,1149,1170,3,216,237,Adoration of the Magi,WORK,0.9905910730361939
14,1176,1193,3,243,260,Flight into Egypt,WORK,0.9952063858509064
14,1203,1228,3,270,295,Massacre of the Innocents,WORK,0.998844051361084
14,1927,1943,5,234,250,Life of Our Lady,WORK,0.999967622756958
16,1688,1710,1,555,577,Assumption of Our Lady,WORK,0.9999590396881104
19,755,773,2,84,102,Nativity of Christ,WORK,0.9998850673437119
19,835,847,2,164,176,Annunciation,WORK,0.9980272650718689
20,1642,1655,4,301,314,Old Testament,WORK,0.9997858007748922
22,1142,1153,3,177,188,Life of him,WORK,0.9999648630619049
24,680,721,1,64,105,Lives of the Painters and other Craftsmen,WORK,0.9999714940786362
24,2157,2164,6,447,454,De Asse,WORK,0.995547354221344
30,1694,1716,6,80,102,Coronation of Our Lady,WORK,0.9905697584152222
31,639,651,2,197,209,Annunciation,WORK,0.9992448091506958
34,2692,2700,4,152,160,Stigmata,WORK,0.5706777572631836
35,43,48,0,43,48,Pietà,WORK,0.9021767377853394
35,71,76,0,71,76,Giant,WORK,0.4858366847038269
37,60,83,0,60,83,Oratory of Orsanmichele,WORK,0.9999887545903524
39,123,147,0,123,147,Life of Giovanni Bellini,WORK,0.9999858856201171
39,2020,2054,9,112,146,Our Lady with S . James the Apostle,WORK,0.9984627366065979
41,835,838,2,161,164,the,WORK,0.8978868722915649
41,1862,1874,6,108,120,Annunciation,WORK,0.9987789988517761
41,2127,2145,7,83,101,S . Mary Magdalene,WORK,0.9962873458862305
41,2312,2320,7,268,276,Crucifix,WORK,0.8074544072151184
45,1110,1137,5,102,129,Dead Christ with the Maries,WORK,0.9989188214143118
45,1160,1182,5,152,174,Assumption of Our Lady,WORK,0.9987622976303101
45,1189,1200,5,181,192,some Saints,WORK,0.8787926435470581
45,1420,1426,6,218,224,Saints,WORK,0.5614395141601562
45,1843,1851,8,101,109,Our Lady,WORK,0.9977930188179016
45,1968,1976,8,226,234,Our Lady,WORK,0.8090484738349915
49,387,395,2,27,35,Our Lady,WORK,0.8342359662055969
49,978,991,4,158,171,""" Ecce Homo """,WORK,0.9998491525650024
49,1124,1132,5,37,45,Our Lady,WORK,0.9865923821926117
51,1745,1773,4,433,461,Crucifix that works miracles,WORK,0.9464774131774902
51,2343,2350,7,77,84,Madonna,WORK,0.4721810519695282
53,2028,2045,7,46,63,Angel slaying the,WORK,0.6967910726865133
