text_idx,head_start,head_end,head_type,head,tail_start,tail_end,tail_type,tail,relation
0,593,605,per,Duke Lorenzo,610,623,per,Duke Giuliano,sibling
0,417,437,per,Antonio da San Gallo,474,491,loc,Madonna di Loreto,notable work
0,110,130,loc,sacristy and library,74,82,loc,Florence,location
1,57,67,loc,Montorsoli,474,481,loc,Fiesole,location
1,474,481,loc,Fiesole,103,111,loc,Florence,shares border with
1,57,67,loc,Montorsoli,103,111,loc,Florence,location
2,445,456,loc,Fontebranda,371,375,date,1190,inception
2,445,456,loc,Fontebranda,301,306,loc,Siena,location
2,99,107,per,Agostino,112,118,per,Agnolo,sibling
3,529,536,loc,Pistola,541,545,loc,Pisa,location
3,529,536,loc,Pistola,541,545,loc,Pisa,shares border with
3,753,759,loc,Palace,763,775,loc,Malborghetto,location
4,101,135,per,Lorenzo de' Medici the Magnificent,801,809,per,Giuliano,sibling
4,180,203,per,Michelagnolo di Viviano,163,172,concept,goldsmith,occupation
4,801,809,per,Giuliano,874,882,loc,S. Croce,notable work
5,648,661,loc,Medici Palace,565,573,loc,Florence,location
5,601,616,misc,David of Donato,648,661,loc,Medici Palace,location
5,601,616,loc,David of Donato,648,661,loc,Medici Palace,location
6,565,571,concept,beauty,556,561,concept,grace,instance of
6,436,444,concept,nobility,54,62,concept,features,instance of
6,868,886,concept,sincerity of heart,836,854,concept,generosity of mind,instance of
7,145,174,per,Ser Brunellesco di Lippo Lapi,774,781,per,Filippo,child
7,145,174,per,Ser Brunellesco di Lippo Lapi,29,37,loc,Florence,place of birth
7,303,328,per,Maestro Ventura Bacherini,29,37,loc,Florence,place of birth
8,518,537,per,Giuliano Bugiardini,493,507,loc,Porta a Faenza,place of birth
8,518,537,per,Giuliano Bugiardini,20,28,loc,Florence,place of birth
8,884,907,per,Michelagnolo Buonarroti,20,28,loc,Florence,place of birth
9,85,104,per,Raffaello da Urbino,126,135,concept,portraits,genre
9,85,104,per,Raffaello da Urbino,126,134,concept,portrait,genre
