doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,1049,1056,164,171,Madonna,PER,"['person', 'object', 'art', 'creation', 'female', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
14,662,681,281,300,S. John the Baptist,PER,"['person', 'object', 'art', 'religious leader', 'artwork', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'spiritual leader', 'statue', 'organism', 'deity']"
14,1176,1193,243,260,Flight into Egypt,MISC,"['object', 'event', 'art', 'artwork', 'flight', 'narrative', 'painting', 'story', 'action painting']"
19,2522,2532,118,128,S. Filippo,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'male', 'master', 'painter', 'painting', 'priest', 'professional', 'saint', 'visual artist']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
45,1728,1740,300,312,Annunciation,MISC,"['object', 'art', 'artwork', 'landmark', 'representation', 'holy cross', 'artifact']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
