id,start_pos,end_pos,surface,entity,wb_id,score
0,74,82,florence,Florence,Q2044,84.37399
0,134,144,s . lorenzo,"San Lorenzo, Florence",Q573881,82.67793
0,134,144,s . lorenzo,"San Lorenzo, Florence",Q573881,82.67793
0,541,549,florence,Florence,Q2044,82.171814
0,593,605,duke lorenzo,Lorenzo de' Medici,Q177854,82.9711
0,610,623,duke giuliano,Giuliano de' Medici,Q298877,83.3011
0,1098,1120,raffaello da montelupo,Raffaello da Montelupo,Q1370859,88.56975
0,1528,1534,arezzo,Arezzo,Q13378,81.10879
0,1544,1550,vasari,Giorgio Vasari,Q128027,84.73544
0,2038,2051,duke giuliano,Giuliano de' Medici,Q298877,83.24846
0,2183,2190,lorenzo,"San Lorenzo, Florence",Q573881,81.776695
0,2203,2207,rome,Rome,Q220,82.6004
0,2309,2317,florence,Florence,Q2044,82.033325
1,27,37,poggibonzi,Poggibonsi,Q91350,83.33771
1,103,111,florence,Florence,Q2044,85.89075
1,127,134,bologna,Bologna,Q1891,85.41519
1,474,481,fiesole,Fiesole,Q82670,83.348854
1,877,884,fiesole,Fiesole,Q82670,82.1468
1,1162,1166,rome,Rome,Q220,82.89273
1,1410,1414,rome,Rome,Q220,82.290535
1,1453,1460,perugia,Perugia,Q3437,84.192406
1,1584,1591,perugia,Perugia,Q3437,83.03975
1,1736,1752,raffaello maffei,Raffaello Maffei,Q3417362,86.297714
1,1780,1788,volterra,Volterra,Q103305,82.977295
2,69,77,giovanni,Giovanni Pisano,Q314932,77.25997
2,93,97,pisa,Pisa,Q13375,83.198044
2,133,138,siena,Siena,Q2751,83.32806
2,301,306,siena,Siena,Q2751,82.998184
2,445,456,fontebranda,"Fontebranda, Siena",Q3747505,79.47575
2,868,876,giovanni,Giovanni Pisano,Q314932,77.61994
2,892,896,pisa,Pisa,Q13375,82.54656
2,1040,1046,naples,Naples,Q2634,83.37805
2,1050,1054,pisa,Pisa,Q13375,84.66373
2,1083,1088,siena,Siena,Q2751,83.77281
3,541,545,pisa,Pisa,Q13375,82.6266
3,712,717,siena,Siena,Q2751,83.22615
3,719,727,agostino,Agostino da Siena,Q395759,81.633705
3,890,895,siena,Siena,Q2751,81.982086
3,1377,1389,porta a tufi,"Porta Tufi, Siena",Q3908860,82.93541
3,1709,1716,orvieto,Orvieto,Q541,82.89071
4,50,58,florence,Florence,Q2044,83.3745
4,101,135,lorenzo de ' medici the magnificent,Lorenzo de' Medici,Q177854,85.04904
4,687,695,florence,Florence,Q2044,84.34243
4,708,727,magnificent lorenzo,Lorenzo de' Medici,Q177854,82.43879
4,749,755,medici,House of Medici,Q170022,80.32627
4,801,809,giuliano,Giuliano de' Medici,Q298877,83.86476
4,831,850,magnificent lorenzo,Lorenzo de' Medici,Q177854,81.7484
4,1047,1066,magnificent lorenzo,Lorenzo de' Medici,Q177854,81.25895
4,1377,1383,medici,House of Medici,Q170022,80.43585
4,1409,1417,florence,Florence,Q2044,83.31183
5,104,110,loreto,"Loreto, Marche",Q124110,80.570015
5,321,325,rome,Rome,Q220,81.28875
5,374,379,david,David,Q41370,83.43422
5,396,403,goliath,Goliath,Q192785,84.5404
5,555,561,medici,House of Medici,Q170022,78.818565
5,565,573,florence,Florence,Q2044,83.89435
5,648,661,medici palace,Palazzo Medici Riccardi,Q911047,82.18783
5,810,815,david,David,Q41370,78.486244
5,829,835,loreto,"Loreto, Marche",Q124110,79.96217
5,938,944,loreto,"Loreto, Marche",Q124110,79.599075
5,2210,2216,loreto,"Loreto, Marche",Q124110,82.046364
5,2250,2256,ancona,Ancona,Q3415,83.43259
5,2393,2415,raffaello da montelupo,Raffaello da Montelupo,Q1370859,87.30388
6,1125,1151,filippo di ser brunellesco,Filippo Brunelleschi,Q174330,79.39622
6,1227,1233,giotto,Giotto,Q7814,83.63507
6,1313,1319,heaven,Heaven,Q4489450,81.14669
6,1639,1645,heaven,Heaven,Q4489450,81.00042
6,2004,2010,heaven,Heaven,Q4489450,79.87563
7,29,37,florence,Florence,Q2044,82.1093
7,1963,1970,pistoia,Pistoia,Q13376,82.75379
8,20,28,florence,Florence,Q2044,83.21928
8,518,537,giuliano bugiardini,Giuliano Bugiardini,Q2578459,85.37834
8,730,736,medici,House of Medici,Q170022,80.03466
8,823,831,bertoldo,Bertoldo di Giovanni,Q828363,85.38765
8,1932,1940,granacci,Francesco Granacci,Q717097,84.182396
8,1948,1968,domenico ghirlandajo,Domenico Ghirlandaio,Q191423,82.94162
8,2020,2033,maria novella,Santa Maria Novella,Q51175,84.927155
9,38,53,innocenzio cibo,Innocenzo Cybo,Q1386991,87.26065
9,181,199,cardinal de ' rossi,Luigi de' Rossi,Q733662,83.33046
9,217,235,cardinal de ' rossi,Luigi de' Rossi,Q733662,85.04413
10,769,784,marco calavrese,Marco Cardisco,Q2559941,81.73591
10,872,878,naples,Naples,Q2634,82.10747
10,943,947,rome,Rome,Q220,80.907814
10,1036,1041,siren,Siren (mythology),Q150986,79.340706
10,1145,1151,sebeto,Sebeto,Q3953836,79.46107
10,1257,1263,heaven,Heaven,Q4489450,81.60164
10,1516,1522,aversa,Aversa,Q19279,81.58812
10,1547,1553,naples,Naples,Q2634,83.7433
10,1759,1768,augustine,Augustine of Hippo,Q8018,83.33762
10,1814,1820,christ,Jesus,Q302,80.56177
10,1825,1831,saints,Saint,Q43115,80.76252
11,116,124,calabria,Calabria,Q1458,82.85887
11,129,135,ascoli,Ascoli Piceno,Q6624,79.98404
11,144,150,norcia,Norcia,Q20494,82.11167
11,483,487,rome,Rome,Q220,80.25403
11,533,539,ascoli,Ascoli Piceno,Q6624,81.76366
11,726,732,ascoli,Ascoli Piceno,Q6624,79.88574
11,749,762,pope paul iii,Pope Paul III,Q133001,89.504555
11,1288,1294,ascoli,Ascoli Piceno,Q6624,80.955025
11,1456,1481,signor alessandro vitelli,Alessandro Vitelli,Q621395,84.21524
11,1498,1513,lord of matrice,Matrice,Q277684,80.951324
11,1557,1574,città di castello,Città di Castello,Q20413,85.541595
