id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,9,21,Pope Clement,PER,Q83159,,
0,46,56,Buonarroti,PER,Q5592,,
0,110,118,sacristy,LOC,Q660876,,
0,346,365,Fra Giovanni Agnolo,PER,Q27040,,
0,417,437,Antonio da San Gallo,PER,Q357276,,
0,474,491,Madonna di Loreto,LOC,Q654996,True,
0,485,491,Loreto,LOC,Q124110,,True
0,532,537,Frate,PER,Q27040;Q548320,,
0,638,643,Frate,PER,Q27040;Q548320,,
0,737,756,Fra Giovanni Agnolo,PER,Q27040,,
0,980,989,S. Cosimo,PER,Q11841156,,
0,996,1006,S. Damiano,PER,Q11841130,,
0,1049,1056,Madonna,PER,Q345,,
0,1084,1094,S. Damiano,PER,Q11841130,,
0,1144,1149,Frate,PER,Q27040;Q548320,,
0,1154,1163,S. Cosimo,PER,Q11841156,,
0,1347,1352,Frate,PER,Q27040;Q548320,,
0,1410,1420,Buonarroti,PER,Q5592,,
0,1901,1906,Frate,PER,Q27040;Q548320,,
0,1966,1985,Fra Giovanni Agnolo,PER,Q27040,,
0,2056,2068,Duke Lorenzo,PER,Q177854,,
0,2254,2266,Pope Clement,PER,Q83159,,
0,2336,2341,Frate,PER,Q27040;Q548320,,
0,2610,2629,Fra Giovanni Agnolo,PER,Q27040,,
1,57,67,Montorsoli,LOC,Q3862501,,
1,502,512,Montorsoli,LOC,Q3862501,,
1,586,605,Francesco del Tadda,PER,Q3750862,,
1,822,841,Francesco del Tadda,PER,Q3750862,,
1,847,861,Maestro Andrea,PER,Q601850,,
1,1218,1227,S. Pietro,LOC,Q12512,,
1,1761,1775,Il  Volterrano,PER,Q3417362,,
2,82,97,Niccola of Pisa,PER,Q364413,True,
2,399,412,three Consuls,ORG,Q736727,,
2,512,521,Consulate,LOC,Q736727,,
2,527,540,Customs-house,LOC,Q218653,,
2,881,896,Niccola of Pisa,PER,Q364413,True,
2,1154,1159,Duomo,LOC,Q282554,,
3,100,119,Vescovado of Arezzo,LOC,Q314932,,
3,704,708,Nine,ORG,Q736727,,
3,753,775,Palace in Malborghetto,LOC,Q1190961,True,
3,983,988,State,ORG,Q736727,,
3,1084,1089,Duomo,LOC,Q282554,,
3,1215,1227,Porta Romana,LOC,Q2104857,,
3,1335,1351,Porta S. Martino,LOC,Q2104857,,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,,
