id,start_pos,end_pos,entity,wb_id,score
0,46,56,Philippe Buonarroti,Q471346,86.49689
0,110,118,Sacristy,Q468939,85.65901
0,474,491,Madonna of Loreto,Q2427320,86.28883
1,57,67,Montorsaio,Q2080714,85.37156
3,1215,1227,"Porta Romana, Florence",Q3398708,85.82862
5,0,8,Pope Leo I,Q43954,86.30304
7,578,597,San Michele a Ripa,Q3685181,85.0525
8,744,762,Piazza San Marco,Q217527,86.095955
8,937,947,Philippe Buonarroti,Q471346,85.30053
8,1312,1322,Philippe Buonarroti,Q471346,85.69217
16,804,849,Giovanni da Santo Stefano da Ponte,Q15406899,85.3674
16,1417,1437,"San Lorenzo, Florence",Q573881,85.86547
16,1875,1880,Pieve,Q111474217,85.53153
20,1390,1408,Abbey of St Maria del Monte,Q2820721,86.089966
22,1916,1942,Donato Bramante,Q7793,85.80588
23,16,28,Pope Paul II,Q102605,86.805016
23,34,65,"Madonna di Loreto, Spoleto",Q17652134,87.36109
28,1611,1627,Santa Maria Novella,Q51175,86.30346
30,1130,1151,"Sant'Agostino Church, San Gimignano",Q1132860,85.25191
33,2268,2273,Padua,Q617,86.23802
34,2613,2619,Chiusi,Q91185,85.81057
39,1385,1408,"San Giovanni Evangelista, Venice",Q3585347,85.817795
41,11,76,Abbazia della Misericordia,Q1059409,85.06954
46,379,392,Canons regular,Q89566537,85.20157
49,10,19,Giorgione,Q8459,85.31137
50,1014,1044,"San Felice, Florence",Q3585333,85.4684
51,2288,2319,Santa Maria degli Angeli (Assisi),Q938802,86.4962
0,9,21,Pope Clement I >> en,Q42887,-0.6009114384651184
0,417,437,Antonio da Sangallo the Elder >> en,Q456861,-0.49934422969818115
0,485,491,Basilica della Santa Casa >> en,Q654996,-0.34385308623313904
0,610,623,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.8713225722312927
0,996,1006,San Damiano >> en,Q395220,-1.0006693601608276
0,1049,1056,Madonna (art) >> en,Q926743,-0.390523225069046
0,1084,1094,San Damiano >> en,Q395220,-1.1141453981399536
0,1410,1420,Buonarroti >> en,Q21507056,-0.7160817384719849
0,2038,2051,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.741733193397522
0,2092,2096,Pope >> en,Q19546,-0.23918431997299194
0,2254,2266,Pope Clement I >> en,Q42887,-0.5819544792175293
1,514,520,Agnolo >> en,Q2826951,-1.273126482963562
1,1761,1775,Volterrano >> en,Q2403504,0.0248909592628479
2,99,107,Agostino da Siena >> en,Q395759,-0.5258464217185974
2,112,118,Agnolo Bronzino >> en,Q7803,-0.4164980947971344
2,512,521,Consul >> en,Q4489757,-0.3947998881340027
2,813,819,Agnolo Bronzino >> en,Q7803,-0.7086729407310486
2,1015,1023,Giovanni da Siena >> en,Q3768439,-1.3088046312332153
2,2072,2078,Agnolo Bronzino >> en,Q7803,-0.75765061378479
3,46,54,Giovanni Tolomei >> en,Q731956,-0.2828963100910187
3,100,119,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.24351683259010315
3,399,407,Giovanni Tolomei >> en,Q731956,-0.3689972758293152
3,529,536,Pistola >> en,Q7198490,-0.2188161462545395
3,704,708,Capetian House of Anjou >> en,Q939200,-1.146397590637207
3,763,775,Malborghetto-Valbruna >> it,Q53278,-1.0498862266540527
3,915,923,Giovanni Tolomei >> en,Q731956,-0.31260618567466736
3,983,988,State (polity) >> en,Q7275,-0.6643750071525574
3,1672,1679,Tolomei >> en,Q21450788,-0.41833844780921936
3,1731,1737,Tolomei >> en,Q21450788,-1.2072995901107788
3,1795,1803,"Santa Maria Assunta, Siena >> en",Q282554,-0.9458109736442566
4,364,376,Michelangelo >> en,Q5592,-1.2544411420822144
4,801,809,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.10775420069694519
4,864,882,Piazza Santa Croce >> en,Q1017385,-0.8591640591621399
4,1360,1372,Michelangelo >> en,Q5592,-1.237523078918457
4,1691,1703,Michelangelo >> en,Q5592,-1.4320685863494873
4,1726,1737,Bartolommeo >> en,Q7780,-1.2154433727264404
4,1817,1823,Baccio >> en,Q4838662,-0.8463364243507385
4,1825,1837,Michelangelo >> en,Q5592,-1.3466097116470337
5,104,110,Basilica della Santa Casa >> en,Q654996,-0.08682486414909363
5,306,312,Baccio >> en,Q4838662,-0.8970117568969727
5,335,339,Pope >> en,Q19546,-0.3578173816204071
5,542,573,House of Medici >> en,Q170022,-0.5606645941734314
5,610,616,Donato >> en,Q411627,-1.119760274887085
5,680,686,Palazzo Medici Riccardi >> en,Q911047,-0.5043491125106812
5,726,730,Pope >> en,Q19546,-0.49058258533477783
5,810,815,David (Michelangelo) >> en,Q179900,-0.6056593656539917
5,829,835,Basilica della Santa Casa >> en,Q654996,-0.37322017550468445
5,839,853,Andrea Contucci >> en,Q495011,-0.035395920276641846
5,871,877,Andrea Contucci >> en,Q495011,-0.682380735874176
5,938,944,Basilica della Santa Casa >> en,Q654996,-0.33347371220588684
5,1058,1062,Pope >> en,Q19546,-0.39785391092300415
5,1604,1610,Baccio >> en,Q4838662,-1.4540817737579346
5,1909,1915,Baccio >> en,Q4838662,-1.4189435243606567
5,2210,2216,Basilica della Santa Casa >> en,Q654996,-0.15310831367969513
5,2456,2470,Maestro >> en,Q1836630,-0.7203322649002075
6,1136,1151,Filippo Brunelleschi >> en,Q174330,-0.017327547073364258
7,145,174,Filippo Brunelleschi >> en,Q174330,-0.3676729202270508
7,209,215,Cambio >> en,Q1028149,-0.6430066823959351
7,334,349,Filippo Brunelleschi >> en,Q174330,-0.4015568494796753
7,424,429,Spini >> en,Q1087553,-1.0785223245620728
7,1224,1239,Filippo Brunelleschi >> en,Q174330,-0.1455044150352478
7,2046,2062,"Orders, decorations, and medals of Italy >> en",Q7100734,-1.452150583267212
8,716,762,"San Marco, Florence >> en",Q1152774,-0.8115705251693726
8,1917,1927,Buonarroti >> en,Q21507056,-0.8074721097946167
9,0,8,Giuliano de' Medici >> en,Q298877,-1.142445683479309
9,85,104,Raffaello da Urbino >> en,Q5597,0.3341520130634308
9,139,147,Pope Leo I >> en,Q43954,-0.7036086916923523
9,181,199,Giovanni Battista de Rossi >> en,Q699662,-0.3484615683555603
10,1623,1644,"Sant'Agostino, Rome >> en",Q1424095,-0.4572829306125641
11,80,87,Matrice >> en,Q277684,-0.6591591238975525
11,393,399,Ascoli Piceno >> en,Q6624,-0.20285502076148987
11,455,459,Cola >> en,Q134041,-0.8679983615875244
12,236,243,Lorenzo di Cosimo de' Medici >> en,Q177854,-0.2731081247329712
12,731,737,Cosimo >> en,Q1136046,-0.5617570281028748
12,1075,1081,Cosimo >> en,Q1136046,-0.5771703720092773
12,1597,1603,"Cosimo I de' Medici, Grand Duke of Tuscany >> en",Q48547,-0.6319277882575989
13,40,45,Piero di Cosimo de' Medici >> en,Q299663,-0.7023684978485107
13,94,122,Servite Order >> en,Q615923,-0.65394127368927
13,145,152,Tedaldo >> en,Q7693924,-1.0934476852416992
13,200,210,Philip the Apostle >> en,Q43675,-0.5473551154136658
13,231,236,Holy orders >> en,Q662862,-1.16798734664917
13,512,516,Columbidae >> en,Q10856,-0.3388119339942932
13,741,751,Philip the Apostle >> en,Q43675,-0.5271384716033936
13,757,770,Servite Order >> en,Q615923,-0.1763221025466919
13,1124,1129,Piero di Cosimo de' Medici >> en,Q299663,-0.7511539459228516
13,1994,2016,Cosimo de' Medici >> en,Q48544,-0.2447757124900818
13,2061,2066,Piero di Cosimo de' Medici >> en,Q299663,-0.5312248468399048
13,2270,2281,San Giovanni in Laterano >> en,Q84090,-0.25707459449768066
14,420,428,San Girolamo >> en,Q3846621,-0.633112907409668
14,552,571,San Stefano al Monte Celio >> en,Q919456,-0.3704906702041626
14,838,849,Dead Christ >> en,Q27795958,-0.888776957988739
14,851,859,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.5018777847290039
14,861,869,John the Apostle >> en,Q44015,-0.5288304686546326
14,945,949,Pace (transit) >> en,Q3360030,-0.383301317691803
14,1166,1170,Magi >> en,Q876933,-0.30555006861686707
14,1566,1610,Santo Spirito in Sassia >> en,Q1428488,-1.2257345914840698
14,1616,1660,Pentecost >> en,Q39864,-0.4293721914291382
14,1652,1660,Apostles >> en,Q43412,-0.21724408864974976
14,1763,1776,German colonial empire >> en,Q329618,-1.0088330507278442
14,1816,1843,Fugger family >> en,Q155834,-0.6913026571273804
14,1935,1943,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.49759480357170105
14,1967,1992,San Giacomo degli Spagnuoli >> en,Q1649784,0.10664433240890503
14,2044,2050,Christ >> en,Q302,0.090861976146698
14,2106,2113,John the Apostle >> en,Q44015,-0.5099007487297058
14,2258,2279,Alfonso Maria de' Liguori >> en,Q273334,-0.9476534128189087
15,729,734,Royal court >> en,Q1134237,-0.6050806045532227
15,1429,1440,Dead Christ >> en,Q27795958,-0.8519495725631714
15,1607,1612,Saint >> en,Q43115,-0.18872560560703278
15,1843,1848,Christian cross >> en,Q392371,-0.25878840684890747
15,1899,1906,Madonna (art) >> en,Q926743,-0.32070600986480713
15,2437,2458,Colonna family >> en,Q327202,-1.3432509899139404
16,1427,1437,"San Lorenzo, Florence >> en",Q573881,-0.40201708674430847
16,1446,1461,Pieve >> en,Q1464870,-1.4400513172149658
16,1520,1525,Saint >> en,Q43115,-0.21888571977615356
16,1847,1867,"Sant'Onofrio, Rome >> en",Q1627320,-1.4573204517364502
16,1985,1996,Santa Giustina >> en,Q41023,-0.49258047342300415
16,2239,2250,Santa Giustina >> en,Q41023,-0.5870986580848694
16,2489,2498,Duke of Ferrara and of Modena >> en,Q1532877,-0.5729482769966125
16,2723,2738,San Michele a Ripa >> en,Q3685181,-1.4309343099594116
17,0,8,Giovanni da Cascia >> en,Q3768420,-1.3523476123809814
17,26,45,"Santa Trinita, Florence >> en",Q1062114,-0.9039477705955505
17,40,45,Scali >> en,Q7802,-1.1564334630966187
19,35,55,Santa Maria dei Servi >> en,Q1021897,-0.1930927038192749
19,50,55,Maurus Servius Honoratus >> en,Q355350,-1.005638599395752
19,124,141,Cantus firmus >> en,Q938118,-1.1671481132507324
19,787,808,Santa Maria dei Servi >> en,Q1021897,-0.7902124524116516
19,803,808,Maurus Servius Honoratus >> en,Q355350,-0.7880169749259949
19,941,951,Philip the Apostle >> en,Q43675,-0.4637424945831299
19,2522,2532,Saint Philip >> en,Q3945117,-0.48825809359550476
20,554,584,Sansepolcro >> en,Q52098,-0.332758367061615
21,26,31,Cosmè >> it,Q1136046,-0.9631405472755432
21,104,115,Basilica of San Domenico >> en,Q862602,-0.9956963062286377
22,1088,1108,Antonio da Sangallo the Elder >> en,Q456861,-0.5335948467254639
22,1417,1424,Antonio da Sangallo the Younger >> en,Q357276,-1.3052490949630737
23,59,65,Basilica della Santa Casa >> en,Q654996,-0.2918943762779236
23,430,437,Pope Clement I >> en,Q42887,-0.4947865903377533
23,749,761,Pope Clement I >> en,Q42887,-0.8717078566551208
23,823,829,Basilica della Santa Casa >> en,Q654996,-0.3512885868549347
23,2151,2158,Fortuna >> en,Q4654,-0.28172382712364197
24,1606,1614,Giovanni >> en,Q419336,-0.6100680828094482
24,1959,1964,Italy >> en,Q38,-0.2078222781419754
24,2075,2083,Scaliger >> en,Q1247250,-0.4805298447608948
25,2486,2498,Luigi Cornaro >> en,Q389140,-0.7178762555122375
26,493,496,God >> en,Q190,-0.22126087546348572
26,1033,1040,Bondone >> en,Q246478,-0.16022616624832153
26,1464,1471,Bondone >> en,Q246478,-0.49742335081100464
27,59,65,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.16499757766723633
27,70,84,Arezzo >> en,Q13378,-0.9376742243766785
27,94,110,Massa >> en,Q13370,-0.15711736679077148
27,167,174,Holy Roman Emperor >> en,Q181765,-0.6458224058151245
27,342,348,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.2241494357585907
27,522,538,Guelphs and Ghibellines >> en,Q187742,0.08913502097129822
27,1359,1371,Gondi family >> en,Q2397552,-1.1610558032989502
27,1450,1470,Arezzo >> en,Q13378,-0.7351360321044922
