doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
49,1699,1719,448,468,Fondaco de'Tedeschi,LOC,"['person', 'art', 'artist', 'art form', 'art historian', 'artwork', 'creation', 'creator', 'painter', 'painting', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
53,1370,1388,55,73,Orazio Sammacchini,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'master', 'paint', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
