doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,0,474,491,474,491,Madonna di Loreto,Artwork,Madonna di Loreto
0,2,980,989,95,104,S. Cosimo,Artwork,S. Cosimo
0,2,996,1006,111,121,S. Damiano,Artwork,S. Damiano
0,2,1049,1056,164,171,Madonna,Artwork,Madonna
1,6,1725,1775,174,224,"tomb of M. Raffaello Maffei, called Il  Volterrano",Artwork,tomb of M. Raffaello Maffei
5,1,374,379,85,90,David,Artwork,David who was holding Goliath
5,1,396,403,107,114,Goliath,Artwork,David who was holding Goliath
5,3,1157,1177,237,257,Nativity of Our Lady,Artwork,Nativity of Our Lady
7,7,1884,1909,102,127,"two, half-length prophets",Artwork,"two, half-length prophets"
10,6,1756,1796,294,334,S. Augustine disputing with the heretics,Artwork,S. Augustine disputing with the heretics
14,2,838,849,132,143,Dead Christ,Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,2,851,859,145,153,Our Lady,Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,2,861,868,155,162,S. John,Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,2,870,883,164,177,the Magdalene,Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,3,1119,1143,186,210,Nativity of Jesus Christ,Artwork,Nativity of Jesus Christ
14,3,1149,1170,216,237,Adoration of the Magi,Artwork,Adoration of the Magi
14,3,1176,1193,243,260,Flight into Egypt,Artwork,Flight into Egypt
14,3,1203,1228,270,295,Massacre of the Innocents,Artwork,Massacre of the Innocents
14,4,1465,1489,138,162,Nativity of Jesus Christ,Artwork,Nativity of Jesus Christ
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Artwork,Descent of the Holy Spirit upon the Apostles
14,5,1927,1943,234,250,Life of Our Lady,Artwork,Life of Our Lady
15,5,1429,1440,17,28,Dead Christ,Artwork,Dead Christ
15,6,1799,1822,185,208,altar-picture of Christ,Artwork,Christ taken down from the Cross
16,2,1843,1867,103,127,the Chapel of S. Onofrio,Artwork,Chapel of S. Onofrio
16,2,1895,1905,155,165,S. Antonio,Artwork,S. Antonio
17,0,14,45,14,45,painted the Chapel of the Scali,Artwork,Chapel of the Scali
17,0,131,138,131,138,S. Paul,Artwork,stories of S. Paul
17,0,189,210,189,210,tomb of Maestro Paolo,Artwork,tomb of Maestro Paolo
19,2,755,773,84,102,Nativity of Christ,Artwork,Nativity of Christ
19,2,835,847,164,176,Annunciation,Artwork,Annunciation
27,4,2045,2053,288,296,Crucifix,Artwork,Crucifix
29,1,716,732,125,141,Christ Crucified,Artwork,Trinity|God the Father supporting a Christ Crucified
29,2,799,809,65,75,Assumption,Artwork,Assumption
30,4,1219,1253,172,206,Apostles receiving the Holy Spirit,Artwork,Apostles receiving the Holy Spirit
30,4,1296,1408,249,361,"Christ—in one His taking Peter and Andrew from their nets, and in the other the Feast of Simon and the Magdalene",Artwork,stories of Christ
30,5,1547,1558,63,74,Dead Christ,Artwork,Dead Christ
31,2,639,651,197,209,Annunciation,Artwork,Annunciation
31,2,659,683,217,241,God the Father in Heaven,Artwork,God the Father in Heaven
35,0,43,48,43,48,Pietà,Artwork,Pietà
36,2,697,706,39,48,S. Philip,Artwork,S. Philip
39,1,472,481,267,276,Communion,Artwork,Christ giving the Communion to the Apostles
39,2,612,623,47,58,Dead Christ,Artwork,Dead Christ
39,3,851,863,35,47,S. Sebastian,Artwork,S. Sebastian
39,4,931,958,8,35,altar of S. Maria Maddalena,Artwork,S. Maria Maddalena
39,5,1324,1352,169,197,the Baptism of Jesus Christ;,Artwork,Baptism of Jesus Christ
39,8,1839,1846,94,101,Madonna,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1866,1892,121,147,Virgin Martyr S. Catharine,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1897,1906,152,161,S. Jerome,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,9,1974,1986,66,78,S. Catharine,Artwork,S. Catharine and S. Francis
39,10,2178,2185,92,99,Madonna,Artwork,Madonna and many figures
39,11,2396,2442,82,128,another panel with S. Laurence and S. Francis.,Artwork,S. Laurence and S. Francis
41,0,94,101,94,101,Madonna,Artwork,Madonna who has under her mantle the people of Arezzo
41,2,822,856,148,182,Madonna with the Child in her arms,Artwork,"Madonna with the Child in her arms, with some angels who are opening her mantle"
41,2,868,901,194,227,angels who are opening her mantle,Artwork,"Madonna with the Child in her arms, with some angels who are opening her mantle"
41,6,1862,1874,108,120,Annunciation,Artwork,Annunciation
41,7,2128,2145,84,101,S. Mary Magdalene,Artwork,S. Mary Magdalene
41,7,2312,2320,268,276,Crucifix,Artwork,Crucifix with four figures
43,0,153,183,153,183,panel for S. Giovanni in Monte,Artwork,panel for S. Giovanni in Monte at Bologna
44,4,1611,1621,460,470,S. Stephen,Artwork,S. Stephen
44,4,1737,1748,586,597,S. Antonino,Artwork,"S. Antonino, Archbishop of Florence"
44,4,1778,1800,627,649,S. Catharine of Siena.,Artwork,S. Catharine of Siena
