id,start_pos,end_pos,surface,type,score
1,35,58,Mercatanzia di Fiorenza,ORG,0.9568727612495422
3,8,14,Medici,ORG,0.8117502331733704
3,182,183,S,MISC,0.4716109335422516
3,185,195,Sebastiano,PER,0.9779786467552185
5,47,56,' Tedaldi,PER,0.6667158603668213
5,74,89,frati de ' Servi,LOC,0.8062833398580551
5,139,146,Filippo,PER,0.49946328997612
6,168,193,Santo Spirito di Fiorenza,LOC,0.7004176527261734
6,218,230,Gino Capponi,PER,0.9969031810760498
8,51,52,S,MISC,0.8268221020698547
8,54,81,Michele della via de’ Servi,PER,0.7969449162483215
9,0,13,Dipinse Piero,PER,0.8797204792499542
11,0,2,Li,PER,0.8834328055381775
11,132,139,d'Adamo,MISC,0.7001782655715942
11,142,147,d'Èva,MISC,0.7311076521873474
11,160,168,Paradiso,MISC,0.9248508214950562
14,35,47,San Domenico,LOC,0.7755526006221771
16,0,14,Prese Lionardo,PER,0.864578515291214
16,63,72,Mona Lisa,PER,0.8978076279163361
18,160,170,Santa Anna,LOC,0.932976096868515
19,16,49,Lionardo Giovanantonio Boltraffio,PER,0.8716555833816528
20,48,62,Santa Caterina,LOC,0.9769823551177979
20,91,99,Itiranno,PER,0.4909619987010956
22,283,307,piazza di Santo Giovanni,LOC,0.9286318570375443
22,310,314,Polo,LOC,0.46011239290237427
22,335,343,d'Andrea,PER,0.8177767992019653
23,141,152,di Fiorenza,PER,0.73714579641819
24,34,47,MeccceLxxIIII,MISC,0.8287989497184753
25,85,90,Mpiii,PER,0.8440207839012146
25,166,178,Gonfalonieri,MISC,0.8391858339309692
25,182,187,David,PER,0.525938868522644
25,408,438,Miniato Pitti di Monte Oliveto,LOC,0.5627055883407592
26,332,343,McccxxxIIII,MISC,0.9899049401283264
27,26,28,Lx,MISC,0.8592121005058289
28,189,196,Lxxvili,PER,0.9923513531684875
29,140,141,S,MISC,0.7489080429077148
29,143,148,Rocco,PER,0.6790784597396851
30,0,5,Oltra,PER,0.9801689982414246
30,122,129,Mpxxvii,ORG,0.773097574710846
30,149,153,Roma,LOC,0.8344172239303589
