id,start_pos,end_pos,surface,type,value,is_nested
0,593,605,Duke Lorenzo,WORK,Q3937601,
0,610,623,Duke Giuliano,WORK,Q3937559,
0,1084,1094,S. Damiano,WORK,NIL,
0,1154,1163,S. Cosimo,WORK,NIL,
0,2038,2051,Duke Giuliano,WORK,Q3937559,
0,2056,2068,Duke Lorenzo,WORK,Q3937601,
0,2389,2394,works,WORK,300387357,
5,601,606,David,WORK,Q735085,
5,810,815,David,WORK,NIL,
7,1941,1970,altar of S. Jacopo in Pistoia,WORK,Q3613122,
8,2007,2033,chapel in S. Maria Novella,WORK,Q2593098,
9,56,199,"copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,NIL,
9,139,199,"Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,Q733662,1
9,418,445,portrait of Cencio Guasconi,WORK,NIL,
10,1756,1796,S. Augustine disputing with the heretics,WORK,NIL,
10,1803,1831,stories of Christ and Saints,WORK,NIL,
13,81|258,122|456,"panel in the Church of the Servite Friars|Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light",WORK,Q3204084,
14,636,704,"S. Peter, S. Stephen, and S. John the Baptist, with certain children",WORK,NIL,
14,1465,1489,Nativity of Jesus Christ,WORK,NIL,
14,1927,1943,Life of Our Lady,WORK,NIL,
14,1953,1992,high-altar of S. Jacopo degli Spagnuoli,WORK,NIL,
15,2437,2458,Signora Livia Colonna,WORK,NIL,
16,1417|1493,1461|1525,"Chapel of S. Lorenzo, in the Pieve of Empoli|scenes of the life of that Saint",WORK,NIL,
16,1688,1710,Assumption of Our Lady,WORK,NIL,
19,2514,2532,life of S. Filippo,WORK,NIL,
20,1627,1655,stories of the Old Testament,WORK,NIL,
27,2122,2130,Crucifix,WORK,NIL,
29,218,249,stories from the life of Joseph,WORK,Q3651297,
29,513,542,Joseph ministering to Pharaoh,WORK,Q3771677,
30,1285,1302,stories of Christ,WORK,NIL,
30,1310,1353,His taking Peter and Andrew from their nets,WORK,NIL,
30,1693,1716,Coronation of Our  Lady,WORK,NIL,
31,639,651,Annunciation,WORK,NIL,
35,71,76,Giant,WORK,Q179900,
37,28,33,S. Lo,WORK,Q3948822,
37,257,304,"S. Lo, the Farrier, is shoeing a frenzied horse",WORK,Q3948822,
38,1427,1468,Magi presenting their offerings to Christ,WORK,NIL,
39,454,497,Christ giving the Communion to the Apostles,WORK,NIL,
39,737,814,"S. Helena, the mother of the Emperor Constantine, in the finding of the Cross",WORK,NIL,
39,940,958,S. Maria Maddalena,WORK,NIL,
39,1165,1225,Christ appearing to Mary Magdalene in the form of a gardener,WORK,NIL,
39,1238,1305,S. Peter leaving the ship and walking over the water towards Christ,WORK,NIL,
39,1468,1502,that Saint consecrating the church,WORK,NIL,
39,1536,1580,"S. Cantius, S. Cantianus, and S. Cantianilla",WORK,NIL,
39,1974,2001,S. Catharine and S. Francis,WORK,NIL,
39,2020,2084,"Our Lady with S. James the Apostle, S. Francis, and many figures",WORK,NIL,
39,2178,2202,Madonna and many figures,WORK,NIL,
39,2415,2441,S. Laurence and S. Francis,WORK,Q17590,
41,942,955,S. Laurentino,WORK,NIL,
41,960,973,S. Pergentino,WORK,NIL,
41,2128,2145,S. Mary Magdalene,WORK,NIL,
43,153,194,panel for S. Giovanni in Monte at Bologna,WORK,Q1103801,
44,1611,1621,S. Stephen,WORK,NIL,
45,1544,1584,"Our Lady, S. Anne, and many other Saints",WORK,NIL,
45,2101,2108,S. Anne,WORK,NIL,
49,387,412,Our Lady going into Egypt,WORK,NIL,
49,981,990,Ecce Homo,WORK,Q4411819,
49,1124,1189,"Our Lady with other figures the size of life, of men and children",WORK,NIL,
50,1403,1464,two scenes in silver for the ends of the altar of S. Giovanni,WORK,NIL,
50,1444,1464,altar of S. Giovanni,WORK,Q24933218,1
51,1745,1753,Crucifix,WORK, NIL,
53,1281,1313,Centurion kneeling before Christ,WORK,NIL,
53,1686,1714,stories of Moses and Pharaoh,WORK,NIL,
