doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,0,474,491,474,491,Madonna di Loreto,Artwork,Madonna di Loreto
0,2,980,989,95,104,S. Cosimo,Artwork,S. Cosimo
0,2,996,1006,111,121,S. Damiano,Artwork,S. Damiano
0,2,1049,1056,164,171,Madonna,Artwork,Madonna
1,6,1725,1775,174,224,"tomb of M. Raffaello Maffei, called Il  Volterrano",Artwork,tomb of M. Raffaello Maffei
5,1,374,379,85,90,David,Artwork,David who was holding Goliath
5,1,396,403,107,114,Goliath,Artwork,David who was holding Goliath
5,3,1157,1177,237,257,Nativity of Our Lady,Artwork,Nativity of Our Lady
7,7,1884,1909,102,127,"two, half-length prophets",Artwork,"two, half-length prophets"
10,6,1576,1644,114,182,panel-picture in oils on the high-altar of the Church of S. Agostino,Artwork,high-altar of the Church of S. Agostino
13,4,1273,1321,102,150,S. Margaret issuing from the belly of the Dragon,Artwork,S. Margaret issuing from the belly of the Dragon
14,2,838,883,132,177,"Dead Christ, Our Lady, S. John, the Magdalene",Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,3,1119,1143,186,210,Nativity of Jesus Christ,Artwork,Nativity of Jesus Christ
14,3,1149,1170,216,237,Adoration of the Magi,Artwork,Adoration of the Magi
14,3,1176,1193,243,260,Flight into Egypt,Artwork,Flight into Egypt
14,3,1203,1229,270,296,Massacre of the Innocents;,Artwork,Massacre of the Innocents
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Artwork,Descent of the Holy Spirit upon the Apostles
14,6,2044,2351,99,406,"Christ on the Cross with some Angels about Him, Our Lady, and S. John, and besides this two large pictures that are one on either side of it, each nine palms high and with a single figure, S. James the Apostle and S. Alfonso the Bishop; in which pictures it is evident that he used much study and diligence.",Artwork,"Christ on the Cross with some Angels about Him, Our Lady, and S. John"
15,5,1429,1440,17,28,Dead Christ,Artwork,Dead Christ
15,6,1799,1822,185,208,altar-picture of Christ,Artwork,Christ taken down from the Cross
16,2,1843,1867,103,127,the Chapel of S. Onofrio,Artwork,Chapel of S. Onofrio
16,2,1895,1905,155,165,S. Antonio,Artwork,S. Antonio
16,3,2311,2331,372,392,head of Appius Cæcus,Artwork,head of Appius Cæcus
17,0,26,45,26,45,Chapel of the Scali,Artwork,Chapel of the Scali
17,0,131,138,131,138,S. Paul,Artwork,stories of S. Paul
17,0,189,210,189,210,tomb of Maestro Paolo,Artwork,tomb of Maestro Paolo
19,2,755,773,84,102,Nativity of Christ,Artwork,Nativity of Christ
19,2,835,847,164,176,Annunciation,Artwork,Annunciation
19,2,941,951,270,280,S. Filippo,Artwork,"S. Filippo, the founder of that Servite Order, assuming the habit"
27,4,2045,2053,288,296,Crucifix,Artwork,Crucifix
29,1,668,675,77,84,Trinity,Artwork,Trinity|God the Father supporting a Christ Crucified
29,1,688,733,97,142,God the Father supporting a Christ Crucified.,Artwork,Trinity|God the Father supporting a Christ Crucified
29,2,784,809,50,75,picture of the Assumption,Artwork,Assumption
30,4,1219,1227,172,180,Apostles,Artwork,Apostles receiving the Holy Spirit
30,4,1385,1408,338,361,Simon and the Magdalene,Artwork,Feast of Simon and the Magdalene
30,5,1547,1558,63,74,Dead Christ,Artwork,Dead Christ
31,2,659,683,217,241,God the Father in Heaven,Artwork,God the Father in Heaven
35,0,43,48,43,48,Pietà,Artwork,Pietà
36,2,697,706,39,48,S. Philip,Artwork,S. Philip
39,2,612,623,47,58,Dead Christ,Artwork,Dead Christ
39,3,851,863,35,47,S. Sebastian,Artwork,S. Sebastian
39,5,1328,1352,173,197,Baptism of Jesus Christ;,Artwork,Baptism of Jesus Christ
39,7,1706,1725,99,118,S. John the Baptist,Artwork,S. John the Baptist
39,7,1731,1744,124,137,S. Sebastian.,Artwork,S. Sebastian
39,8,1839,1846,94,101,Madonna,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1866,1892,121,147,Virgin Martyr S. Catharine,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1897,1907,152,162,S. Jerome.,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
41,0,94,101,94,101,Madonna,Artwork,Madonna who has under her mantle the people of Arezzo
41,2,822,844,148,170,Madonna with the Child,Artwork,"Madonna with the Child in her arms, with some angels who are opening her mantle"
41,6,1862,1874,108,120,Annunciation,Artwork,Annunciation
41,6,2011,2023,257,269,S. Catherine,Artwork,S. Catherine
41,7,2312,2320,268,276,Crucifix,Artwork,Crucifix with four figures
41,8,2429,2440,38,49,S. Nicholas,Artwork,stories of S. Nicholas
44,4,1363,1374,212,223,altar-piece,Artwork,altar-piece of the high-altar in S. Maria Novella
44,4,1382,1392,231,241,high-altar,Artwork,altar-piece of the high-altar in S. Maria Novella
44,4,1396,1412,245,261,S. Maria Novella,Artwork,altar-piece of the high-altar in S. Maria Novella
44,4,1625,1636,474,485,disputation,Artwork,disputation of that Saint
44,4,1737,1748,586,597,S. Antonino,Artwork,"S. Antonino, Archbishop of Florence"
44,4,1750,1772,599,621,Archbishop of Florence,Artwork,"S. Antonino, Archbishop of Florence"
