doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
13,0,131,152,131,152,Chapel of the Tedaldi,Artwork,
14,6,2009,2026,64,81,large altar-piece,Artwork,
14,6,2132,2150,187,205,two large pictures,Artwork,
15,6,1895,1906,281,292,the Madonna,Artwork,
17,0,49,59,49,59,S. Trinita,Artwork,
20,3,1265,1286,103,124,chapel in S. Domenico,Artwork,
29,1,626,641,35,50,a round picture,Artwork,
29,2,891,897,157,163,Girdle,Artwork,
30,6,1621,1628,7,14,Trinità,Artwork,
37,0,178,195,178,195,the marble shrine,Artwork,
38,0,372,387,372,387,Venetian Palma.,Artwork,
46,3,1208,1219,71,82,S. Domenico,Artwork,
48,2,778,791,282,295,ancient works,Artwork,
50,6,1597,1626,54,83,large figures of the Apostles,Artwork,
53,0,327,342,327,342,ancient statues,Artwork,
53,6,1585,1593,20,28,a frieze,Artwork,
