id,start_pos,end_pos,surface,type,wb_id,named_entity
1,35,46,Mercatanzia,LOC,Q3998632,1
1,50,58,Fiorenza,LOC,Q2044,1
1,93,98,Virtù,MISC,Q904802,1
1,103,110,Antonio,PER,Q318640,1
1,113,133,Piero del Pollaiuolo,PER,Q707046,1
3,3,14,casa Medici,MISC,Q911047,1
3,73,80,Pallade,MISC,Q457294,1
3,182,195,S. Sebastiano,PER,Q183332,1
3,199,230,Santa Maria Maggior di Fiorenza,LOC,Q849356,1
4,268,287,Adorazione de' Magi,MISC,Q488841,1
4,360,374,Nostro Signore,MISC,Q190,1
5,266,275,Figliuolo,PER,Q472768,1
5,325,338,Spirito Santo,MISC,Q37302,1
5,36,56,cappella de' Tedaldi,LOC,OOV,1
5,63,89,chiesa de' frati de' Servi,MISC,Q2287001,1
5,179,196,Nostra Donnaritta,PER,Q345,1
5,139,156,Filippo lor frate,PER,Q141900,1
6,158,193,chiesa di Santo Spirito di Fiorenza,LOC,Q1519975,1
6,206,230,cappella di Gino Capponi,MISC,Q3657333,1
6,263,290,Visitazione di Nostra Donna,MISC,Q691810,1
6,296,307,San Nicolao,PER,Q44269,1
6,314,327,Santo Antonio,PER,Q170547,1
7,35,41,Venere,MISC,Q47652,1
7,56,61,Marte,MISC,Q112,1
7,150,155,Amori,MISC,Q5011,1
7,235,240,Marte,MISC,Q112,1
7,272,278,Cupido,MISC,Q5011,1
7,334,340,Venere,MISC,Q47652,1
7,359,364,Amore,MISC,Q5011,1
8,11,26,Giovan Vespucci,PER,Q17064119,1
8,51,61,S. Michele,LOC,OOV,1
8,68,81,via de’ Servi,LOC,Q3556508,1
8,91,104,Pier Salviati,PER,OOV,1
10,305,312,And rea,PER,Q183458,1
10,331,339,Lionardo,PER,Q762,1
11,160,178,Paradiso terrestre,LOC,Q19014,1
11,211,219,Lionardo,PER,Q762,1
11,144,147,Èva,PER,Q830183,1
14,26,47,frati di San Domenico,ORG,Q131479,1
14,196,202,Cristo,PER,Q302,1
14,292,298,Cristo,PER,Q302,1
16,165,188,Re Francesco di Francia,PER,Q129857,1
16,192,203,Fontanableo,LOC,Q201428,1
16,51,72,ritratto di Mona Lisa,MISC,Q12418,1
17,65,78,sala del papa,LOC,Q3657394,1
17,89,108,Santa Maria Novella,LOC,Q51175,1
17,132,149,Niccolò Piccinino,PER,Q979543,1
17,163,185,Duca Filippo di Milano,PER,Q289285,1
18,0,8,Lionardo,PER,Q762,1
18,42,49,Francia,LOC,Q142,1
18,146,170,cartone della Santa Anna,MISC,Q2471531,1
19,16,24,Lionardo,PER,Q762,1
19,25,49,Giovanantonio Boltraffio,PER,Q442528,1
19,157,181,Transito di Nostra Donna,MISC,OOV,1
19,187,207,Nozze di Canagalilee,MISC,Q32066758,1
20,153,160,ladroni,MISC,Q2258167,1
20,48,62,Santa Caterina martire,PER,Q179718,1
22,79,100,Bartolomeo da Bergamo,PER,Q809506,1
22,195,201,Senato,LOC,Q2570643,1
22,283,314,piazza di Santo Giovanni e Polo,LOC,Q3654630,1
22,361,367,Italia,LOC,Q38,1
22,413,421,Fiorenza,LOC,Q2044,1
22,438,445,Venezia,LOC,Q641,1
22,337,343,Andrea,PER,Q183458,1
23,144,152,Fiorenza,LOC,Q2044,1
23,186,192,Venere,MISC,Q47652,1
23,213,217,aure,MISC,Q201411,1
23,220,225,venti,MISC,Q476682,1
23,263,268,amori,MISC,Q5011,1
23,286,292,Venere,MISC,Q47652,1
23,300,306,Grazie,MISC,Q184353,1
23,335,344,Primavera,MISC,Q1312,1
23,102,110,Castello,LOC,Q2094778,1
23,122,133,Duca Cosimo,PER,Q48547,1
