id,start_pos,end_pos,surface,kb,kb_id
agnolo:608,1721,1937,"the tomb of M. Raffaello Maffei, called Il  Volterrano, at Volterra; and in that work, which was being made in marble, he carved some things which showed that his genius was destined some day to achieve a good result",,
agnolo:611,103,127,statues of Duke Giuliano,,
agnolo:611,132,144,Duke Lorenzo,,
agnolo:613,132,228,"a sea monster of marble in full-relief, which pours water in great abundance into that fish-pond",,
agnolo:614,119,137,tomb of Sannazzaro,,
agnolo_and_agostino:615,445,456,Fontebranda,,
agnolo_and_agostino:615,527,540,Customs-house,,
agnolo_and_agostino:615,1140,1159,façade of the Duomo,,
agnolo_and_agostino:618,185,207,Palace in Malborghetto,,
agnolo_and_agostino:619,207,256,altar and panel of silver in S. Jacopo at Pistoia,,
agnolo_and_agostino:619,344,550,"a figure in the round that he made in the middle, representing S. James, more than one braccio in height, and wrought with so great finish that it appears rather to have been made by casting than by chasing",,
baccio_bandinelli:631,73,274,"a S. Peter, four braccia and a half in height, which after a long time he brought to completion; and, although it has not the highest perfection of sculpture, nevertheless good design may be seen in it",,
baccio_bandinelli:632,41,423,"a great model in wax, which was a Hercules who, having fixed the head of Cacus between two stones with one knee, was constraining him with great force with the left arm, holding him crouching under his legs in a distorted attitude, wherein Cacus revealed his suffering and the strain of the weight of Hercules upon him, which was rending asunder every least muscle in his whole body",,
baccio_bandinelli:633,34,198,"a scene of the Deposition from the Cross with little figures in low-relief and half-relief, which was a rare work; and he had it cast with great diligence in bronze",,
brunelleschi:665,39,171,"a statue of lime-wood to be made for the Friars of S. Spirito, representing S. Mary Magdalene in Penitence, to be placed in a chapel",,
brunelleschi:669,22,63,the model for the fortress of Vico Pisano,,
brunelleschi:669,81,104,the old Citadel of Pisa,,
brunelleschi:669,124,136,Ponte a Mare,,
brunelleschi:669,167,222,"the new Citadel, closing the bridge with the two towers",,
