id,type,start_pos,end_pos,surface,beginDate,end_date,value
agnolo:608,,1035,1050,for three years,,,
agnolo:609,,37,53,in the year 1527,,,
agnolo:610,,474,517,the seventh day of October in the year 1530,,,
agnolo:611,,330,348,Pope Clement dying,,,
agnolo_and_agostino:615,,359,412,"in the year 1190, under the rule of the three Consuls",,,
agnolo_and_agostino:615,,474,495,in the following year,,,
agnolo_and_agostino:615,,1055,1071,in the year 1284,,,
agnolo_and_agostino:615,,1309,1322,fifteen years,,,
agnolo_and_agostino:618,,114,149,under the rule of the Nine in Siena,,,
agnolo_and_agostino:618,,219,235,in the year 1308,,,
baccio_bandinelli:627,,0,135,In the days when the arts of design flourished in Florence by the favour and assistance of the elder Lorenzo de' Medici the Magnificent,,,
baccio_bandinelli:627,,1418,1434,in the year 1494,,,
baccio_bandinelli:627,,1656,1672,In the year 1487,,,
brunelleschi:666,,20,36,in the year 1401,,,
brunelleschi:666,,200,226,the death of Andrea Pisano,,,
brunelleschi:665,,492,508,in the year 1471,,,
brunelleschi:664,,65,81,in the year 1398,,,
brunelleschi:663,,1390,1411,for hundreds of years,,,
bugiardini:634,,0,28,Before the siege of Florence,,,
bugiardini:634,,588,607,until the year 1529,,,
bugiardini:634,,594,607,the year 1529,,,
bugiardini:634,,1973,2033,the time when he was painting the chapel in S. Maria Novella,,,
bugiardini:637,,148,164,in the year 1556,,,
calavrese:642,,51,72,between 1508 and 1542,,,
calavrese:643,,279,307,in the time of Pope Paul III,,,
cosimo:647,,301,317,in the year 1512,,,
cosimo:648,,171,187,in the year 1521,,,
cosimo:649,,14,68,after the death of Francesco del Pugliese and his sons,,,
craftsmen:653,,524,530,twenty,,,
craftsmen:654,,25,49,the time of Pope Pius IV,,,
craftsmen:655,,155,192,from Pope Paul III to the present day,,,
dal_ponte:691,,1310,1326,in the year 1307,,,
dal_ponte:691,,1585,1598,the year 1344,,,
dal_ponte:691,,2538,2630,at the time when there was finished the closing of the middle arch of the Ponte a S. Trinita,,,
dal_ponte:691,,2838,2864,the flood of the year 1557,,,
dal_ponte:691,,3042,3058,in the year 1355,,,
del_sarto:659,,232,248,in the year 1527,,,
del_sarto:658,,194,205,the morning,,,
del_sarto:658,,209,222,S. John's day,,,
del_sarto:657,,1392,1408,in the year 1478,,,
del_sarto:657,,1537,1542,seven,,,
galasso_ferrarese:670,,734,757,after Piero's departure,,,
galasso_ferrarese:670,,1984,1989,fifty,,,
gallo_young:672,,1047,1108,"in the time of the Florentine architect, Antonio da San Gallo",,,
