id,surface,start_pos,end_pos,type
0,the Madonna,1045,1056,WORK
5,a nude,367,373,WORK
5,the David of Donato,597,616,WORK
5,the Nativity of Our Lady,1153,1177,WORK
10,Christ and Saints,1814,1831,WORK
13,the Holy Spirit,417,432,WORK
14,the Dead Christ,834,849,WORK
14,the Magdalene,870,883,WORK
14,the Nativity of Jesus Christ,1115,1143,WORK
14,Adoration of the Magi,1149,1170,WORK
14,the Flight into Egypt,1172,1193,WORK
14,the Massacre of the Innocents,1199,1228,WORK
14,the Nativity of Jesus Christ,1461,1489,WORK
14,the Descent of the Holy Spirit upon the Apostles,1612,1660,WORK
14,the Life of Our Lady,1923,1943,WORK
14,Christ on the Cross,2044,2063,WORK
15,a Dead Christ in an altar,1427,1452,WORK
15,the Madonna,1895,1906,WORK
16,the life,1503,1511,WORK
16,Assumption of Our Lady in a chapel,1688,1722,WORK
19,a Nativity of Christ,753,773,WORK
19,the Annunciation,831,847,WORK
19,the life,2510,2518,WORK
29,the life,231,239,WORK
29,the Trinity,664,675,WORK
29,God the Father supporting a Christ Crucified,688,732,WORK
29,the Assumption,795,809,WORK
30,Peter and Andrew,1321,1337,WORK
30,the Feast of Simon and the Magdalene,1372,1408,WORK
30,a Dead Christ,1545,1558,WORK
31,God the Father in Heaven,659,683,WORK
38,the Magi,1423,1431,WORK
39,Christ giving the Communion to the Apostles,454,497,WORK
39,a Dead Christ,610,623,WORK
39,the mother,748,758,WORK
39,the finding of the Cross,790,814,WORK
39,a gardener,1215,1225,WORK
39,the Baptism of Jesus Christ,1324,1351,WORK
39,one with that Saint consecrating the church,1459,1502,WORK
39,the Madonna,1835,1846,WORK
39,Lady with S. James the Apostle,2024,2054,WORK
39,the Madonna,2174,2185,WORK
41,Madonna with the Child,822,844,WORK
41,four figures,2326,2338,WORK
45,Christ and Our Lady in the air,888,918,WORK
45,God the Father,939,953,WORK
45,the Dead Christ with the Maries,1105,1137,WORK
45,Assumption of Our Lady,1160,1182,WORK
45,Lady and some Saints,1406,1426,WORK
45,the Beheading of S. John the Baptist,1627,1663,WORK
49,Lady going into Egypt,391,412,WORK
49,Ecce Homo,981,990,WORK
49,men and children,1173,1189,WORK
49,an Angel Raphael,1383,1399,WORK
49,a dog,1416,1421,WORK
51,the Madonna,2339,2350,WORK
53,the Transfiguration,1219,1238,WORK
53,the Marriage of Cana in Galilee,1240,1271,WORK
53,Moses and Pharaoh,1697,1714,WORK
53,the Angel,2024,2033,WORK
