id,start_pos,end_pos,surface,iconclass_ID
craftsmen:653,636,704,"S. Peter, S. Stephen, and S. John the Baptist, with certain children",
craftsmen:653,838,902,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures",
craftsmen:653,1119,1143,Nativity of Jesus Christ,
craftsmen:653,1149,1170,Adoration of the Magi,
craftsmen:653,1176,1193,Flight into Egypt,
craftsmen:653,1203,1228,Massacre of the Innocents,
craftsmen:653,1616,1660,Descent of the Holy Spirit upon the Apostles,
craftsmen:653,1927,1943,Life of Our Lady,
craftsmen:653,2044,2113,"Christ on the Cross with some Angels about Him, Our Lady, and S. John",
craftsmen:653,2233,2253,S. James the Apostle,
craftsmen:653,2258,2279,S. Alfonso the Bishop,
craftsmen:654,181,306,"Pepin, King of the Franks, is presenting Ravenna to the Roman Church, and is leading as prisoner Astulf, King of the Lombards",
