text_idx,x_start,x_end,x,y_start,y_end,y,relation
0,474,491,Madonna di Loreto,417,437,Antonio da San Gallo,creator
0,417,437,Antonio da San Gallo,474,491,Madonna di Loreto,notable work
1,586,605,Francesco del Tadda,57,67,Montorsoli,place of birth
1,7,23,Michele d'Agnolo,57,67,Montorsoli,place of birth
1,57,67,Montorsoli,474,481,Fiesole,located in the administrative territorial entity
1,474,481,Fiesole,57,67,Montorsoli,contains administrative territorial entity
2,99,107,Agostino,112,118,Agnolo,sibling
2,112,118,Agnolo,99,107,Agostino,sibling
2,445,456,Fontebranda,133,138,Siena,located in the administrative territorial entity
2,445,456,Fontebranda,301,306,Siena,located in the administrative territorial entity
3,753,775,Palace in Malborghetto,712,717,Siena,located in the administrative territorial entity
3,100,109,Vescovado,113,119,Arezzo,located in the administrative territorial entity
3,193,199,Agnolo,753,775,Palace in Malborghetto,notable work
3,753,775,Palace in Malborghetto,193,199,Agnolo,architect
4,101,135,Lorenzo de' Medici the Magnificent,801,809,Giuliano,child
4,801,809,Giuliano,101,135,Lorenzo de' Medici the Magnificent,father
4,708,727,Magnificent Lorenzo,801,809,Giuliano,sibling
4,801,809,Giuliano,708,727,Magnificent Lorenzo,sibling
4,708,727,Magnificent Lorenzo,101,135,Lorenzo de' Medici the Magnificent,father
5,601,616,David of Donato,565,573,Florence,located in the administrative territorial entity
5,144,167,Maestro Andrea Contucci,171,186,Monte Sansovino,place of birth
6,1125,1151,Filippo di Ser Brunellesco,436,444,nobility,instance of
6,1125,1151,Filippo di Ser Brunellesco,436,444,nobility,occupation
6,1125,1151,Filippo di Ser Brunellesco,111,114,art,field of work
7,619,636,Piazza degli Agli,29,37,Florence,located in the administrative territorial entity
7,209,215,Cambio,311,328,Ventura Bacherini,father
7,311,328,Ventura Bacherini,209,215,Cambio,child
7,145,174,Ser Brunellesco di Lippo Lapi,774,781,Filippo,child
7,774,781,Filippo,145,174,Ser Brunellesco di Lippo Lapi,father
8,518,537,Giuliano Bugiardini,884,907,Michelagnolo Buonarroti,student of
8,518,537,Giuliano Bugiardini,603,607,1529,date of birth
8,884,907,Michelagnolo Buonarroti,518,537,Giuliano Bugiardini,student
9,526,539,Baccio Valori,544,559,Olmo a Castello,place of death
9,526,539,Baccio Valori,544,559,Olmo a Castello,residence
9,526,539,Baccio Valori,544,559,Olmo a Castello,place of burial
10,769,784,Marco Calavrese,872,878,Naples,place of birth
10,769,784,Marco Calavrese,872,878,Naples,work location
10,769,784,Marco Calavrese,872,878,Naples,residence
11,749,762,Pope Paul III,129,135,Ascoli,work location
11,116,124,Calabria,424,432,province,instance of
11,129,135,Ascoli,116,124,Calabria,part of
12,322,337,Piero di Cosimo,273,288,Cosimo Rosselli,student of
12,322,337,Cosimo Rosselli,322,337,Piero di Cosimo,student
12,214,219,Piero,273,288,Cosimo Rosselli,student of
12,273,288,Cosimo Rosselli,214,219,Piero,student
12,273,288,Cosimo Rosselli,322,337,Piero di Cosimo,student
13,131,152,Chapel of the Tedaldi,108,122,Servite Friars,religious order
13,131,152,Chapel of the Tedaldi,94,122,Church of the Servite Friars,part of
13,94,122,Church of the Servite Friars,145,152,Tedaldi,located in the administrative territorial entity
14,83,102,Girolamo Siciolante,106,115,Sermoneta,place of birth
14,83,115,Girolamo Siciolante of Sermoneta,106,115,Sermoneta,place of birth
14,83,115,Girolamo Siciolante of Sermoneta,23,27,Rome,work location
15,625,638,Pope Paul III,72,76,Rome,work location
15,3,19,Jacopo del Conte,72,76,Rome,work location
15,3,19,Jacopo del Conte,23,33,Florentine,place of birth
16,804,837,Giovanni da Santo Stefano a Ponte,841,849,Florence,place of birth
16,804,837,Giovanni da Santo Stefano a Ponte,841,849,Florence,work location
16,804,837,Giovanni da Santo Stefano a Ponte,841,849,Florence,place of death
17,205,210,Paolo,63,71,Florence,place of death
17,26,45,Chapel of the Scali,63,71,Florence,located in the administrative territorial entity
17,197,210,Maestro Paolo,63,71,Florence,place of death
