id,start_pos,end_pos,surface,label,wb_id,score
1,50,58,Fiorenza,LOC,Q2044,1.2972183504246013
1,113,133,Piero del Pollaiuolo,PERSON,Q707046,1.557399848852783
2,77,85,Vespucci,PERSON,Q47674,0.27829178054664394
3,3,14,casa Medici,ORG,Q170022,0.6608844493593166
3,185,195,Sebastiano,PERSON,Q183332,0.20668566474993388
3,199,210,Santa Maria,PERSON,Q345,0.3921554788294962
3,222,230,Fiorenza,LOC,Q2044,0.8063263260808328
4,123,142,Santa Maria Novella,LOC,Q51175,1.1487680149146993
5,139,146,Filippo,PERSON,Q43675,0.041403895479761754
5,179,185,Nostra,PERSON,Q99676211,0.14134478383118165
5,216,221,terra,LOC,Q2,2.7943139768530996
5,235,238,con,PERSON,Q5997110,0.6172596945022565
6,158,181,chiesa di Santo Spirito,LOC,Q99999717,0.4955775943275865
6,185,193,Fiorenza,LOC,Q2044,2.1843856264931456
6,206,214,cappella,LOC,Q99658231,0.1520852299299721
6,218,230,Gino Capponi,PERSON,Q719985,1.2594028658898173
6,296,307,San Nicolao,PERSON,Q44269,0.6159807094144324
7,138,141,son,LOC,Q4174776,0.10973026083853288
10,77,97,Andrea del Verocchio,PERSON,Q183458,2.3027101269098713
10,157,163,Cristo,PERSON,Q302,1.1213187706900358
10,165,173,Lionardo,PERSON,Q762,2.5650439250194297
10,260,263,tal,LOC,Q2,0.9346081991844696
10,331,339,Lionardo,PERSON,Q762,0.5605995483369896
11,110,120,Portogallo,LOC,Q45,0.6779704004629131
11,160,178,Paradiso terrestre,LOC,Q19014,0.6948087208802968
11,211,219,Lionardo,PERSON,Q762,0.6765500208841945
12,9,17,Lionardo,PERSON,Q762,0.7064491572806014
12,65,82,Papa Clemente VII,PERSON,Q83159,1.130152400707078
13,3,16,Antonio Segni,PERSON,Q1240,0.9599272435800862
14,15,21,Milano,LOC,Q490,0.6527006462858552
14,35,47,San Domenico,PERSON,Q44091,0.25850173908929486
14,50,61,Santa Maria,PERSON,Q345,0.8952033145919999
14,78,86,Cenacolo,LOC,Q318972,0.06952603191422158
14,196,202,Cristo,PERSON,Q302,1.3121164040760749
14,292,298,Cristo,PERSON,Q302,0.4145410162009865
15,85,91,Cristo,PERSON,Q302,0.9437713921075569
15,329,337,Lionardo,PERSON,Q762,0.2565172392273948
16,6,14,Lionardo,PERSON,Q762,1.3840234887601115
16,25,47,Francesco del Giocondo,PERSON,Q153032,2.1433365253604606
16,63,72,Mona Lisa,PERSON,Q153032,2.2913544097696446
17,30,38,Lionardo,PERSON,Q762,0.6373060462943344
17,89,108,Santa Maria Novella,LOC,Q51175,0.7075745311488909
17,132,149,Niccolò Piccinino,PERSON,Q979543,1.0424437467949543
17,179,185,Milano,LOC,Q490,1.1629490486388314
18,0,8,Lionardo,PERSON,Q762,1.8347466097842626
18,42,49,Francia,LOC,Q142,1.3075345833675227
18,192,195,suo,ORG,Q920544,0.3493160937173011
19,16,24,Lionardo,PERSON,Q762,0.535293939425807
19,104,109,Marco,PERSON,Q31966,0.1935590453224253
19,126,148,Santa Maria della Pace,LOC,Q1514683,0.14068558869993264
20,48,62,Santa Caterina,PERSON,Q179718,0.31396608588043995
20,140,146,Cristo,PERSON,Q302,1.4312115528159866
20,175,180,Marie,PERSON,Q345,1.0768834324800594
20,209,222,Vergine Maria,PERSON,Q345,1.096720228975637
22,361,367,Italia,LOC,Q38,1.3577980643284429
22,413,421,Fiorenza,LOC,Q2044,1.168142286413842
22,438,445,Venezia,LOC,Q641,0.5353745758640175
22,503,508,terra,LOC,Q2,0.3798367587538346
23,144,152,Fiorenza,LOC,Q2044,1.1733103927751007
23,186,192,Venere,LOC,Q901931,0.10758444061514594
23,249,254,terra,LOC,Q2,1.6110774485501933
