id,start_pos,end_pos,surface,type
2,144,152,Portugal,GPE
3,101,112,Clement VII,PERSON
4,37,62,the Palace of Duke Cosimo,FAC
6,28,53,the Adoration of the Magi,WORK_OF_ART
6,139,152,Amerigo Benci,PERSON
6,163,185,the Loggia de' Peruzzi,ORG
8,47,62,the Last Supper,WORK_OF_ART
8,227,235,Beatrice,PERSON
8,310,315,Milan,GPE
9,86,92,France,GPE
10,55,64,a S. Anne,PERSON
11,75,85,Monna Lisa,PERSON
11,208,215,Francis,PERSON
11,219,225,France,GPE
12,26,45,Giuliano de' Medici,PERSON
12,71,74,Leo,PERSON
13,73,90,the Sala del Papa,FAC
13,198,203,Milan,GPE
14,86,89,Leo,PERSON
14,115,122,Madonna,PERSON
15,83,106,the Passing of Our Lady,WORK_OF_ART
15,111,142,the Marriage of Cana in Galilee,WORK_OF_ART
16,27,52,Giovan Antonio Boltraffio,PERSON
16,56,61,Milan,GPE
16,162,192,the Church of the Misericordia,ORG
16,238,273,Our Lady with the Child in her arms,WORK_OF_ART
17,157,162,Greek,NORP
19,60,65,Roman,NORP
19,82,101,Messer Jacopo Galli,PERSON
21,102,116,a S. Augustine,WORK_OF_ART
21,266,277,a S. Jerome,WORK_OF_ART
23,39,45,Medici,PERSON
23,60,67,Lorenzo,PERSON
23,195,209,a S. Sebastian,PERSON
24,3,20,S. Maria Maggiore,FAC
24,24,32,Florence,GPE
24,41,70,the Chapel of the Panciatichi,FAC
25,20,25,Pucci,PERSON
26,176,192,S. Maria Novella,PERSON
26,270,295,the Adoration of the Magi,WORK_OF_ART
27,8,34,the Chapel of Gino Capponi,FAC
27,39,63,the Church of S. Spirito,FAC
27,107,133,the Visitation of Our Lady,WORK_OF_ART
27,157,169,a S. Anthony,PERSON
28,90,122,the Church of the Servite Friars,ORG
28,127,152,the Chapel of the Tedaldi,FAC
32,92,99,Michele,PERSON
32,104,121,the Via de' Servi,FAC
