id,start_pos,end_pos,label,surface,alias,wb_id,score
1,163,167,PER,John,John_the_Apostle,Q44015,0.3229183086540278
2,144,152,LOC,Portugal,Portugal,Q45,0.5131588840295411
5,4,17,PER,Antonio Segni,Antonio_Segni,Q1240,0.38727825954758405
7,47,54,PER,Dominic,Dominic,Q18147196,0.735512035149964
7,62,80,PER,Maria delle Grazie,Our_Lady_of_Graces,Q1636804,0.38727825954758405
7,160,168,MISC,Apostles,Apostles,Q15699988,0.9145104125577269
8,146,154,PER,Lodovico,Louis_of_Toulouse,Q196157,0.8635309419629151
8,227,235,PER,Beatrice,Beatrice_Portinari,Q232913,0.8536867346000994
8,242,251,PER,Francesco,"Francesco_I_de'_Medici,_Grand_Duke_of_Tuscany",Q299675,0.7493870529000048
8,310,315,LOC,Milan,Milan,Q490,0.6328779462044816
9,30,38,PER,Leonardo,Leonardo,Q18220847,0.3880950456220643
9,86,92,LOC,France,France,Q142,0.5141854563270797
9,104,112,PER,Leonardo,Leonardo,Q18220847,0.38514894252624976
10,60,64,PER,Anne,Saint_Anne,Q164294,0.3495891636765118
10,328,336,PER,Leonardo,Leonardo_(Teenage_Mutant_Ninja_Turtles),Q323934,0.5282737555727878
10,406,413,PER,Madonna,Madonna_(art),Q926743,0.3312535056716398
10,526,542,MISC,Mother of Christ,Theotokos,Q208542,0.4514855780208867
10,639,645,MISC,Virgin,Virginity,Q170538,0.4644586363754575
10,819,823,PER,John,John_the_Apostle,Q44015,0.32277944787694757
10,899,903,PER,Anne,Saint_Anne,Q164294,0.38034458892125406
11,35,57,PER,Francesco del Giocondo,Lisa_del_Giocondo,Q153032,0.38727825954758405
11,75,85,PER,Monna Lisa,Mona_Lisa,Q12418,0.38727825954758405
11,208,215,PER,Francis,Francis_I_of_France,Q129857,0.2910278718000308
11,219,225,LOC,France,France,Q142,0.5179270629813754
12,66,74,PER,Pope Leo,Pope_Leo_I,Q43954,0.9551974237480517
13,198,203,LOC,Milan,Milan,Q490,0.43413817666532656
14,81,89,PER,Pope Leo,Pope_Leo_XIII,Q43922,0.9015246191539831
14,115,122,PER,Madonna,Madonna_(art),Q926743,0.37040957106533207
16,275,282,PER,S. John,Stern_John,Q445801,0.38727825954758405
17,157,162,MISC,Greek,Greece,Q41,0.36794578319990173
17,198,207,PER,Francesco,"Francesco_I_de'_Medici,_Grand_Duke_of_Tuscany",Q299675,0.8308868604079179
17,271,283,PER,Jesus Christ,Crucifixion_of_Jesus,Q51636,0.5431219283646194
17,299,306,PER,Francis,Francis_of_Assisi,Q676555,0.3640528351092439
18,103,114,LOC,Vallombrosa,Vallombrosa_Abbey,Q971123,0.8251708084275501
18,162,169,PER,S. John,Stern_John,Q445801,0.38727825954758405
18,250,261,PER,S. Bernardo,S._Bernardo_(film),Q3509813,0.38727825954758405
19,14,26,PER,Michelagnolo,Michelagnolo_Galilei,Q975540,0.38727825954758405
19,60,65,MISC,Roman,Roman_mythology,Q122173,0.3598221107791093
20,112,119,PER,Virtues,Virtue,Q157811,0.6067169267552639
20,141,148,PER,Antonio,Antonio,Q7141520,0.5518377866657201
21,107,116,PER,Augustine,Augustine_of_Hippo,Q8018,0.8628707780204439
21,120,126,LOC,fresco,Fresco,Q134194,0.3816412236681073
21,271,277,PER,Jerome,Jerome,Q44248,0.3790472379879034
22,121,129,LOC,Castello,Castle,Q23413,0.331574305549965
22,187,192,PER,Venus,Venus,Q313,0.6453774961367259
22,215,222,LOC,Zephyrs,Anemoi,Q476682,0.3389095854954866
23,39,45,PER,Medici,House_of_Medici,Q170022,0.9509569035283139
23,60,67,PER,Lorenzo,Lorenzo_de'_Medici,Q177854,0.4807420724927605
23,84,90,PER,Pallas,Athena,Q37122,0.5435322036152237
23,200,209,PER,Sebastian,Saint_Sebastian,Q183332,0.3490677789076964
24,3,20,PER,S. Maria Maggiore,Santa_Maria_Maggiore,Q186282,0.38727825954758405
25,20,25,PER,Pucci,Pucci,Q56244015,0.9000274478736751
26,13,19,PER,Sandro,Sandro_de_América,Q2175443,0.8067793678966049
26,290,294,MISC,Magi,Biblical_Magi,Q51671,0.31296530704439696
27,22,34,PER,Gino Capponi,Gino_Capponi,Q719985,0.38727825954758405
27,56,63,PER,Spirito,Spirito,Q3966827,0.66738187808401
27,143,151,PER,Nicholas,"National_Register_of_Historic_Places_listings_in_Nicholas_County,_West_Virginia",Q6977017,0.38832041363723435
27,162,169,PER,Anthony,Anthony_the_Great,Q170547,0.26638326640894594
28,40,45,PER,Piero,Piero_della_Francesca,Q5822,0.8749552035957643
28,203,210,PER,Filippo,Filippo_Lippi,Q205148,0.3627404758109457
29,105,113,PER,Margaret,"Princess_Margaret,_Countess_of_Snowdon",Q153815,0.429162486156542
