id,start_pos,end_pos,label,surface,alias,wb_id,score
1,103,124,PER,Andrea del Verrocchio,Andrea_del_Verrocchio,Q183458,0.3879295619181215
1,163,167,PER,John,John_the_Apostle,Q44015,0.3229183086540278
1,178,184,PER,Christ,Jesus,Q302,0.7688025179106827
1,191,199,PER,Leonardo,Leonardo_da_Vinci,Q762,0.433044331322986
1,279,287,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4369730056759028
1,368,374,PER,Andrea,Andrea_del_Verrocchio,Q183458,0.3892309212588124
1,402,408,PER,Andrea,Andrea_del_Verrocchio,Q183458,0.3892309212588124
2,84,92,LOC,Flanders,Flanders,Q234,0.7460701404301167
2,144,152,LOC,Portugal,Portugal,Q45,0.5131588840295411
2,157,161,PER,Adam,Adam,Q70899,0.7259137837627909
2,185,201,LOC,Earthly Paradise,Garden_of_Eden,Q19014,0.38727825954758405
2,211,219,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4295474513626178
3,0,8,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4293930769836168
3,32,40,MISC,Our Lady,"Mary,_mother_of_Jesus",Q345,0.9111642264993006
3,96,112,PER,Pope Clement VII,Pope_Clement_VII,Q83159,0.662240631564207
4,93,98,PER,angel,Angel,Q235113,0.5006486804115123
5,4,17,PER,Antonio Segni,Antonio_Segni,Q1240,0.38727825954758405
5,81,88,MISC,Neptune,Neptune_(mythology),Q3954,0.5728447435967785
6,32,53,MISC,Adoration of the Magi,Adoration_of_the_Magi,Q488841,0.8819705755583241
7,19,24,LOC,Milan,Milan,Q490,0.4083398189644392
7,47,54,PER,Dominic,Dominic,Q18147196,0.735512035149964
7,62,80,PER,Maria delle Grazie,Our_Lady_of_Graces,Q1636804,0.38727825954758405
7,160,168,MISC,Apostles,Apostles,Q15699988,0.9145104125577269
7,227,233,PER,Christ,Jesus,Q302,0.5260879772304377
7,339,345,PER,Christ,Jesus,Q302,0.539094641532338
8,51,62,MISC,Last Supper,Last_Supper,Q51633,0.950940230239077
8,118,126,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8380812619914625
8,146,154,PER,Lodovico,Louis_of_Toulouse,Q196157,0.8635309419629151
8,161,173,PER,Massimiliano,Maximilian_Sforza,Q378739,0.7393519588309687
8,227,235,PER,Beatrice,Beatrice_Portinari,Q232913,0.8536867346000994
8,242,251,PER,Francesco,"Francesco_I_de'_Medici,_Grand_Duke_of_Tuscany",Q299675,0.7493870529000048
8,310,315,LOC,Milan,Milan,Q490,0.6328779462044816
9,30,38,PER,Leonardo,Leonardo,Q18220847,0.3880950456220643
9,54,59,LOC,Milan,Milan,Q490,0.4146400419301543
9,86,92,LOC,France,France,Q142,0.5141854563270797
9,104,112,PER,Leonardo,Leonardo,Q18220847,0.38514894252624976
10,43,50,PER,Madonna,"Mary,_mother_of_Jesus",Q345,0.3079146677939689
10,60,64,PER,Anne,Saint_Anne,Q164294,0.3495891636765118
10,73,79,PER,Christ,Jesus,Q302,0.8186092632824212
10,328,336,PER,Leonardo,Leonardo_(Teenage_Mutant_Ninja_Turtles),Q323934,0.5282737555727878
10,406,413,PER,Madonna,Madonna_(art),Q926743,0.3312535056716398
10,526,542,MISC,Mother of Christ,Theotokos,Q208542,0.4514855780208867
10,639,645,MISC,Virgin,Virginity,Q170538,0.4644586363754575
10,819,823,PER,John,John_the_Apostle,Q44015,0.32277944787694757
10,899,903,PER,Anne,Saint_Anne,Q164294,0.38034458892125406
10,927,930,PER,joy,Happiness,Q8,0.848957704585757
10,1027,1035,PER,Leonardo,Leonardo_da_Vinci,Q762,0.6816536419677609
11,0,8,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8551437626324454
11,35,57,PER,Francesco del Giocondo,Lisa_del_Giocondo,Q153032,0.38727825954758405
11,75,85,PER,Monna Lisa,Mona_Lisa,Q12418,0.38727825954758405
11,208,215,PER,Francis,Francis_I_of_France,Q129857,0.2910278718000308
11,219,225,LOC,France,France,Q142,0.5179270629813754
11,230,243,LOC,Fontainebleau,Fontainebleau,Q182872,0.8210958194510265
12,11,15,LOC,Rome,Rome,Q220,0.8334790233922748
12,66,74,PER,Pope Leo,Pope_Leo_I,Q43954,0.9551974237480517
13,152,169,PER,Niccolo Piccinino,Niccolò_Piccinino,Q979543,0.38727825954758405
13,198,203,LOC,Milan,Milan,Q490,0.43413817666532656
14,71,77,PER,Datary,Apostolic_Dataria,Q620020,0.38727825954758405
14,81,89,PER,Pope Leo,Pope_Leo_XIII,Q43922,0.9015246191539831
14,115,122,PER,Madonna,Madonna_(art),Q926743,0.37040957106533207
15,135,142,LOC,Galilee,Galilee,Q83241,0.9080895047700543
16,14,22,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8553261948029115
16,56,61,LOC,Milan,Milan,Q490,0.44201036467785265
16,202,209,LOC,Bologna,Bologna,Q1891,0.7664558130789181
16,275,282,PER,S. John,Stern_John,Q445801,0.38727825954758405
16,482,490,PER,Leonardo,Leonardo_da_Vinci,Q762,0.9106736412084613
17,44,51,PER,Cimabue,Cimabue,Q15790,0.38727825954758405
17,100,106,LOC,Assisi,Assisi,Q20103,0.8959886041319487
17,118,124,LOC,Umbria,Umbria,Q1280,0.548274965473534
17,157,162,MISC,Greek,Greece,Q41,0.36794578319990173
17,198,207,PER,Francesco,"Francesco_I_de'_Medici,_Grand_Duke_of_Tuscany",Q299675,0.8308868604079179
17,271,283,PER,Jesus Christ,Crucifixion_of_Jesus,Q51636,0.5431219283646194
17,299,306,PER,Francis,Francis_of_Assisi,Q676555,0.3640528351092439
18,103,114,LOC,Vallombrosa,Vallombrosa_Abbey,Q971123,0.8251708084275501
18,162,169,PER,S. John,Stern_John,Q445801,0.38727825954758405
18,250,261,PER,S. Bernardo,S._Bernardo_(film),Q3509813,0.38727825954758405
19,14,26,PER,Michelagnolo,Michelagnolo_Galilei,Q975540,0.38727825954758405
19,60,65,MISC,Roman,Roman_mythology,Q122173,0.3598221107791093
20,112,119,PER,Virtues,Virtue,Q157811,0.6067169267552639
20,141,148,PER,Antonio,Antonio,Q7141520,0.5518377866657201
20,153,173,PER,Piero del Pollaiuolo,Piero_del_Pollaiolo,Q707046,0.38727825954758405
21,23,33,LOC,Ognissanti,"Ognissanti,_Florence",Q2778991,0.38772075960087465
21,107,116,PER,Augustine,Augustine_of_Hippo,Q8018,0.8628707780204439
21,120,126,LOC,fresco,Fresco,Q134194,0.3816412236681073
21,231,251,PER,Domenico Ghirlandajo,Domenico_Ghirlandaio,Q191423,0.38727825954758405
