doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,474,481,474,481,Madonna,MISC,"['person', 'object', 'art', 'female', 'idol', 'statue', 'deity']"
0,482,491,482,491,di Loreto,LOC,"['person', 'object', 'art', 'female', 'idol', 'representation', 'statue']"
0,2336,2341,30,35,Frate,PER,"['person', 'object', 'action figure', 'character', 'figure', 'idol', 'public figure', 'sculptor', 'statue', 'father figure', 'stick figure', 'deity']"
1,1761,1775,210,224,Il Volterrano,LOC,"['object', 'place', 'structure', 'creation', 'landmark', 'memorial', 'monument', 'place name', 'name', 'artifact']"
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
5,171,186,171,186,Monte Sansovino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'city state', 'creation', 'creator', 'maker', 'place name', 'state']"
10,769,784,29,44,Marco Calavrese,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'maker', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist', 'entertainer']"
14,166,180,166,180,Life of Perino,PER,"['person', 'art', 'writing', 'art historian', 'biography', 'book', 'history', 'publication', 'record', 'script', 'writer', 'art history', 'culture medium', 'life history', 'life story']"
14,244,260,244,260,Castel S. Angelo,LOC,"['place', 'art', 'building', 'structure', 'art form', 'art historian', 'artwork', 'creation', 'creator']"
14,420,428,39,47,Girolamo,PER,"['person', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
14,552,571,171,190,Badia of S. Stefano,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'home', 'house', 'museum', 'place name', 'space', 'temple', 'villa', 'museum piece', 'space group']"
16,1847,1880,107,140,Chapel of S. Onofrio in the Pieve,LOC,"['location', 'object', 'place', 'art', 'building', 'facility', 'structure', 'artwork', 'cathedral', 'chapel', 'church', 'home', 'museum', 'religious order', 'space', 'temple', 'villa', 'established church']"
17,0,8,0,8,Giovanni,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
18,166,182,166,182,Andrea del Sarto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
18,338,344,338,344,Andrea,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
20,554,584,65,95,Piero dal Borgo a San Sepolcro,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
20,740,745,251,256,Piero,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
24,680,721,64,105,Lives of the Painters and other Craftsmen,MISC,"['object', 'art', 'writing', 'art collection', 'art form', 'art historian', 'article', 'art journal', 'biography', 'book', 'diary', 'history', 'piece', 'publication', 'record', 'script', 'story', 'art history', 'culture medium', 'life history', 'life story', 'public record']"
24,800,815,184,199,Fra Giocondo of,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'professional', 'visual artist', 'craftsman']"
26,263,269,263,269,Giotto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
28,1611,1627,380,396,S. Maria Novella,LOC,"['location', 'place', 'art', 'building', 'city', 'structure', 'area', 'artwork', 'church', 'home', 'space']"
28,2677,2682,212,217,Canti,MISC,"['event', 'play', 'art form', 'dance', 'dancing', 'double act', 'musical', 'operation', 'performance', 'performance art', 'performing art', 'show', 'trick', 'unit operation']"
29,373,379,373,379,Joseph,PER,"['person', 'character', 'figure', 'male', 'man', 'story', 'life story']"
29,913,922,14,23,S. Thomas,PER,"['person', 'object', 'adult', 'body', 'character', 'female', 'figure', 'idol', 'public figure', 'spiritual leader', 'statue', 'woman', 'stick figure', 'deity']"
29,1216,1223,46,53,S. Paul,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'father figure', 'stick figure']"
29,1225,1236,55,66,S. Laurence,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
29,1252,1259,82,89,S. John,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
31,491,504,49,62,Montepulciano,LOC,"['place', 'art', 'area', 'art form', 'artwork', 'culture medium']"
34,353,359,353,359,Nature,PER,"['person', 'object', 'place', 'art', 'creation', 'nature']"
39,68,78,68,78,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
39,210,220,5,15,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'visual artist']"
39,1610,1623,3,16,S. Apollinare,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art historian', 'art school', 'artwork', 'church', 'city state', 'gallery', 'home', 'municipality', 'museum', 'place name', 'record', 'space', 'art history', 'art house', 'display case', 'museum piece', 'space environment', 'space group']"
41,78,83,78,83,Parri,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
41,1917,1928,163,174,S. Agostino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'artwork', 'city state', 'creator', 'home', 'painter', 'place name', 'space', 'space group']"
41,1938,1963,184,209,Company of the Puraccioli,LOC,"['person', 'group', 'organization', 'art', 'artist', 'company', 'institution', 'theater', 'art collection', 'art form', 'art school', 'church', 'opera', 'opera house', 'space group', 'social group']"
41,2267,2287,223,243,Chapel of S. Niccolò,LOC,"['location', 'object', 'place', 'art', 'building', 'structure', 'artwork', 'chapel', 'church', 'home', 'place name', 'space', 'established church', 'space group']"
42,758,781,80,103,Michelagnolo Buonarroti,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'female', 'leader', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'public figure', 'visual artist', 'writer', 'entertainer']"
47,548,554,145,151,Bronzo,LOC,"['object', 'brick', 'clay', 'mineral', 'rock', 'sculpture', 'stone', 'rolling stone', 'standing stone', 'artifact']"
47,1300,1335,284,319,Chapels of the Temple of the Angeli,LOC,"['object', 'place', 'art', 'building', 'structure', 'artwork', 'chapel']"
48,3046,3054,550,558,Venetian,MISC,"['person', 'artist', 'art form', 'art historian', 'art student', 'creator', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
49,1699,1719,448,468,Fondaco de'Tedeschi,LOC,"['person', 'art', 'artist', 'art form', 'art historian', 'artwork', 'creation', 'creator', 'painter', 'painting', 'visual artist']"
50,0,21,0,21,Andrea del Verrocchio,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'producer', 'professional', 'sculptor', 'visual artist']"
50,1014,1032,119,137,S. Maria del Fiore,LOC,"['location', 'place', 'art', 'building', 'city', 'art collection', 'art gallery', 'art historian', 'art school', 'home', 'museum', 'space', 'art house', 'museum piece', 'artifact']"
51,1745,1753,433,441,Crucifix,LOC,"['person', 'object', 'art', 'artwork', 'representation', 'holy cross', 'artifact']"
53,749,759,94,104,Santi Titi,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,942,944,287,289,Sc,LOC,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,953,971,298,316,Giovanni dal Carso,PER,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1370,1388,55,73,Orazio Sammacchini,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'master', 'paint', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1392,1401,77,86,Bolognese,MISC,"['person', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,2944,2953,241,250,Caprarola,PER,"['person', 'art', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'master', 'painter', 'painting', 'professional', 'visual artist']"
