doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,474,481,474,481,Madonna,MISC,"['person', 'object', 'art', 'female', 'idol', 'statue', 'deity']"
0,482,491,482,491,di Loreto,LOC,"['person', 'object', 'art', 'female', 'idol', 'representation', 'statue']"
0,1049,1056,164,171,Madonna,PER,"['person', 'object', 'art', 'creation', 'female', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
0,2336,2341,30,35,Frate,PER,"['person', 'object', 'action figure', 'character', 'figure', 'idol', 'public figure', 'sculptor', 'statue', 'father figure', 'stick figure', 'deity']"
1,1761,1775,210,224,Il Volterrano,LOC,"['object', 'place', 'structure', 'creation', 'landmark', 'memorial', 'monument', 'place name', 'name', 'artifact']"
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
5,171,186,171,186,Monte Sansovino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'city state', 'creation', 'creator', 'maker', 'place name', 'state']"
5,374,379,85,90,David,PER,"['person', 'action figure', 'character', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
5,810,815,88,93,David,PER,"['person', 'actor', 'art', 'artist', 'music', 'musician', 'adult', 'art form', 'art music', 'art student', 'classical music', 'composer', 'conductor', 'creator', 'dancer', 'master', 'musical', 'musical instrument', 'opera', 'opera singer', 'orchestra', 'painter', 'performance', 'performer', 'performing art', 'pianist', 'piano', 'piano player', 'professional', 'singer', 'visual artist', 'player piano', 'entertainer']"
10,769,784,29,44,Marco Calavrese,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'maker', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist', 'entertainer']"
14,166,180,166,180,Life of Perino,PER,"['person', 'art', 'writing', 'art historian', 'biography', 'book', 'history', 'publication', 'record', 'script', 'writer', 'art history', 'culture medium', 'life history', 'life story']"
14,244,260,244,260,Castel S. Angelo,LOC,"['place', 'art', 'building', 'structure', 'art form', 'art historian', 'artwork', 'creation', 'creator']"
14,420,428,39,47,Girolamo,PER,"['person', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
14,552,571,171,190,Badia of S. Stefano,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'home', 'house', 'museum', 'place name', 'space', 'temple', 'villa', 'museum piece', 'space group']"
14,636,644,255,263,S. Peter,PER,"['person', 'object', 'religious leader', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'servant', 'spiritual leader', 'statue', 'holy cross', 'organism', 'deity']"
14,662,681,281,300,S. John the Baptist,PER,"['person', 'object', 'art', 'religious leader', 'artwork', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'spiritual leader', 'statue', 'organism', 'deity']"
14,838,849,132,143,Dead Christ,PER,"['person', 'object', 'religious leader', 'body', 'character', 'female', 'figure', 'idol', 'public figure', 'representation', 'spiritual leader', 'holy cross', 'stick figure', 'deity']"
14,851,859,145,153,Our Lady,PER,"['person', 'object', 'religious leader', 'character', 'female', 'figure', 'idol', 'public figure', 'representation', 'saint', 'spiritual leader', 'woman', 'deity']"
14,861,868,155,162,S. John,PER,"['person', 'object', 'religious leader', 'action figure', 'character', 'figure', 'idol', 'painter', 'public figure', 'representation', 'saint', 'servant', 'spiritual leader', 'statue', 'holy cross', 'stick figure', 'organism', 'deity']"
14,1176,1193,243,260,Flight into Egypt,MISC,"['object', 'event', 'art', 'artwork', 'flight', 'narrative', 'painting', 'story', 'action painting']"
14,1927,1943,234,250,Life of Our Lady,MISC,"['person', 'art', 'picture', 'story', 'life history', 'life story']"
14,2058,2063,113,118,Cross,MISC,"['object', 'figure', 'symbol', 'holy cross']"
14,2233,2253,288,308,S. James the Apostle,PER,"['person', 'action figure', 'character', 'figure', 'idol', 'painter', 'painting', 'public figure', 'statue', 'stick figure']"
14,2258,2279,313,334,S. Alfonso the Bishop,PER,"['person', 'art', 'religious leader', 'action figure', 'bishop', 'character', 'figure', 'painter', 'painting', 'public figure', 'stick figure']"
16,1847,1880,107,140,Chapel of S. Onofrio in the Pieve,LOC,"['location', 'object', 'place', 'art', 'building', 'facility', 'structure', 'artwork', 'cathedral', 'chapel', 'church', 'home', 'museum', 'religious order', 'space', 'temple', 'villa', 'established church']"
16,1895,1905,155,165,S. Antonio,LOC,"['person', 'art', 'artist', 'religious leader', 'art historian', 'artwork', 'church', 'creator', 'master', 'painter', 'painting', 'spiritual leader', 'organism']"
17,0,8,0,8,Giovanni,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
18,166,182,166,182,Andrea del Sarto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
18,338,344,338,344,Andrea,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
19,2522,2532,118,128,S. Filippo,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'male', 'master', 'painter', 'painting', 'priest', 'professional', 'saint', 'visual artist']"
20,554,584,65,95,Piero dal Borgo a San Sepolcro,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
20,740,745,251,256,Piero,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
24,680,721,64,105,Lives of the Painters and other Craftsmen,MISC,"['object', 'art', 'writing', 'art collection', 'art form', 'art historian', 'article', 'art journal', 'biography', 'book', 'diary', 'history', 'piece', 'publication', 'record', 'script', 'story', 'art history', 'culture medium', 'life history', 'life story', 'public record']"
24,800,815,184,199,Fra Giocondo of,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'professional', 'visual artist', 'craftsman']"
26,263,269,263,269,Giotto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
28,1611,1627,380,396,S. Maria Novella,LOC,"['location', 'place', 'art', 'building', 'city', 'structure', 'area', 'artwork', 'church', 'home', 'space']"
28,2677,2682,212,217,Canti,MISC,"['event', 'play', 'art form', 'dance', 'dancing', 'double act', 'musical', 'operation', 'performance', 'performance art', 'performing art', 'show', 'trick', 'unit operation']"
29,373,379,373,379,Joseph,PER,"['person', 'character', 'figure', 'male', 'man', 'story', 'life story']"
29,716,732,125,141,Christ Crucified,PER,"['person', 'object', 'religious leader', 'adult', 'body', 'character', 'figure', 'idol', 'leader', 'male', 'public figure', 'representation', 'spiritual leader', 'father figure', 'holy cross', 'stick figure', 'deity']"
29,913,922,14,23,S. Thomas,PER,"['person', 'object', 'adult', 'body', 'character', 'female', 'figure', 'idol', 'public figure', 'spiritual leader', 'statue', 'woman', 'stick figure', 'deity']"
29,1216,1223,46,53,S. Paul,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'father figure', 'stick figure']"
29,1225,1236,55,66,S. Laurence,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
29,1252,1259,82,89,S. John,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
31,491,504,49,62,Montepulciano,LOC,"['place', 'art', 'area', 'art form', 'artwork', 'culture medium']"
34,353,359,353,359,Nature,PER,"['person', 'object', 'place', 'art', 'creation', 'nature']"
37,257,262,257,262,S. Lo,PER,"['person', 'object', 'adult', 'artwork', 'creator', 'master', 'sculptor', 'artifact']"
39,68,78,68,78,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
39,210,220,5,15,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'visual artist']"
39,612,623,47,58,Dead Christ,PER,"['person', 'object', 'religious leader', 'body', 'character', 'death', 'figure', 'idol', 'public figure', 'spiritual leader', 'statue', 'dead man', 'stick figure', 'deity']"
39,809,814,244,249,Cross,PER,"['object', 'church', 'rock', 'symbol', 'holy cross', 'iron cross', 'artifact']"
39,851,863,35,47,S. Sebastian,PER,"['person', 'artist', 'religious leader', 'action figure', 'adult', 'celebrity', 'character', 'character actor', 'creator', 'figure', 'idol', 'leader', 'male', 'man', 'master', 'painter', 'public figure', 'saint', 'spiritual leader', 'statue', 'father figure', 'sovereign', 'stick figure', 'organism', 'deity']"
39,1566,1580,185,199,S. Cantianilla,PER,"['person', 'religious leader', 'action figure', 'bishop', 'body', 'celebrity', 'character', 'figure', 'idol', 'landmark', 'leader', 'male', 'public figure', 'religious', 'saint', 'spiritual leader', 'statue', 'father figure', 'stick figure', 'organism', 'deity']"
39,1610,1623,3,16,S. Apollinare,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art historian', 'art school', 'artwork', 'church', 'city state', 'gallery', 'home', 'municipality', 'museum', 'place name', 'record', 'space', 'art history', 'art house', 'display case', 'museum piece', 'space environment', 'space group']"
39,1706,1725,99,118,S. John the Baptist,PER,"['person', 'object', 'religious leader', 'action figure', 'adult', 'body', 'celebrity', 'character', 'character actor', 'figure', 'idol', 'lead character', 'leader', 'male', 'man', 'public figure', 'saint', 'spiritual leader', 'statue', 'father figure', 'stick figure', 'organism', 'deity']"
39,1731,1743,124,136,S. Sebastian,PER,"['person', 'object', 'religious leader', 'action figure', 'bishop', 'body', 'celebrity', 'character', 'character actor', 'figure', 'idol', 'lead character', 'leader', 'male', 'man', 'pope', 'public figure', 'religious order', 'saint', 'servant', 'spiritual leader', 'statue', 'father figure', 'holy cross', 'stick figure', 'organism', 'deity']"
39,1839,1846,94,101,Madonna,PER,"['person', 'object', 'art', 'artwork', 'body', 'female', 'idol', 'representation']"
39,2415,2426,101,112,S. Laurence,PER,"['person', 'object', 'artist', 'religious leader', 'cartoon character', 'character', 'character actor', 'creator', 'figure', 'idol', 'painter', 'painting', 'priest', 'public figure', 'saint', 'spiritual leader']"
41,78,83,78,83,Parri,PER,"['person', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'painter', 'painting', 'professional', 'visual artist']"
41,94,101,94,101,Madonna,PER,"['person', 'object', 'art', 'character', 'female', 'figure', 'idol', 'painter', 'public figure', 'woman', 'deity']"
41,822,829,148,155,Madonna,PER,"['person', 'object', 'art', 'artwork', 'female', 'idol', 'woman']"
41,1917,1928,163,174,S. Agostino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'artwork', 'city state', 'creator', 'home', 'painter', 'place name', 'space', 'space group']"
41,1938,1963,184,209,Company of the Puraccioli,LOC,"['person', 'group', 'organization', 'art', 'artist', 'company', 'institution', 'theater', 'art collection', 'art form', 'art school', 'church', 'opera', 'opera house', 'space group', 'social group']"
41,2267,2287,223,243,Chapel of S. Niccolò,LOC,"['location', 'object', 'place', 'art', 'building', 'structure', 'artwork', 'chapel', 'church', 'home', 'place name', 'space', 'established church', 'space group']"
42,758,781,80,103,Michelagnolo Buonarroti,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'female', 'leader', 'maker', 'male', 'man', 'master', 'painter', 'performer', 'professional', 'public figure', 'visual artist', 'writer', 'entertainer']"
45,888,894,127,133,Christ,PER,"['person', 'object', 'religious leader', 'character', 'figure', 'idol', 'public figure', 'representation', 'saint', 'spiritual leader', 'holy cross', 'stick figure', 'deity']"
45,1109,1120,101,112,Dead Christ,MISC,"['person', 'object', 'religious leader', 'body', 'character', 'death', 'figure', 'idol', 'landmark', 'pope', 'public figure', 'representation', 'spiritual leader', 'statue', 'dead', 'dead man', 'father figure', 'holy cross', 'deity']"
45,1131,1137,123,129,Maries,MISC,"['person', 'organization', 'object', 'religious leader', 'bishop', 'character', 'idol', 'landmark', 'religious', 'representation', 'saint', 'spiritual leader', 'holy cross', 'holy family', 'name', 'deity', 'artifact']"
45,1728,1740,300,312,Annunciation,MISC,"['object', 'art', 'artwork', 'landmark', 'representation', 'holy cross', 'artifact']"
45,1843,1851,101,109,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'female', 'idol', 'painter', 'painting']"
45,1968,1976,226,234,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'painter', 'painting']"
45,1996,2004,254,262,S. James,PER,"['person', 'object', 'artist', 'artwork', 'character', 'creator', 'figure', 'idol', 'painter', 'painting', 'public figure']"
47,548,554,145,151,Bronzo,LOC,"['object', 'brick', 'clay', 'mineral', 'rock', 'sculpture', 'stone', 'rolling stone', 'standing stone', 'artifact']"
47,1300,1335,284,319,Chapels of the Temple of the Angeli,LOC,"['object', 'place', 'art', 'building', 'structure', 'artwork', 'chapel']"
48,3046,3054,550,558,Venetian,MISC,"['person', 'artist', 'art form', 'art historian', 'art student', 'creator', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
49,1405,1411,154,160,Tobias,PER,"['person', 'object', 'cartoon character', 'character', 'character actor', 'figure', 'idol', 'painter', 'representation', 'saint', 'deity']"
49,1699,1719,448,468,Fondaco de'Tedeschi,LOC,"['person', 'art', 'artist', 'art form', 'art historian', 'artwork', 'creation', 'creator', 'painter', 'painting', 'visual artist']"
50,0,21,0,21,Andrea del Verrocchio,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'producer', 'professional', 'sculptor', 'visual artist']"
50,1014,1032,119,137,S. Maria del Fiore,LOC,"['location', 'place', 'art', 'building', 'city', 'art collection', 'art gallery', 'art historian', 'art school', 'home', 'museum', 'space', 'art house', 'museum piece', 'artifact']"
51,1745,1753,433,441,Crucifix,LOC,"['person', 'object', 'art', 'artwork', 'representation', 'holy cross', 'artifact']"
53,749,759,94,104,Santi Titi,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,942,944,287,289,Sc,LOC,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,953,971,298,316,Giovanni dal Carso,PER,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
53,1370,1388,55,73,Orazio Sammacchini,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'master', 'paint', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1392,1401,77,86,Bolognese,MISC,"['person', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,2028,2033,46,51,Angel,PER,"['person', 'object', 'god', 'angel', 'character', 'figure', 'idol', 'public figure', 'statue', 'hate figure', 'deity']"
53,2846,2852,143,149,Equity,MISC,"['person', 'object', 'character', 'concept', 'figure', 'idea', 'point', 'representation', 'concept art', 'fairness', 'moral', 'stick figure']"
53,2944,2953,241,250,Caprarola,PER,"['person', 'art', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'master', 'painter', 'painting', 'professional', 'visual artist']"
