id,start_pos,end_pos,surface,type,value,is_nested,IC suggestions
0,593,605,Duke Lorenzo,SUBJ,61B2(Q177854),,
0,610,623,Duke Giuliano,SUBJ,61B2(Q298877),,
0,980,989,S. Cosimo,SUBJ,11H(COSMAS),,
0,996,1006,S. Damiano,SUBJ,11H(DAMIAN),,
0,1049,1056,Madonna,SUBJ,11F,,
0,1084,1094,S. Damiano,SUBJ,11H(DAMIAN),,
0,1154,1163,S. Cosimo,SUBJ,11H(COSMA),,
0,2038,2051,Duke Giuliano,SUBJ,61B2(Q298877),,
0,2056,2068,Duke Lorenzo,SUBJ,61B2(Q177854),,
1,1253,1261,rosettes,SUBJ,48A98341,,
3,1859,1867,prophets,SUBJ,11I1,,
5,810,815,David,SUBJ,11I62(DAVID),,
7,1901,1909,prophets,SUBJ,11I1,,
9,430,445,Cencio Guasconi,SUBJ,61B2(Cencio Guasconi),,
10,1756,1768,S. Augustine,SUBJ,11H(AUGUSTINE),,
10,1803,1831,stories of Christ and Saints,SUBJ,11D334,,
10,1814,1820,Christ,SUBJ,11D,1,
10,1825,1831,Saints,SUBJ,11H,1,
13,258,266,Our Lady,SUBJ,11F,,
13,333,337,head,SUBJ,31B6211,1,
13,346,352,Heaven,SUBJ,11S,1,
13,373,377,hand,SUBJ,31AA2245,1,
13,421,432,Holy Spirit,SUBJ,11E,1,
13,512,516,Dove,SUBJ,11E1;,,
13,545,552,figures,SUBJ,31A,,
13,583,594,S. Margaret,SUBJ,11HH(MARGARET),,
13,601,613,S. Catherine,SUBJ,11HH(CATHERINE),,
13,658,666,S. Peter,SUBJ,11H(PETER),,
13,671,693,S. John the Evangelist,SUBJ,11H(JOHN),,
13,741,751,S. Filippo,SUBJ,11H(PHILIP BENIZZI),,
13,776,811,"S. Antonino, Archbishop of Florence",SUBJ,11H(ANTONINUS),,
13,839,848,landscape,SUBJ,25H,,
13,893,898,trees,SUBJ,25G3,,
13,911,919,grottoes,SUBJ,25H119,,
13,1273,1284,S. Margaret,SUBJ,11HH(MARGARET),,
13,1315,1321,Dragon,SUBJ,25FF422,1,
13,1698,1712,marine monster,SUBJ,92I7,,
13,1958,1965,monster,SUBJ,92I7,,
13,2071,2078,animals,SUBJ,25FF,,
14,636,644,S. Peter,SUBJ,11H(PETER),,
14,646,656,S. Stephen,SUBJ,11H(STEPHEN),,
14,662,681,S. John the Baptist,SUBJ,11H(JOHN THE BAPTIST),,
14,696,704,children,SUBJ,31D112,,
14,851,859,Our Lady,SUBJ,11F,,
14,895,902,figures,SUBJ,31A,,
14,1176,1193,Flight into Egypt,SUBJ,73B641,,
14,1927,1943,Life of Our Lady,SUBJ,73A3,,
14,1935,1943,Our Lady,SUBJ,11F,1,
14,2074,2080,Angels,SUBJ,11G,1,
14,2092,2100,Our Lady,SUBJ,11F,1,
14,2225,2231,figure,SUBJ,31A,,
14,2233,2253,S. James the Apostle,SUBJ,11H(JAMES),,
14,2258,2279,S. Alfonso the Bishop,SUBJ,11H(ILDEFONSO),,
15,590,598,Pontiffs,SUBJ,11P3111,,
15,671,676,lords,SUBJ,44B1,,
15,681,692,ambassadors,SUBJ,44B41,,
15,753,770,military captains,SUBJ,45B421,,
15,876,883,Bishops,SUBJ,11P3113,,
15,885,894,Cardinals,SUBJ,11P3112,,
15,912,920,prelates,SUBJ,11P3114,,
15,925,930,lords,SUBJ,44B1,,
15,1429,1440,Dead Christ,SUBJ,73D761,,
15,1607,1612,Saint,SUBJ,11H(DENIS),,
15,1816,1822,Christ,SUBJ,11D,,
15,1859,1866,Thieves,SUBJ,73D662,,
15,2168,2171,men,SUBJ,31D14,,
15,2176,2181,women,SUBJ,31D15,,
15,2316,2337,heads of noble ladies,SUBJ,31AA221,,
16,1507,1525,life of that Saint,SUBJ,11H(LAWRENCE),,
16,1895,1905,S. Antonio,SUBJ,11H(ANTONY ABBOT),,
16,2311,2331,head of Appius Cæcus,SUBJ,"98B(CLAUDIUS, A.)(+5)",,
16,2319,2331,Appius Cæcus,SUBJ,"98B(CLAUDIUS, A.)",1,
18,1059,1064,heads,SUBJ,31A221,,
18,1074,1082,children,SUBJ,31D112,,
18,1090,1095,women,SUBJ,31D15,,
18,1092,1095,men,SUBJ,31D14,,
18,1208,1217,draperies,SUBJ,41D27,,
18,1253,1258,nudes,SUBJ,31A,,
19,755,773,Nativity of Christ,SUBJ,73B2,,
19,767,773,Christ,SUBJ,11D,1,
19,835,847,Annunciation,SUBJ,73A5,,
19,941,986,"S. Filippo, the founder of that Servite Order",SUBJ,11H(PHILIP BENIZZI),,
19,2522,2532,S. Filippo,SUBJ,11H(PHILIP BENIZZI),,
28,2192,2217,Triumph of Paulus Emilius,SUBJ,"98B(PAULUS, L.A.)51",,
29,668,675,Trinity,SUBJ,11B,,
29,716,732,Christ Crucified,SUBJ,11D36,1,
29,799,809,Assumption,SUBJ,73E772(+3),,
29,833,839,Angels,SUBJ,11G,,
29,846,855,S. Thomas,SUBJ,11H(THOMAS),,
29,869,876,Madonna,SUBJ,11F,1,
29,913,922,S. Thomas,SUBJ,11H(THOMAS),,
29,1048,1056,Our Lady,SUBJ,11F,,
29,1216,1223,S. Paul,SUBJ,11H(PAUL),,
29,1225,1236,S. Laurence,SUBJ,11H(LAURENCE),,
29,1238,1246,S. James,SUBJ,11H(JAMES),,
29,1252,1259,S. John,SUBJ,11H(JOHN),,
30,1219,1227,Apostles,SUBJ,11I3,,
30,1296,1302,Christ,SUBJ,11D,,
30,1321,1326,Peter,SUBJ,11H(PETER),1,
30,1331,1337,Andrew,SUBJ,11H(ANDREW),1,
30,1376,1408,Feast of Simon and the Magdalene,SUBJ,73C7262,,
30,1385,1390,Simon,SUBJ,11I72(SIMON THE PHARISEE),1,
30,1399,1408,Magdalene,SUBJ,11HH(MARY MAGDALENE),1,
30,1547,1558,Dead Christ,SUBJ,73D761,,
30,1552,1558,Christ,SUBJ,11D,1,
30,1693,1716,Coronation of Our  Lady,SUBJ,73E79,,
30,1707,1716,Our  Lady,SUBJ,11F,1,
31,639,651,Annunciation,SUBJ,73A52,,
31,659,673,God the Father,SUBJ,11C,,
31,677,683,Heaven,SUBJ,11S,,
31,703,709,angels,SUBJ,11G,1,
35,71,76,Giant,SUBJ,31A421,,
36,697,706,S. Philip,SUBJ,11H(PHILIP),,
37,257,275,"S. Lo, the Farrier",SUBJ,11H(ELOI),,
38,1492,1499,figures,SUBJ,31A,,
38,1522,1527,heads,SUBJ,31A221,,
38,1568,1577,draperies,SUBJ,41D27,,
38,1637,1644,figures,SUBJ,31A,,
39,669,676,figures,SUBJ,31A,,
39,1042,1048,figure,SUBJ,31A,,
39,1057,1062,Saint,SUBJ,11HH(MARY MAGDALENE),,
39,1165,1171,Christ,SUBJ,11D,,
39,1185,1199,Mary Magdalene,SUBJ,11HH(MARY MAGDALENE),1,
39,1238,1246,S. Peter,SUBJ,11H(PETER),,
39,1299,1305,Christ,SUBJ,11D,1,
39,1328,1351,Baptism of Jesus Christ,SUBJ,73C121,,
39,1339,1351,Jesus Christ,SUBJ,11D,1,
39,1473,1478,Saint,SUBJ,11H(JOHN),,
39,1706,1725,S. John the Baptist,SUBJ,11H(JOHN THE BAPTIST),,
39,1731,1743,S. Sebastian,SUBJ,11H(SEBASTIAN),,
39,1839,1846,Madonna,SUBJ,11F,,
39,1866,1892,Virgin Martyr S. Catharine,SUBJ,11HH(CATHERINE),,
39,1897,1906,S. Jerome,SUBJ,11H(JEROME),,
39,2077,2084,figures,SUBJ,31A,,
39,2178,2185,Madonna,SUBJ,11F,,
39,2195,2202,figures,SUBJ,31A,,
40,714,721,figures,SUBJ,31A,,
40,1152,1161,draperies,SUBJ,41D27,,
40,1226,1230,arms,SUBJ,31A224,,
40,1238,1245,figures,SUBJ,31A,,
41,94,101,Madonna,SUBJ,11F,,
41,578,597,S. Gregory the Pope,SUBJ,11H(GREGORY),,
41,616,672,"S. Donatus, Bishop and Protector of the people of Arezzo",SUBJ,11H(DONATUS),,
41,839,844,Child,SUBJ,11D2,1,
41,868,874,angels,SUBJ,11G,1,
41,942,955,S. Laurentino,SUBJ,11H(LAURENTINUS),,
41,960,973,S. Pergentino,SUBJ,11H(PERGENTINUS),,
41,1862,1874,Annunciation,SUBJ,73A52,,
41,2331,2338,figures,SUBJ,31A,,
43,423,433,S. Cecilia,SUBJ,11HH(CECILIA),,
43,464,470,angels,SUBJ,11G,1,
43,804,809,veils,SUBJ,41D2211,,
43,923,930,S. Paul,SUBJ,11H(PAUL),,
43,975,980,sword,SUBJ,45C13(SWORD),,
43,990,994,head,SUBJ,31A221,,
43,1010,1014,hand,SUBJ,31A2245,,
43,1213,1224,green tunic,SUBJ,41D211,,
43,1297,1314,S. Mary Magdalene,SUBJ,11HH(MARY MAGDALENE),,
43,1338,1343,hands,SUBJ,31AA2245,,
43,1360,1373,vase of stone,SUBJ,41A772,,
43,1423,1427,head,SUBJ,31A221,,
43,1602,1614,S. Augustine,SUBJ,11H(AUGUSTINE),,
43,1619,1641,S. John the Evangelist,SUBJ,11H(JOHN),,
44,1611,1621,S. Stephen,SUBJ,11H(STEPHEN),,
44,1625,1650,disputation of that Saint,SUBJ,11H(STEPHEN)3,,
44,1645,1650,Saint,SUBJ,11H(STEPHEN),1,
44,1737,1772,"S. Antonino, Archbishop of Florence",SUBJ,11H(ANTONINUS),,
44,1778,1799,S. Catharine of Siena,SUBJ,11HH(CATHERINE OF SIENA),,
44,1838,1846,S. Lucia,SUBJ,11HH(LUCY),,
