doc_id,surface,doc_start_pos,doc_end_pos,type,matched_sf
0,Frate,532,537,PERSON,
0,Buonarroti,1411,1421,PERSON,
0,Buonarroti,1411,1421,PERSON,
0,Vasari,1546,1552,PERSON,
1,S. Pietro,1218,1227,PERSON,
8,Michelagnolo Buonarroti,884,907,PERSON,
8,Buonarroti,938,948,PERSON,
8,Michelagnolo,973,985,PERSON,
8,Giuliano,1038,1046,PERSON,
9,Raffaello da Urbino,85,104,PERSON,
14,the Sacristy of the Church of S. Spirito,1573,1613,WORK_OF_ART,
14,Giulio Romano,1856,1869,PERSON,
15,Paul III,630,638,PERSON,
15,Colonna,803,810,PERSON,
15,Orsini,822,828,PERSON,
15,Piero Strozzi,838,851,PERSON,
16,S. Matteo,2004,2013,PERSON,
17,Paolo,208,213,PERSON,
26,slab,1968,1972,PERSON,
29,Jacopo da Pontormo,142,160,PERSON,
29,Andrea del Sarto,163,179,PERSON,
29,Francesco Ubertini,186,204,PERSON,
29,Pier Francesco 's,259,276,PERSON,
29,Borgo Sant ',286,298,PERSON,
29,Joseph,381,387,PERSON,
29,Pharaoh,546,553,PERSON,
29,Joseph,373,379,PERSON,
33,the said tribune,346,362,PERSON,
33,Leon Batista,2366,2378,PERSON,
33,Leon Batista,2366,2378,PERSON,
41,a S. Mary Magdalene,2126,2145,PERSON,
43,S. Giovanni,163,174,WORK_OF_ART,
43,Raffaello,406,415,PERSON,
47,Bronzo,552,558,PERSON,
49,Tiziano,503,510,PERSON,
49,Tiziano,1033,1040,PERSON,
50,Andrea,682,688,PERSON,
53,Paul IV,280,287,PERSON,
53,Pirro Ligorio,392,405,PERSON,
53,Federigo,1836,1844,PERSON,
53,Vincenzio Borghini,1893,1911,PERSON,
53,Pius IV,2795,2802,PERSON,
53,Taddeo,2904,2910,PERSON,
53,Caprarola,2950,2959,PERSON,
