id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,110,118,sacristy,LOC,Q660876,,
0,123,144,library of S. Lorenzo,LOC,Q573881,True,
0,233,245,Michelagnolo,PER,Q5592,,
0,485,491,Loreto,LOC,Q124110,,True
0,980,989,S. Cosimo,PER,Q11841156,,
0,996,1006,S. Damiano,PER,Q11841130,,
0,1084,1094,S. Damiano,PER,Q11841130,,
0,1144,1149,Frate,PER,Q27040,,
0,1154,1163,S. Cosimo,PER,Q11841156,,
0,2180,2190,S. Lorenzo,LOC,Q573881,,
0,2254,2266,Pope Clement,PER,Q83159,,
1,7,37,Michele d'Agnolo of Poggibonzi,PER,NIL,True,
1,1218,1227,S. Pietro,LOC,Q12512,,
1,1733,1752,M. Raffaello Maffei,PER,Q3417362,,
2,82,97,Niccola of Pisa,PER,Q364413,True,
2,399,412,three Consuls,ORG,Q736727,,
2,512,521,Consulate,LOC,Q736727,,
2,527,540,Customs-house,LOC,Q218653,,
2,881,896,Niccola of Pisa,PER,Q364413,True,
3,100,119,Vescovado of Arezzo,LOC,Q314932,,
3,704,708,Nine,ORG,Q736727,,
3,753,775,Palace in Malborghetto,LOC,Q1190961,True,
3,983,988,State,ORG,Q736727,,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,,
3,1795,1803,S. Maria,LOC,Q10924,,
4,180,214,Michelagnolo di Viviano of Gaiuole,PER,Q3856430,True,
4,196,214,Viviano of Gaiuole,PER,Q15614943,True,True
5,81,110,Chamber of Our Lady at Loreto,LOC,Q654996,True,
5,144,186,Maestro Andrea Contucci of Monte Sansovino,PER,Q495011,True,
5,542,573,house of the Medici in Florence,LOC,Q911047,True,
5,601,606,David,PER,Q41370,,
5,610,616,Donato,PER,Q37562,,
5,1169,1177,Our Lady,PER,Q345,,True
6,1136,1151,Ser Brunellesco,PER,NIL,,True
6,1215,1222,Rabatta,LOC,NIL,,True
7,164,174,Lippo Lapi,PER,NIL,,True
7,578,597,S. Michele Berteldi,LOC,NIL,,
7,1950,1970,S. Jacopo in Pistoia,LOC,Q2557858,True,
8,11,28,siege of Florence,MISC,Q981042,True,
8,716,762,garden of the Medici on the Piazza di S. Marco,LOC,Q3763928,True,
8,744,762,Piazza di S. Marco,LOC,Q3382259,,True
8,1036,1046,Giuliano's,PER,Q2578459,,
8,2017,2033,S. Maria Novella,LOC,Q51175,,
9,29,53,Cardinal Innocenzio Cibo,PER,Q1386991,,
9,149,175,Cardinal Giulio de' Medici,PER,Q83159,,
9,259,272,Cardinal Cibo,PER,Q1386991,,
9,517,539,villa of Baccio Valori,LOC,NIL,True,
9,544,559,Olmo a Castello,LOC,Q2163936,,
10,1623,1644,Church of S. Agostino,LOC,Q779975,,
10,1756,1768,S. Augustine,PER,Q8018,,
11,80,87,Matrice,LOC,Q223427,,True
11,1506,1513,Matrice,LOC,Q277684,,
13,108,122,Servite Friars,ORG,Q615923,,True
13,145,152,Tedaldi,ORG,NIL,,True
13,200,210,S. Filippo,PER,Q141900,,
13,231,236,Order,ORG,Q615923,,
13,395,398,Son,PER,Q302,,
13,421,432,Holy Spirit,PER,Q37302,,
13,583,594,S. Margaret,PER,Q297742,,
13,601,613,S. Catherine,PER,Q179718,,
13,658,666,S. Peter,PER,Q33923,,
13,741,751,S. Filippo,PER,Q141900,,
13,757,764,Servite,ORG,Q615923,,True
13,789,799,Archbishop,PER,Q49476,,
13,1273,1284,S. Margaret,PER,Q297742,,
13,1315,1321,Dragon,PER,Q7559,,
13,2270,2281,S. Giovanni,LOC,Q732511,,
14,83,115,Girolamo Siciolante of Sermoneta,PER,Q2296884,True,
14,174,189,Perino del Vaga,PER,Q918778,,
14,552,571,Badia of S. Stefano,LOC,Q2820750,,
14,636,644,S. Peter,PER,Q33923,,
14,774,795,Church of S. Apostolo,LOC,Q1515300,,
14,843,849,Christ,PER,Q302,,True
14,861,869,"S. John,",PER,Q328804,,
14,977,991,Cardinal Cesis,PER,Q1605089,,
14,1131,1143,Jesus Christ,PER,Q302,,True
14,1166,1170,Magi,PER,Q51671,,True
14,1188,1193,Egypt,LOC,Q79,,True
14,1477,1489,Jesus Christ,PER,Q302,,True
14,1566,1610,Sacristy of the Church of S. Spirito in Rome,LOC,NIL,True,
14,1582,1610,Church of S. Spirito in Rome,LOC,Q1428488,True,True
